county,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28
AL-Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,13,19,22,28,39,49,68,78,85,100,141,175,183,217,248,261,286,310,339,375,403,420,441,471,499,530,565,602,605,624,628,643,649,658,688,697,710,720,770,795,816,843,853,859,881,893,911,941,961,986,1000,1030,1055,1072,1100,1115,1126,1136,1166,1214,1245,1292,1346,1365,1383,1411,1449,1489,1557,1596,1631,1648,1675,1695,1738,1783,1831,1862,1891,1910,1927,1953,2008,2064,2099,2154,2211,2273,2363,2435,2509,2587,2615,2694,2761,2832,2896,2969,3048,3127,3241,3363,3532,3715,3726,4014,4218,4390,4534,4812,4949,5194,5337,5435,5635,5915,6141,6415,6680,6983,7118,7455,7770,8089,8340,8642,8841,9048,9226,9499,9753,10091,10257,10426,10567,10713,10968,11246,11540,11719,11917,12093,12241,12512,12789,13014,13142,13268,13392,13539,13648,13739,13948,14086,14156,14299,14462,14622,14724,14804,14848,14911,14966,15360,15507,15649,15950,16099,16235,16473,16598,16706,16836,16957,17067,17180,17270,17376,17513,17697,17840,17960,18040,18173,18339,18464,18574,18731,18829,18926,19036,19130,19265,19405,19511,19580,19650,19780,20082,20188,20314,20453,20531,20599,20712,20817,20855,21032,21237,21322,21405,21538,21647,21796,21944,22096,22203,22308,22476,22636,22776,22908,22999,23194,23330,23459,23658,23838,23994,24199,24380,24475,24653,24866,25068,25306,25541,25785,25957,26231,26232,26514,26813,27264,27579,27884,28140,28420,28781,29186,29626,30027,30318,30620,31043,31391,31809,31944,32314,32718,33064,33526,34214,34716,35310,36002,36475,36872,37488,38031,38794,39541,40232,40709,41150,41718,42489,43318,44274,45092,45527,46004,46794,47754,48517,49125,49278,49645,49981
AL-Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,9,12,19,24,36,41,44,51,61,72,107,120,127,149,216,278,347,376,418,441,481,497,549,581,614,617,644,666,720,758,793,829,883,908,953,992,1040,1074,1139,1165,1191,1218,1259,1312,1356,1407,1453,1464,1483,1514,1557,1614,1658,1692,1725,1751,1783,1832,1888,1944,1990,2017,2040,2060,2104,2133,2175,2213,2242,2270,2282,2319,2338,2384,2440,2468,2492,2548,2585,2617,2663,2697,2736,2764,2801,2835,2903,2937,2998,3016,3063,3171,3223,3288,3392,3423,3525,3637,3699,3804,3904,4006,4076,4117,4208,4316,4411,4611,4754,4892,5048,5153,5339,5486,5682,5843,5992,6110,6228,6376,6626,6836,6990,7150,7314,7441,7626,7827,8049,8429,8953,9039,9122,9226,9396,9554,9817,9929,10483,10575,10668,10738,10822,10944,11027,11083,11146,11263,11392,11466,11534,11565,11592,11627,11809,11873,11933,12035,12096,12149,12208,12244,12303,12356,12417,12450,12472,12496,12550,12601,12638,12687,12737,12770,12792,12846,12891,12919,12949,12975,13033,13104,13149,13189,13239,13283,13368,13390,13439,13493,13568,13594,13645,13695,13702,13733,13775,13800,13839,13897,13931,13957,13999,14036,14103,14141,14202,14256,14267,14318,14385,14452,16733,16791,16860,16881,16953,17017,17104,17145,17216,17262,17300,17387,17487,17583,17657,17719,17778,17802,17993,17998,18089,18228,18319,18445,18524,18565,18696,18834,18966,19090,19189,19260,19306,19446,19562,19651,19687,19859,19904,19951,20103,20299,20452,20626,20764,20869,21166,21257,21480,21704,21937,22034,22169,22294,22488,22651,22829,23078,23224,23463,23627,23754,24002,24325,24578,24668,24933,25171
AZ-Maricopa,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,8,9,11,22,34,49,81,139,199,251,299,399,454,545,690,788,871,961,1049,1171,1326,1433,1495,1559,1689,1741,1891,1960,2020,2056,2146,2264,2404,2491,2589,2636,2738,2846,2970,3116,3234,3359,3457,3578,3723,3972,4156,4421,4585,4751,4929,5138,5196,5525,5779,5827,5988,6219,6341,6599,6821,7096,7240,7340,7482,7644,7835,7950,8177,8277,8379,8448,8627,8896,9112,9522,9815,9937,10536,11068,11229,12091,12761,13498,14003,14374,15282,16018,17010,17791,18692,19372,20775,22272,23880,25999,28303,30136,31650,33883,34992,37135,39626,42374,44962,45178,48592,52266,54757,57929,59829,62296,64915,67543,70128,73165,76328,78481,80146,81216,84233,86483,88954,91863,93870,95471,96711,98988,100543,102247,104613,107291,108677,109988,111446,113148,114852,117293,119295,120279,120960,121789,123082,124022,124924,125545,126053,126371,126791,127188,127768,128352,128865,129385,129562,129958,130384,130800,131166,131685,131787,131962,132290,132434,132704,132986,133389,133641,133728,134004,134346,135109,135495,135856,135964,136004,136040,136324,136571,136887,137292,137507,137589,137870,138151,139051,139245,139586,139856,140006,140314,140409,140584,140753,140963,141211,141377,141738,141856,142287,142566,142968,143183,143411,143917,144342,144867,145298,145847,146278,146574,147010,147551,148152,148612,149202,149720,150280,150881,151527,152101,152695,153177,154182,154722,155458,155951,156736,157728,158761,159781,160184,161154,161588,162958,164269,165702,166850,167063,169091,170207,170842,172864,174957,176204,176993,178639,180608,183177,185580,187636,190034,191503,194410,196849,198822,201340,203663,205332,205658,213121,215386,218935,222218,225782,228312,228486,236818,239417,241880,245671,250319,253686,260661,263191,266196,269744,274026,277071,279885,284462,287646,291412,295379,299056,302640,302707,309737
AZ-Pima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,5,7,8,12,17,24,42,49,75,102,120,153,187,202,217,237,280,326,372,415,415,464,512,543,591,622,668,685,700,760,819,856,913,941,963,973,1026,1060,1090,1136,1164,1188,1215,1241,1267,1300,1326,1346,1379,1425,1465,1520,1554,1585,1602,1623,1661,1696,1750,1781,1814,1825,1888,1903,1944,1974,2002,2027,2046,2075,2119,2167,2234,2290,2368,2382,2496,2627,2669,2883,2950,3098,3154,3161,3350,3479,3628,3889,3910,3944,4329,4385,4682,5019,5313,5370,5587,6089,6318,6546,6836,7086,7525,7568,8004,8387,8577,9024,9313,9621,9873,10184,10485,10835,11172,11443,11767,11856,12114,12406,12697,13058,13270,13449,13594,13848,13990,14143,14428,14800,14963,15109,15292,15601,15884,16167,16475,16655,16741,16809,16964,17293,17497,17728,17880,17996,18381,18508,19001,19164,19313,19581,19743,19976,20047,20139,20173,20446,20475,20535,20919,20919,21001,21072,21133,21189,21221,21286,21294,21443,21574,21834,21888,22000,22035,22071,22140,22247,22357,22418,22511,22643,22887,23563,24313,24511,24610,24647,24798,25004,25140,25265,25329,25412,25445,25569,25628,25706,25784,25855,25925,25980,26052,26092,26217,26287,26363,26402,26465,26516,26632,26727,26769,26843,26911,26955,27019,27128,27208,27297,27417,27484,27575,27703,27962,28067,28296,28598,28824,28914,29141,29291,29456,29764,30066,30419,30493,31013,31204,31538,31874,32207,32802,33087,33444,33822,34423,34985,35237,36115,36659,36986,37518,37977,38668,39298,39813,39859,40803,41313,41882,42698,43930,45166,45892,46849,47570,48436,49637,50852,51647,53448,54246,54957,55801,57250,58046,59116,60360,61344,62159,63472,64715,65648,65915,67360
AZ-Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,4,5,6,9,12,13,13,14,14,14,14,14,15,16,16,20,20,20,20,24,28,29,29,31,32,42,42,42,53,59,62,67,72,85,89,89,98,115,115,134,148,159,176,191,199,207,283,285,310,363,363,443,443,459,508,508,604,670,670,797,838,936,936,982,1105,1137,1289,1520,1643,1815,1850,2231,2257,2378,2439,2588,2962,3144,3144,3404,3467,3467,3637,4078,4403,4604,4604,4940,5131,5364,5524,5680,5793,5895,6225,6498,6683,6838,7062,7346,7445,7599,7775,7899,7994,8143,8302,8384,8629,8851,8949,9035,9086,9300,9374,9669,9713,9794,9930,10138,10289,10434,10562,10657,10761,10880,11078,11142,11203,11217,11314,11367,11448,11512,11512,11609,11633,11641,11703,11766,11853,11861,11886,11908,11927,11964,12009,12043,12048,12072,12085,12103,12142,12165,12213,12230,12230,12257,12264,12269,12297,12311,12325,12333,12340,12344,12351,12374,12378,12400,12415,12430,12440,12472,12498,12531,12553,12580,12594,12609,12632,12664,12679,12695,12715,12723,12730,12765,12796,12815,12815,12815,12877,12883,12894,12941,12986,13021,13046,13089,13089,13092,13123,13190,13217,13261,13284,13297,13359,13442,13500,13584,13646,13670,13689,13735,13797,13930,13994,14041,14071,14101,14219,14270,14377,14512,14534,14693,14843,14935,15004,15236,15362,15522,15642,15788,15813,16042,16307,16700,16826,16932,17119,17201,17476,17746,17871,17871,18352,18518,18636,18762,19235,19643,19755,20490,20788,21100,21493,21881,22384,23513,23513,23513,23550,24103,24341,24592,24964,25265,25588,25732,26074,26563,26586,26946
CA-Alameda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,5,5,7,11,11,18,27,30,38,48,68,71,118,135,135,178,220,220,270,283,313,313,359,443,443,566,588,634,674,674,766,806,845,888,888,964,1007,1063,1114,1164,1193,1241,1242,1352,1403,1439,1470,1500,1533,1568,1603,1636,1706,1749,1776,1809,1863,1917,1961,2023,2064,2101,2133,2178,2234,2367,2367,2392,2457,2522,2560,2609,2708,2760,2847,2874,2986,3049,3097,3195,3289,3390,3470,3515,3548,3641,3725,3805,3805,3945,3985,4033,4232,4232,4232,4320,4373,4481,4533,4638,4702,4924,4924,5007,5267,5275,5382,5493,5493,5670,5762,5964,6156,6384,6472,6556,6855,6855,6925,7245,7407,7485,7725,7731,7976,8321,8478,8627,8858,9110,9237,9256,9383,9643,9869,10214,10330,10330,10438,10633,10773,11131,11139,11484,11524,11524,11909,12136,12884,12884,13213,13213,13631,13631,14112,14548,14558,14558,14973,15123,15437,15836,16184,16469,16693,16723,16786,17275,17385,17621,17847,17847,18040,18187,18445,18695,18852,18977,19131,19131,19350,19496,19596,19710,19819,19837,19991,20022,20097,20097,20162,20364,20494,20558,20641,20748,20839,20951,21028,21136,21189,21240,21323,21383,21458,21508,21621,21708,21746,21809,21845,21938,21942,22072,22149,22216,22279,22325,22370,22408,22459,22636,22738,22807,22932,23001,23133,23215,23312,23391,23471,23576,23636,23775,23876,23994,24095,24162,24233,24370,24418,24664,24664,25001,25110,25249,25400,25599,25760,25872,26047,26460,26655,26927,27223,27435,27485,27622,27857,28225,28378,28857,29116,29476,29918,29972,30330,30980,31204,31871,32781,33477,33887,34373,35047,35686,36281,37027,38218,39252,40026,40751,41548,42196,43109,44004,44756,45751,46753,47527,48365,49084,49796
CA-Contra Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,9,9,9,10,17,25,29,29,34,39,39,41,46,51,61,71,86,108,131,147,168,168,187,212,249,250,307,307,386,417,442,462,484,511,530,539,552,552,615,631,648,685,693,707,749,763,770,786,805,817,820,842,862,891,907,934,945,947,969,985,999,1014,1036,1048,1048,1066,1080,1089,1100,1121,1146,1155,1192,1209,1234,1259,1296,1321,1336,1353,1375,1384,1404,1426,1450,1468,1506,1513,1547,1577,1633,1668,1706,1774,1798,1829,1877,1921,1959,1983,2026,2071,2111,2148,2240,2294,2369,2454,2523,2576,2676,2688,2802,2971,3132,3248,3326,3432,3564,3662,3878,4092,4241,4357,4460,4605,4661,4852,5023,5140,5233,5378,5538,5606,5731,5931,6202,6425,6627,6770,6933,7073,7304,7714,7714,7714,7806,7966,8033,8176,8324,8532,8760,9022,9182,9404,9787,10103,10482,10756,11013,11228,11408,11668,11886,11895,12108,12362,12527,12663,12906,13181,13259,13398,13562,13700,13938,13938,14035,14111,14212,14411,14527,14639,14712,14740,14885,14966,15058,15203,15351,15424,15489,15544,15640,15734,15837,15958,16056,16156,16238,16327,16469,16572,16640,16702,16793,16896,16973,17069,17159,17263,17322,17365,17420,17478,17546,17624,17732,17783,17834,17866,17945,17997,18054,18157,18214,18273,18342,18413,18523,18621,18694,18763,18817,18877,18981,19086,19195,19254,19339,19416,19517,19685,19785,19943,20031,20193,20326,20452,20619,20868,21046,21250,21458,21630,21758,21959,22191,22412,22482,22747,23146,23381,23571,23571,23895,24275,24475,24914,25264,25588,25768,26355,26703,27455,28088,28391,28487,29124,29599,29760,30685,31516,32526,33072,33713,34321,34918,35322,35788,36313,36752,37610,38138,38558
CA-Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,6,6,6,6,13,18,19,27,31,43,43,53,68,82,94,100,103,108,124,146,156,173,191,201,201,222,251,265,295,311,315,315,351,371,419,443,443,458,458,498,538,538,615,615,633,633,672,777,777,813,841,885,945,984,984,1074,1074,1156,1192,1192,1287,1338,1338,1372,1417,1448,1482,1482,1535,1658,1658,1714,1743,1743,1882,1914,1944,2014,2080,2122,2122,2216,2318,2395,2395,2547,2547,2706,2788,2788,3058,3187,3245,3245,3485,3672,3892,4053,4374,4474,4474,4811,4811,5289,5626,5626,5851,6110,6110,6924,7281,7627,7627,7906,8282,8282,8756,8941,9124,9565,9954,9954,10639,10970,11412,11756,12148,12564,12564,12564,13209,13336,14312,14439,14439,15083,15083,15759,15945,16625,16625,17031,17290,17846,17846,17978,18344,19157,19157,19900,19900,21010,21798,22167,22535,22840,23197,23414,23618,23932,24071,24367,24612,24821,24963,25185,25542,25785,25978,26147,26325,26471,26565,26640,26724,26783,26917,27076,27196,27232,27312,27381,27487,27560,27668,27769,27843,27944,28019,28106,28199,28336,28441,28517,28621,28706,28796,28855,28975,29065,29136,29136,29136,29136,29208,29286,29419,29523,29579,29650,29727,29796,29911,30051,30152,30220,30328,30471,30590,30752,30858,30969,31096,31195,31321,31409,31558,31613,31738,31856,31952,32056,32278,32497,32619,32755,33024,33287,33459,33693,33969,34297,34593,34765,34997,35278,35635,35973,36315,36688,37021,37349,37724,37994,38288,38568,38712,39004,39324,39680,40108,40568,40869,41098,41574,41954,42461,43071,43756,44114,44726,47316,49173,49918,52643,55428,57616,58568,59640,60488,61435,62251,63080,63811
CA-Kern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,12,13,15,29,33,47,51,60,83,110,142,173,210,230,239,252,271,303,337,371,396,436,462,533,565,578,610,623,643,671,683,699,735,755,809,828,847,866,893,939,969,1005,1016,1045,1073,1133,1166,1228,1254,1286,1316,1343,1393,1428,1473,1515,1537,1571,1605,1644,1695,1757,1824,1871,1876,1941,2007,2076,2145,2250,2322,2376,2418,2462,2534,2650,2720,2794,2870,2942,3016,3130,3195,3281,3367,3452,3512,3590,3706,3793,3890,3965,4049,4108,4182,4300,4340,4478,4548,4655,4768,4939,5100,5130,5245,5369,5543,5759,5979,6195,6339,6502,6601,6759,6921,7074,7233,7728,8447,9234,10068,11188,12323,13360,14192,14651,15003,16896,17344,18411,19335,19882,20545,20651,21228,21433,21724,22009,22626,23583,24440,24995,25179,25499,25888,26266,26570,26788,26968,27184,27184,27378,27658,27915,28140,28234,28520,28612,28854,28961,29105,29324,29324,29459,29602,29763,29858,30040,30080,30179,30202,30371,30440,30563,30622,30735,30850,30916,31076,31148,31261,31379,31509,31572,31647,31712,31785,31865,31947,31994,32019,32073,32128,32184,32343,32443,32491,32522,32609,32674,32741,32831,32878,32966,33020,33089,33145,33225,33286,33373,33448,33497,33551,33630,33669,33775,33813,33881,33928,34027,34114,34154,34308,34378,34457,34563,34676,34779,34973,35063,35063,35394,35467,35610,35818,36069,36227,36470,36618,36919,37141,37323,37632,37982,38316,38519,39437,39721,39990,40337,40632,41328,41827,41957,42614,42937,43355,43860,44327,45078,45342,46397,47411,48401,49232,49939,50624,51612,53694,54681,55801,56687,57205,58200,59148,60260,61324,62439,63044,63557,64810
CA-Los Angeles,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,13,14,14,14,20,27,32,40,53,53,94,144,190,231,292,292,407,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566,4605,5955,6377,6936,7559,7955,8443,8453,8894,9433,10047,10517,10854,11400,12021,12341,13823,15153,16447,17537,18545,19133,19567,20423,20996,22485,23220,24262,24894,25699,26225,27836,28665,29511,30319,31241,31703,32263,33211,34538,35392,36316,37360,38011,38458,39573,40895,42037,43070,44121,45017,46023,47845,48761,49860,51678,53746,55001,56011,57219,58261,59692,61068,62382,63844,64690,65945,67111,68959,70529,72057,73018,73832,75162,77260,78348,79655,81709,83414,86017,88512,89633,91577,93391,95385,97918,100958,103850,105665,107792,107806,107826,115024,116570,120764,123256,124992,127439,130394,133549,136357,140576,143207,147678,150424,153152,155917,159045,162025,165134,166868,168935,172325,174017,176028,178642,183456,186036,188541,190857,192177,193877,195805,198165,201200,204258,206778,208563,210543,210874,214283,214425,218831,220867,221971,223230,224105,225827,227346,229054,230662,231695,232893,233777,235386,236986,238458,239756,240749,241768,242521,243935,244999,246407,247542,248334,248821,249241,249859,251024,252066,253176,253985,254656,255049,256148,257271,258516,259817,260797,261446,262133,263333,264414,265775,266988,267801,268455,269284,270299,271371,272653,273638,274565,274942,275856,277445,278665,279909,281165,282135,282982,283750,285016,286183,287222,288136,288451,289366,290009,290486,294065,296821,298937,299760,300614,302077,303369,305070,306327,307618,309190,310595,311745,313526,315564,317656,319977,319977,323625,325876,327964,330450,332865,336549,339560,342343,344523,348336,353232,357451,361869,364520,370636,374134,378323,383275,387793,390891,395843,400919,408396,414185,421881,430583,439408,449851,457880,466321,475271,487917,501635,512872,525486,532730,543769,566005,580325,596721,610372,623670,634849,647542,663954,677299,678040,706448,719833,733325
