county,pop
"Los Angeles County, California","10,039,107"
"Cook County, Illinois","5,150,233"
"Harris County, Texas","4,713,325"
"Maricopa County, Arizona","4,485,414"
"San Diego County, California","3,338,330"
"Orange County, California","3,175,692"
"Miami-Dade County, Florida","2,716,940"
"Dallas County, Texas","2,635,516"
"Kings County, New York","2,559,903"
"Riverside County, California","2,470,546"
"Clark County, Nevada","2,266,715"
"Queens County, New York","2,253,858"
"King County, Washington","2,252,782"
"San Bernardino County, California","2,180,085"
"Tarrant County, Texas","2,102,515"
"Bexar County, Texas","2,003,554"
"Broward County, Florida","1,952,778"
"Santa Clara County, California","1,927,852"
"Wayne County, Michigan","1,749,343"
"Alameda County, California","1,671,329"
"New York County, New York","1,628,706"
"Middlesex County, Massachusetts","1,611,699"
"Philadelphia County, Pennsylvania","1,584,064"
"Sacramento County, California","1,552,058"
"Palm Beach County, Florida","1,496,770"
"Suffolk County, New York","1,476,601"
"Hillsborough County, Florida","1,471,968"
"Bronx County, New York","1,418,207"
"Orange County, Florida","1,393,452"
"Nassau County, New York","1,356,924"
"Franklin County, Ohio","1,316,756"
"Travis County, Texas","1,273,954"
"Hennepin County, Minnesota","1,265,843"
"Oakland County, Michigan","1,257,584"
"Cuyahoga County, Ohio","1,235,072"
"Allegheny County, Pennsylvania","1,216,045"
"Salt Lake County, Utah","1,160,437"
"Contra Costa County, California","1,153,526"
"Fairfax County, Virginia","1,147,532"
"Wake County, North Carolina","1,111,761"
"Mecklenburg County, North Carolina","1,110,356"
"Fulton County, Georgia","1,063,937"
"Montgomery County, Maryland","1,050,688"
"Pima County, Arizona","1,047,279"
"Collin County, Texas","1,034,730"
"Fresno County, California","999,101"
"St. Louis County, Missouri","994,205"
"Pinellas County, Florida","974,996"
"Honolulu County, Hawaii","974,563"
"Westchester County, New York","967,506"
"Marion County, Indiana","964,582"
"Duval County, Florida","957,755"
"Milwaukee County, Wisconsin","945,726"
"Fairfield County, Connecticut","943,332"
"Shelby County, Tennessee","937,166"
"Gwinnett County, Georgia","936,250"
"Bergen County, New Jersey","932,202"
"DuPage County, Illinois","922,921"
"Erie County, New York","918,702"
"Prince George's County, Maryland","909,327"
"Pierce County, Washington","904,980"
"Kern County, California","900,202"
"Hartford County, Connecticut","891,720"
"Denton County, Texas","887,207"
"San Francisco County, California","881,549"
"Macomb County, Michigan","873,972"
"Hidalgo County, Texas","868,707"
"New Haven County, Connecticut","854,757"
"Ventura County, California","846,006"
"El Paso County, Texas","839,238"
"Montgomery County, Pennsylvania","830,915"
"Worcester County, Massachusetts","830,622"
"Baltimore County, Maryland","827,370"
"Middlesex County, New Jersey","825,062"
"Snohomish County, Washington","822,083"
"Hamilton County, Ohio","817,473"
"Multnomah County, Oregon","812,855"
"Fort Bend County, Texas","811,688"
"Suffolk County, Massachusetts","803,907"
"Essex County, New Jersey","798,975"
"Oklahoma County, Oklahoma","797,434"
"Essex County, Massachusetts","789,034"
"Lee County, Florida","770,577"
"Jefferson County, Kentucky","766,757"
"San Mateo County, California","766,573"
"San Joaquin County, California","762,148"
"Cobb County, Georgia","760,141"
"DeKalb County, Georgia","759,297"
"Monroe County, New York","741,770"
"Denver County, Colorado","727,211"
"Polk County, Florida","724,777"
"El Paso County, Colorado","720,403"
"Norfolk County, Massachusetts","706,775"
"District of Columbia, District of Columbia","705,749"
"Jackson County, Missouri","703,011"
"Lake County, Illinois","696,535"
"Davidson County, Tennessee","694,144"
"Will County, Illinois","690,743"
"Bernalillo County, New Mexico","679,121"
"Hudson County, New Jersey","672,391"
"Jefferson County, Alabama","658,573"
"Kent County, Michigan","656,955"
"Arapahoe County, Colorado","656,590"
"Tulsa County, Oklahoma","651,552"
"Providence County, Rhode Island","638,931"
"Utah County, Utah","636,235"
"Bucks County, Pennsylvania","628,270"
"Monmouth County, New Jersey","618,795"
"Montgomery County, Texas","607,391"
"Ocean County, New Jersey","607,186"
"Johnson County, Kansas","602,401"
"Brevard County, Florida","601,942"
"Washington County, Oregon","601,592"
"Baltimore city, Maryland","593,490"
"Williamson County, Texas","590,551"
"Jefferson County, Colorado","582,881"
"Anne Arundel County, Maryland","579,234"
"Douglas County, Nebraska","571,327"
"Delaware County, Pennsylvania","566,747"
"Bristol County, Massachusetts","565,217"
