series,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,13922.783136555683,13919.178159884554,13914.851315083508,13909.658772117862,13903.42836002981,13895.954122189842,13886.989887282405,13876.241705727449,13863.358991152618,13847.924202657729,13829.440910379237,13807.320110662402,13780.864707001252,13749.252161214152,13711.515462667585,13666.52278316304,13612.956507812985,13549.292788469233,13473.783387920475,13384.442396922528,13279.041421939637,13155.11803226479,13010.003527485585,12840.877240356636,12644.85527504414,12419.121258348327,12161.10462968999,11868.707397459895,11540.572467824872,11176.375492189038,10777.10870402333,10345.312127514482,9885.199338494325,9402.627116547541,8904.875227711844,8400.234596604041,7897.443319473852,7405.048371159129,6930.792568046008,6481.122082968994,6060.880173941911,5673.208529813991,5319.634303774195,5000.291376100054,4714.213886790538,4459.646019857506,4234.3274412683595,4035.731459306151
I,9.0,10.804976671130246,12.970826137950155,15.569203876006021,18.685775188857132,22.422857991053423,26.902521300278906,32.27019859517959,38.698873450975114,46.39388725566952,55.59840208302759,66.59952138325654,79.73502076775416,95.40056240130441,114.05714846761019,136.23839827863242,162.55699397295967,193.70931452212093,230.47685216645436,273.72247273111,324.3789531677786,383.4265522090686,451.8557465464604,530.610884366118,620.5106728053909,722.142554940126,835.7306726104373,960.9817703184444,1096.9203458897796,1241.733252347657,1392.6533900438333,1545.9192885439156,1696.8482198552888,1840.0507978310159,1969.7925271005097,2080.474652788211,2167.170999360758,2226.1317478033297,2255.161201355785,2253.7994461616418,2223.2814659563956,2166.296816893037,2086.6116795542257,1988.6322713175223,1876.9833063635333,1756.1545120238584,1630.2421882082333,1502.7897325287952
R,0.0,1.8,3.960995334226049,6.555160561816081,9.669001337017285,13.406156374788711,17.890727972999397,23.27123223305518,29.7252719520911,37.465046642286126,46.74382409342003,57.86350451002555,71.18340878667686,87.1304129402277,106.21052542048858,129.0219551140106,156.26963476973708,188.78103356432902,227.5228964687532,273.61826690204407,328.36276144826604,393.23855208182175,469.9238625236355,560.2950118329276,666.4171887061511,790.5193232672293,934.9478342552545,1102.093968777342,1294.290322841031,1513.674392018987,1762.0210424885183,2040.551720497285,2349.735578206068,2689.105222177126,3057.115381743329,3451.073887163431,3867.1688177210735,4300.603017593225,4745.82936715389,5196.861607425048,5647.621496657376,6092.277789848656,6525.537153227263,6942.859489138108,7340.585943401613,7715.982604674319,8067.213507079091,8393.261944720738
G,9.0,12.604976671130247,16.931821472176207,22.124364437822102,28.354776525874417,35.829014365842134,44.793249273278306,55.54143082823478,68.42414540306622,83.85893389795565,102.34222617644762,124.46302589328211,150.91842955443104,182.53097534153213,220.26767388809878,265.2603533926431,318.8266287426968,382.49034808645,457.99974863520765,547.3407396331542,652.7417146160448,776.6651042908904,921.779609070096,1090.9058961990456,1286.9278615115422,1512.6618782073556,1770.678506865692,2063.0757390957865,2391.2106687308105,2755.407644366644,3154.6744325323516,3586.4710090412004,4046.5837980613564,4529.156020008141,5026.907908843838,5531.548539951642,6034.339817081831,6526.734765396554,7000.9905685096755,7450.661053586689,7870.902962613772,8258.574606741691,8612.148832781488,8931.491760455629,9217.569249765143,9472.137116698175,9697.455695287323,9896.05167724953
