series,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,2170.681934167478,2169.0976547692903,2167.1598383664964,2164.7903530296608,2161.8941778381636,2158.355940116598,2154.035836660154,2148.7648776137803,2142.339413069698,2134.5149435328026,2124.9992859211334,2113.445279747502,2099.4433900780673,2082.5148141042523,2062.1060463652184,2037.5863181319528,2008.2498971893165,1973.325878311042,1931.9987126265173,1883.4431187613543,1826.8768628189764,1761.6337243307546,1687.256245357877,1603.603174566958,1510.9599358391788,1410.1330127999447,1302.5032419832557,1190.0122162500072,1075.0638149991526,960.3404118880313,848.5569849593987,742.1976754227791,643.2883207126285,553.2495401978043,472.85114775192835,402.2604612167308,341.1560323908629,288.8706569520548,244.5321448757557,207.18156643937402,175.86053947795176,149.66794143983284,127.79125686231357,109.51933803551418,94.24293705221523,81.44807318048402,70.70584563286114,61.6610411743946,54.020932331066845,47.54500444490603,42.03592946269424
I,6.0,7.344279398187879,8.988324625054211,10.998276976887627,13.454521089309157,16.454577967302406,20.116498305054346,24.582797419225873,30.024950066539034,36.64842160077292,44.6981423484114,54.464222828106486,66.2875435844168,80.56461781485488,97.75080084129466,118.36049704090837,142.9624981019083,172.16801705610644,206.60846205838692,246.89971744121448,293.58998468594376,347.0895237867278,407.5834218081363,474.93315572673,548.5790682254399,627.4628285356564,709.994086210919,794.0853484957307,877.2703358067562,956.9029254856072,1030.4102353948153,1095.5531355156425,1150.6403648051673,1194.653530727785,1227.2657819445496,1248.7658372019653,1259.9196325397545,1261.8082226769725,1255.6744058461927,1242.7980080487266,1224.4071146881997,1201.6234281387906,1175.4351755907583,1146.6896873939272,1116.0985008814691,1084.2494247179416,1051.6216752768469,1018.6016127242395,985.4976570585977,952.5536786624147,919.9606064981299
R,0.0,0.24,0.5337711759275152,0.8933041609296837,1.3332352400051888,1.871416083577555,2.5295992022696514,3.334259134471825,4.31757103124086,5.518569033902422,6.984505897933339,8.772431591869795,10.951000504994054,13.602502248370726,16.82508696096492,20.735118994616705,25.46953887625304,31.188038800329373,38.07475948257363,46.33909796490911,56.21508666255769,67.95868604999544,81.84226700146455,98.14560387379001,117.14293010285921,139.0860928318768,164.18460597330306,192.58436942173984,224.34778336156907,259.43859679383934,297.71471381326364,338.93112322905625,382.75324864968195,428.77886324188864,476.56500447100007,525.6556357487821,575.6062692368607,626.0030545384509,676.4753834455298,726.7023596793775,776.4142800013266,825.3905645888545,873.4555017144062,920.4729087380365,966.3404962337936,1010.9844362690524,1054.35441325777,1096.4192802688437,1137.1633447778133,1176.5832510601572,1214.6853982066539
G,6.0,7.5842793981878796,9.522095800981727,11.891581137817312,14.787756329314345,18.32599405087996,22.646097507323997,27.917056553697698,34.342521097779894,42.166990634675344,51.68264824634474,63.23665441997628,77.23854408941085,94.16712006322561,114.57588780225959,139.0956160355251,168.43203697816136,203.35605585643583,244.68322154096057,293.2388154061236,349.80507134850143,415.04820983672323,489.42568880960084,573.07875960052,665.721998328299,766.5489213675331,874.178692184222,986.6697179174705,1101.6181191683252,1216.3415222794465,1328.124949208079,1434.4842587446985,1533.393613454849,1623.4323939696733,1703.8307864155493,1774.4214729507469,1835.5259017766148,1887.811277215423,1932.149789291722,1969.5003677281038,2000.8213946895262,2027.013992727645,2048.8906773051644,2067.1625961319637,2082.4389971152627,2095.233860986994,2105.976088534617,2115.020892993083,2122.661001836411,2129.1369297225715,2134.646004704783
