series,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,7.0,10.526575770301273,15.538200799517409,22.65286348222557,32.73828948949717,47.00545849296978,67.129866047447,95.4016255820147,134.89768272719363,189.65387205162733,264.7888128069386,366.4976993245043,501.8055117115648,677.9775935358053,901.5715809547112,1177.2874185841201,1506.9544581405962,1889.035893312689,2318.843530351283,2789.3456693144567,3292.236998054752,3818.936781401358,4361.323094983007,4912.164842482864,5465.305304443057,6027.373670058677,6586.824430475576,7124.585326875782,7640.613782953752,8145.335973560203,8640.11623841334,9114.487590840872,9581.599792674217,10036.178647687868,10472.367076216642,10889.672756956206,11291.285260951461,11681.097135967186,12048.129413356637,12401.298132574835,12730.51008159916,13050.888223727,13360.603339735902,13656.459271191123,13942.878134171719,14208.523582289032,14464.34971143501,14709.524415605618,14933.681408596585,15154.214080923744,15369.976755573602,15576.371486374746,15771.564373515363,15951.514121288781,16126.814652749603,16295.280626589078,16459.13344627441,16616.48450689506,16766.289602777608,16909.149873721894,17043.011320754093,17165.14519794762,17280.71041897732,17390.646836058248,17495.234118080847,17596.83345442701,17696.814040940855,17792.250536312833,17883.308425137522,17969.839851168166,18052.41265333778,18134.847567894612,18213.25683990604,18281.882639854924,18350.849770249053,18418.13505974867,18482.32856847032,18543.573724401867,18602.00722727563,18657.75936452374,18710.954313238737,18761.71042855719,18810.140518912092,18857.119114479327,18902.18178928809,18945.207295253666,18985.91856305209,19025.180861183788,19062.67072018133,19098.034809757806,19128.30106959404,19159.948615611793,19188.670468832617,19216.79540586063,19244.41743928336,19270.779454456537,19295.93926606009,19319.952009073644,19341.911501420993,19361.945838665968,19383.409689162752,19404.539679278794,19424.56724211045,19442.720505510864,19460.0474856939,19478.21116488376,19496.840649084443,19515.940655122682,19532.990122268293,19548.953491068067,19563.229473992324,19579.549346413405,19599.03223827208,19621.76246259948,19645.0085160825,19668.709288611535,19693.594495862224,19722.94734165649,19752.530722329906,19782.119777259486,19813.05680798671,19842.630076809714,19871.455177202515,19900.490014853538,19929.730788494744,19958.779133034568,19986.981913411888,20018.648923147073,20045.275181432306,20076.99090516776,20109.15261419751,20139.5645888112,20164.309841418435,20193.4291149957,20227.51948000235,20261.88637063674,20296.249443425048,20330.60071101041,20364.93223071068,20398.195244341085,20431.32559314422,20461.78095820936,20494.088369149526,20536.019623635784,20570.069233998252,20602.63167166691,20632.61558285375,20666.476824122496,20703.395980412133,20739.06914625802,20772.569586784266,20805.95407609585,20843.636541951262,20881.832556588757,20919.26284952476,20954.7403867967,20996.145470926447,21038.40224136946,21078.28422447254,21115.499289690186,21162.551485207805,21201.510575197928,21247.251492057596,21288.87321426818,21330.418199979995,21376.71691803854,21413.232287332885,21465.045029183562,21522.729000904877,21571.25803184529,21626.146724190403,21700.259047894975,21757.903230145723,21839.20518132477,21927.453012785147
G_low,7.0,10.254204635713682,14.749608195170639,20.92608308091605,29.473806551171293,41.16775047363383,57.17377325709154,79.17672525630078,109.25463107093172,150.1279043278542,205.31806912317592,279.21711593738826,377.0983103914228,504.9739914960499,669.2294294416452,875.9978475850446,1130.3287191730792,1435.3191300751812,1791.4600249189593,2201.3110448465745,2651.9244841635805,3135.7876129329484,3648.563824540425,4184.430047048373,4732.211060143608,5294.193931042482,5858.658913016226,6433.986371624894,6994.820251269633,7530.399925062488,8038.979484781365,8534.95212993338,9021.25251436568,9485.544694448741,9937.52957969762,10366.02501665928,10772.86698589911,11170.6808089458,11550.868359411026,11907.41891137597,12250.103846247608,12583.769464072413,12903.821900108082,13210.256533502063,13502.00043332611,13781.154585794704,14047.43484808064,14298.434975231601,14538.17584929083,14767.124515464375,14991.030577342466,15203.11624440848,15399.87675975636,15583.905580460048,15756.475345966908,15925.865620200851,16087.399097721474,16230.677709276135,16382.862555034357,16526.62801113346,16658.75367875541,16781.87391648599,16899.320584423815,17011.357481680476,17118.236277801196,17225.264759593072,17324.060419332123,17414.53802086927,17500.838155908496,17583.27993029894,17663.87734049904,17738.20104750371,17811.23003869989,17882.97083493248,17950.987836005766,18017.62718146513,18081.970532113173,18143.227565698904,18198.559097806956,18251.364839746704,18300.334666437415,18344.875391556496,18386.56509916604,18430.447989023636,18469.97074787078,18507.453071600743,18543.151228627718,18577.15064174226,18610.166295906096,18642.939456212625,18674.74790752622,18705.108745642967,18734.08835555396,18761.75003834735,18788.15415731694,18813.35827698387,18837.4172953782,18860.383569911508,18881.431160410786,18898.984402760812,18919.03443526592,18938.178630802973,18956.458141276373,18973.912230306232,18990.578361362477,19008.419082492073,19026.700475262453,19045.40730256991,19064.539627443744,19084.11192494106,19104.1524667473,19124.703001128695,19145.818748552178,19167.568734694956,19190.036487196016,19213.3211300901,19238.862430044443,19271.158185088512,19303.108678555764,19334.309306137133,19361.53708944211,19389.432352819833,19422.20526240294,19453.628832752278,19483.17451462998,19506.576659093193,19523.587499381272,19541.058266134052,19572.12624571765,19593.06756490432,19617.105832930003,19638.622078469623,19662.03292623494,19673.877323644752,19695.51857088365,19726.446123026304,19745.124738619466,19776.994818043422,19809.988341702952,19835.122273688503,19861.531471039885,19889.235869530694,19917.900333008107,19948.834581380645,19984.160105593946,20022.246090968336,20053.161930410013,20092.84614891882,20122.754621081924,20153.163315382677,20184.802756290654,20223.238127043056,20262.88167995463,20303.756574105235,20345.88537583909,20386.458549436706,20411.004242130814,20434.597822198408,20478.13740454136,20516.392111683606,20543.019710071287,20568.16927686762,20603.56387221802,20631.393191898784,20669.990512665456,20694.54611034922,20726.497311120547,20758.690456983713,20781.54809450615,20794.791395031018,20807.847730275706,20822.2452605308,20843.241635622973,20864.04569187442,20884.656423724453
D_high,1.0,1.0,1.0345199018409326,1.0959139336551909,1.186482341000229,1.3146211823676865,1.4954516482612739,1.7495869596268565,2.1065841929799234,2.6096423945645713,3.3175631315137784,4.301391918218291,5.670987516340579,7.5700675586131165,10.156384146015561,13.643872242999953,18.286668915202757,24.307444967490724,32.001690766056434,41.65203257436856,53.487218880111584,67.68840812344384,84.32271965952344,103.3055817123044,124.73254861592538,148.49803327372405,174.64455078930087,202.79133445745555,232.77549313797223,264.72865282699973,298.01584175705455,332.37429251478807,367.5258569083091,403.680646469352,440.60603575285853,477.99493013751294,515.6792779566308,554.8101539992743,593.5288205573358,631.1058434639385,668.8244575863125,706.7553427770711,744.2263576137892,780.7753593621895,816.8898430190139,853.3049641189293,888.5373586725467,922.969192980319,956.5539756316326,989.3314419038661,1021.583537847334,1052.3743867609785,1082.6089365182158,1111.3257561600144,1139.7415508521754,1167.4104151878257,1194.4161456825532,1220.4901356675823,1245.6368397464896,1269.9032720436871,1293.2476408354123,1315.8294251741377,1337.740252446594,1358.9678144649965,1380.1043777565912,1400.2113364097381,1419.7375001470275,1438.479630903375,1456.29789213209,1474.0307754304004,1491.06909533335,1507.4337242714435,1523.1502619544358,1538.2254399592025,1552.6431558753102,1566.4605619239142,1580.2097690544401,1593.0652652202987,1605.233466992533,1616.897394845579,1628.0753768549648,1638.7853242924264,1649.5038769251103,1658.870573566524,1668.664910930085,1678.4066159288395,1687.7429664288252,1696.6892803131925,1705.2604416983143,1713.4708983856224,1721.3346613032343,1728.8653056925673,1736.075973818422,1742.979379002368,1749.5173570345135,1755.5616096680267,1761.3411214331293,1766.8669313885434,1772.3207158864711,1777.63680775023,1782.725390833811,1787.595792823319,1792.2569956845716,1796.71764505198,1800.9860597138625,1804.8563952258398,1809.323450726139,1814.8943653715155,1819.783659157751,1824.2677239843358,1829.4358025329045,1834.123920585014,1839.7269909575468,1845.771263835781,1849.3770491927755,1853.4523533266256,1858.2194167954867,1862.0746268236744,1865.7550300383982,1870.892996709908,1876.0299782941815,1880.8824510030731,1886.2316323999103,1889.872545683842,1895.4502373009423,1899.7596640385304,1903.4745194478608,1907.839190200974,1910.6829912724197,1914.1564702075002,1918.299352148234,1923.0779528516998,1927.9447082130418,1932.720552546845,1936.4999695149254,1940.8383889633992,1945.2558844265795,1949.6625190360126,1953.985538002239,1958.4396712693026,1963.7529387132745,1969.1597255324252,1974.5815243561885,1980.0169961995223,1985.4647944200926,1990.9235660864301,1997.0937463708794,2002.6411634749827,2008.1970918720688,2015.1174364391775,2021.7608353016656,2027.9242208030569,2033.9846353618714,2039.590510902769,2045.3928020569674,2050.9947022195092,2057.572852236314,2064.1488076789583,2070.105020166523,2076.038139437808,2081.967300865618,2087.8016797310506,2095.2712452815886,2101.513052711885,2107.84738191587,2115.4311164490828,2123.025714313867,2130.6288438721567,2136.6579672454423,2145.782053328672,2153.4661433889264,2161.0801524226836,2172.0254123396126,2182.814330725139,2192.2760251474774
D_low,1.0,1.0,1.0167664067680022,1.05200535160349,1.1097858733579573,1.196888710074444,1.3213353783417077,1.4992407245752553,1.7650652024247349,2.1309639618122356,2.6416035348256717,3.3376287004227287,4.297227748447828,5.6143634309380825,7.453330539240991,9.899947674591063,13.167673316277266,17.517720113255415,23.195849028858728,30.338041297391744,39.24736311041112,50.12887503363268,63.284323301621114,78.79896147686337,96.46738766196646,116.39814262648947,138.6099183833225,163.29918585716527,190.1097733962441,218.85449487905603,249.1252189778224,281.53188396886793,315.43610915957726,350.61563283959657,386.87028884502354,424.0045535529564,461.6840162754412,499.00749456541655,536.6195295544363,574.3754886979531,612.1423700509689,649.7988593471515,687.8377462221433,724.47858597412,761.5498349297054,798.625235564838,834.2294530651372,870.1532507335402,905.3720395643741,937.4863654555868,969.0848770428495,1000.8128221903512,1030.9020726370074,1060.491945511937,1090.6092809523288,1118.6542982393446,1146.0266343199264,1171.8768516287198,1197.3423246941766,1221.0516518967356,1243.809042842089,1266.868666548902,1289.647422389944,1311.5452697375576,1331.4719450334242,1350.2102593317672,1368.3822466066222,1386.0421155802283,1402.7289931406597,1419.2196762551512,1435.084949794567,1450.3431314473105,1465.012539548353,1479.1114248538695,1492.5197849493707,1505.6699417062343,1518.1652374477908,1529.869121655303,1540.9237898060674,1551.6861683316083,1561.6764842136615,1571.40769721363,1580.7302513319335,1589.6596838563885,1598.2110954825228,1606.399146560683,1614.238055544691,1621.7415993715158,1628.923115527417,1635.8255188809285,1642.3712399759381,1648.8100304535085,1654.8830554571955,1660.6918217825714,1666.2472423329398,1671.5598335443722,1676.6397245353314,1681.4966666203056,1686.140043103351,1690.5788792769952,1694.8218525605998,1698.8773027201084,1702.753242118168,1706.287164801553,1709.3405743073215,1716.0094828870053,1723.326609134642,1731.9291296938807,1739.5403851219078,1746.5097163315052,1753.2453752401934,1759.6142836650636,1765.6984353391695,1771.3420319823892,1776.8328492554142,1782.141635096649,1787.1271587407314,1791.6526953167122,1796.0914802601617,1800.5815155200573,1804.7709696338588,1809.4889672222869,1814.1222589611643,1818.375410500027,1822.7385258621841,1827.145288727206,1831.290188160834,1835.5920783511635,1841.2330119594856,1845.1532784903513,1848.6917354338782,1853.2691302997266,1858.6544541814558,1862.8635103261531,1867.846067869503,1872.9548760991336,1878.1918771681924,1883.139326785299,1887.1338683920628,1890.779546754947,1895.0554763652865,1899.5133416907447,1904.421261346244,1909.3668607560244,1914.3158239154984,1918.9587901250889,1922.4887494148159,1926.0607428536332,1930.8022756183527,1934.7746392249644,1938.69814269138,1943.7067452908616,1948.7758202405748,1954.6749445505243,1959.4758260370168,1965.1011743444908,1971.7183321228406,1975.595320263342,1979.4718428391022,1983.5592649653124,1988.3850382147068,1993.2116061190054,1997.7906538413501,2002.0774113334123,2006.3778678280619,2010.3372338230631,2013.9578555795285,2017.2321562047546,2021.308667902672,2024.2931417517561,2027.2587753366831,2030.2053246448959,2033.2698531489473,2037.0495484605212,2040.8171346839986
G_high_100,7.0,10.800647840883105,16.351750806851147,24.448567429964456,36.23541853513824,53.34543356289587,78.08171109836682,113.63655513093501,164.32600644567475,235.78080059913293,334.9820089399473,469.9785969813879,649.1276001087562,879.8307295873988,1167.022498211678,1511.9445600812924,1911.7436913430586,2360.0545080149764,2848.2463651509624,3366.8014592732375,3906.419827066695,4458.706297287813,5016.4849325942205,5573.858212581215,6126.12283193002,6669.621498319484,7201.578076515513,7719.940513360358,8223.242033241368,8710.483509547148,9181.036219609068,9634.562653229274,10070.952618625553,10490.271985775347,10892.721714921816,11278.605182870859,11648.302170746269,12002.248186016168,12340.918051655877,12664.812908471104,12974.449948705615,13270.354336799737,13553.052882886788,13823.069121823983,14080.919519837347,14327.110585936236,14579.961384019552,14823.969311089131,15056.58119879801,15278.29994971963,15489.612676659559,15690.989903194697,15882.885083610081,16065.734376553733,16239.96362299524,16408.94463547829,16569.814137777263,16722.960683905436,16868.755369918283,17007.55234113305,17139.68934306737,17265.488301393456,17385.255919165502,17499.284281993325,17607.851463805022,17711.22212744618,17809.648115669494,17903.369029130088,17992.612788862956,18077.59618141546,18158.525385369718,18235.596478440904,18308.995924698258,18378.90104174202,18445.480447895286,18508.894489645856,18569.29564970875,18626.828936182566,18681.63225334861,18733.83675471571,18783.567178950114,18830.94216935211,18876.074577552285,18920.654588029247,18963.41053754199,19004.186100919334,19043.073717263083,19080.161458376206,19115.53323826853,19151.09951545739,19186.556897224928,19220.42509618046,19252.775855266045,19283.677639867397,19313.19579010533,19341.392665935582,19368.327785392667,19394.057956299854,19418.637401754106,19442.117879681547,19464.548796746105,19485.977316881264,19506.44846470269,19526.005224047414,19544.68863187391,19563.742238338247,19583.031144552413,19602.56616794488,19622.362524486303,19642.439731536484,19662.82156550216,19683.536075434713,19704.615654120797,19726.09716877641,19748.0221541414,19770.43707158682,19794.650857643825,19823.816103403013,19854.56280096801,19885.233503956537,19915.822153666228,19946.322781747534,19976.72951414736,20007.036574871847,20037.23828956513,20067.329088901377,20097.303511787915,20127.15620837789,20156.881942891163,20186.475596242803,20215.93216847898,20245.24678102041,20274.41467871407,20303.431231694212,20334.97602475092,20370.17989609478,20405.35481400175,20440.492493414546,20475.584719776994,20510.62335623019,20545.600350605615,20580.507742204325,20615.337668352007,20650.082370720655,20684.73420140833,20719.28562876942,20753.72924298854,20788.05776139216,20822.26403349284,20856.34104576175,20890.281926126067,20924.079948188573,20957.728535167593,20991.221263556206,21024.551866500395,21057.739867988457,21094.971842051793,21138.34451926513,21181.70581624318,21225.04245580193,21268.341258873552,21311.589159835166,21354.77322141883,21403.324408038527,21463.477599023823,21524.061266627432,21585.054453242174,21646.43574493424,21708.18330464252,21770.27490638881,21832.687970377003,21895.399598856002,22011.517962244227,22291.25052736535,22608.74496293754
G_low_100,7.0,10.179360078295403,14.54401898247566,20.5316332308431,28.737740887510547,39.96948074023707,55.314798822601176,76.22919513302435,104.64008286403416,143.06448784350636,194.7278130080842,263.6586474925016,354.7175556159212,473.50083086675033,626.0544045773295,818.3558151014611,1055.5877651062083,1341.3268818461097,1676.8587586207582,2060.8372902168835,2489.40180728279,2956.699736698367,3455.634008307476,3978.626382599921,4518.24639635142,5067.643170837513,5620.78643561272,6172.558111850507,6718.743363869508,7255.963056400885,7781.578050109923,8293.584991283093,8790.51503758062,9271.341395573581,9735.39807936491,10182.310298263199,10611.935823794765,11024.316200881392,11419.636510753504,11798.192412290739,12160.363293531333,12506.590504374073,12837.359786891117,13148.962759845936,13439.41528228924,13716.328566348542,13975.783543840966,14223.644106622038,14460.38366701146,14686.465318119579,14902.34023542297,15108.446515951404,15305.208370988421,15493.03560351767,15672.323314158697,15843.451789559487,16006.786535577501,16162.678424432628,16307.118690655672,16442.44908031358,16571.541353860015,16694.68461793584,16812.154918783923,16924.21573217128,17031.118455445732,17133.10289705161,17230.397759843017,17323.221115362627,17411.780866931513,17496.275199948137,17574.670493531325,17648.389133420464,17718.774998323843,17785.98042139071,17850.15068541417,17911.424349006225,17969.933558768873,18025.80434780919,18079.15692098908,18130.105927331,18178.760720021546,18225.225604467323,18269.60007486347,18311.97903973613,18352.453036916704,18391.108438399242,18428.027645523114,18463.2892749122,18496.968335589307,18529.1363976711,18559.86175303467,18589.209568332266,18617.242030715955,18644.018486619174,18669.595573927363,18694.02734785544,18717.365400835595,18739.658976705115,18760.95507947046,18781.298576910798,18800.732299271764,18819.29713328801,18837.03211176173,18853.97449891305,18870.159871707758,18887.401942963643,18905.412800940965,18924.20548221779,18943.806776696518,18964.257628022056,18985.613748206488,19007.94649502009,19031.3440632149,19055.913046255635,19081.7804340447,19107.731034921202,19132.734363365857,19159.39153843514,19187.95160499069,19216.78891750692,19245.89887746808,19275.276662828917,19304.91723029478,19334.81531799802,19364.96544857036,19395.361932609583,19422.53328425802,19447.91791627029,19473.942148227026,19500.615516177404,19527.947322095766,19555.94660924194,19584.622136912956,19613.982354638232,19644.03537587615,19674.78895127604,19706.250441575598,19723.066368818483,19736.3119496899,19750.041589298206,19764.316443112835,19779.203882674825,19794.77840285924,19811.122662339367,19828.328679333557,19846.499208489808,19865.74932918799,19886.208280719093,19908.02158585196,19931.353511347963,19956.389922168473,19983.341595577614,20012.448072206582,20043.982133528585,20078.255009166543,20115.62243301531,20137.262690869196,20155.16197547689,20172.837412181605,20190.29000856507,20207.520831388352,20224.531004236764,20241.321705193935,20257.894164546895,20274.249662523758,20290.38952706554,20306.31513163351,20322.027893053277,20337.529269396822,20352.82075790344,20367.903892940492,20382.780244004847,20397.45141376559,20411.919036148698,20426.18477446413
D_high_100,1.0,1.0,1.0360560069665918,1.0993704938028253,1.1921665170833446,1.3232785030921073,1.5056438473513603,1.765190259694996,2.1313410501855365,2.644302029542245,3.360823077921529,4.357720980414799,5.746013814269652,7.6882263182719335,10.458876689693705,14.28760025682761,19.398980714371092,26.06854632643392,34.56178832424105,45.11209096422872,57.902659030332586,73.0552500022495,90.62631631999866,110.60946004517291,132.94229634138298,157.51576601836587,184.18429466836136,212.77568107899432,243.10004538798808,274.95751241915286,308.14454067425373,342.4589508706429,377.70378443290537,413.6901543737315,450.2392558045154,487.1836929892994,524.3682622753789,561.6503102114673,599.4900006451677,637.7173706368409,675.6676483721275,713.2351682657509,750.3268240714667,787.6242167542995,824.5634816043724,860.7458688736223,896.1145032884215,930.6227480608474,964.2332717332405,996.917152560087,1028.6530280953173,1060.624825916139,1092.2049101434445,1122.8242770165382,1152.4781182891754,1181.1662464540325,1208.892534192705,1235.664400011217,1261.4923381441654,1286.3894905142524,1310.3712583511938,1333.4549509787764,1355.6594692503727,1377.0050211349342,1397.5128670142392,1417.2050923375525,1437.5607571984506,1457.2146742339662,1476.1050535600396,1494.2532831341775,1511.681031043338,1528.4101218001101,1544.4624274510627,1559.8597721513236,1574.6238489549185,1588.7761476627945,1602.3378926590838,1615.3299897505412,1627.772981103948,1639.6870074514352,1651.0917768041338,1662.0065389803299,1672.4500653154948,1682.4406329783417,1691.996013369582,1701.1334641285562,1709.8697243175686,1718.2210123948284,1726.2030266245715,1733.8309476074705,1741.1194426460129,1748.0826716883785,1754.734294620659,1761.087479701233,1767.1549129529167,1772.9488083483382,1778.4809186419598,1783.7625467184912,1788.8045573421982,1793.6173892049724,1798.2110671830906,1802.595214723487,1806.7790662901723,1810.771479810266,1814.5809490670586,1819.801765126534,1825.2369703958227,1830.6926391995762,1836.0532179983945,1841.2536315190075,1847.9190980124094,1854.7754392754775,1861.2123943830343,1867.2599522924927,1872.9497595460782,1878.312499938112,1883.37689945857,1888.1694415513855,1892.714383947619,1897.0338954862812,1901.1482331478503,1905.0759250568196,1908.8339454818715,1912.437876809203,1915.9020573433133,1919.239715408925,1922.463090847483,1925.583545186062,1928.6116617574637,1931.5573369796502,1935.3761938178366,1941.2543478143398,1947.0869023123362,1952.8732057087582,1958.6126387477964,1964.304614319511,1969.9485772247995,1975.5440039088446,1981.0904021646859,1986.5873108084268,1992.0342993275567,1997.4309675038576,2002.7769450123583,2008.071890997791,2013.3154936299939,2018.5074696396894,2023.6475638360491,2028.7355486074396,2033.7712234067144,2038.7544142223999,2043.684973037086,2048.5627772743114,2053.3877292351967,2058.159755526044,2063.328473331092,2068.734528405437,2075.4816371703464,2083.7396409574644,2092.06872566047,2100.466687323683,2108.93124755723,2117.4600560076624,2126.0506929995568,2134.7006723416744,2143.407444290529,2152.168398663583,2160.9808680936503,2169.8421314155103,2178.7494171752005,2187.6999072519643,2196.6907405823904,2205.7190169758996,2214.781801010404,2223.876125996686,2232.9989979998463
D_low_100,1.0,1.0,1.01316887527153,1.0419797290230843,1.0907248646337977,1.16609505857135,1.278034468200983,1.440959889816454,1.675455486140072,2.009420276210033,2.4767030926137816,3.133290770753902,4.0505798574069685,5.3141977975786086,7.030984750928279,9.358900087503573,12.476587422446562,16.590827871986953,21.929116448618547,28.616112983665527,36.9713278881636,47.21180052581038,59.52131135406192,74.03869668192281,90.85078678471697,109.99021087364885,131.43741557021175,155.12578962090285,180.94869801073037,208.76737215203386,238.41884979219066,269.72341835243435,302.49124036650744,336.5280120645148,371.6396262611638,407.6358869586369,444.3333660889564,481.55751250855997,519.1441277717483,556.9403183627118,594.8050241750173,632.6092108930194,670.2358013095342,707.5794085379619,744.5459230878926,781.0519961027836,817.0244527488178,852.3996627300116,887.1228890655182,921.1476314582316,954.4349766639937,986.9529651008277,1018.6759803940637,1049.5841665277637,1079.662875672723,1107.3320198987738,1133.7773320166004,1159.417573750722,1184.2574694762866,1208.3040455959858,1231.5663382528971,1254.0551262929516,1275.782687938958,1296.7625796402403,1317.0094355865067,1336.5387864157155,1355.3668956988522,1373.5106128459663,1390.987241144687,1407.8144197124366,1424.0100182149606,1439.5920432751973,1454.5785555669202,1468.9875966562036,1481.8891737248987,1494.1779695550063,1505.9559661751464,1517.2415373284553,1528.052677469771,1538.4069778913351,1548.3216075117357,1557.8132978185579,1566.8983315012204,1575.592534352937,1583.9112700598673,1591.8694375314924,1599.48147045929,1606.7613388210625,1613.7225520760035,1620.3781638209346,1626.740777701299,1632.8225543916094,1638.6352194792837,1644.1900721033103,1649.4979942150912,1654.5694603432619,1659.4145477573904,1664.04294693733,1668.463972265747,1672.6865728710593,1676.7193435567938,1680.5705357612844,1684.2480684987624,1687.7595392393027,1691.1122346908599,1696.3547069311903,1703.9521915932257,1711.810759890244,1719.3369956211832,1726.403732937481,1733.0239308334092,1739.2486282598527,1745.1357052962876,1750.7409344659402,1756.1159817185753,1761.308521390505,1766.3629547049447,1771.321273333571,1776.223942106538,1781.11078033312,1786.0218553453763,1790.9693535850465,1795.9566103823934,1800.9841371214816,1806.0515303908905,1811.158076953979,1816.302945705593,1821.4852488556057,1826.7040617269524,1831.9584294775036,1837.247369710961,1842.5698738154,1847.9249079276576,1853.3114138071344,1858.7283097078287,1862.5015708253043,1865.398387874485,1868.3702148323987,1871.4317213658583,1874.598825615848,1877.8889326047454,1881.313243944169,1884.8789304220006,1888.5917787615479,1892.4571347082353,1896.4802361281713,1900.666327351953,1905.020694701362,1909.548673238984,1914.2556426226552,1919.1470184448458,1924.2282413254363,1929.5047645589261,1934.9820405961702,1939.2030315775005,1942.963141287633,1946.7270212013482,1950.4940597052064,1954.2636458462873,1958.0351697222475,1961.8080228671597,1965.5815986326534,1969.3552925638903,1973.128502769929,1976.9006302880439,1980.6710794415892,1984.439258191007,1988.2045784776062,1991.3559144528772,1994.4749822003218,1997.5777070780969,2000.6636907576406,2003.7325465133006,2006.7838992932511,2009.8173857770587
