state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
kl,1.895827013911309,0.26181764229783033,0.6970144937764977,0.04,0.0813636289259829,0.12564181048663678,0.0615308786424588,0.001,0.10439101795448058,0.11938716502342725,0.9400000000000002,0.01488631908095656,0.024584008361387823,0.0345399517627687,2.8816624741652004,2021-03-20,0.07142857142857142,1.5942172456504686,2021-06-10,0.0038100181860447205,0.04338681834909215,0.999922584828524,0.986143590456918
dl,12.142261129949734,0.2,0.5699975882926596,0.06150463715134213,0.0753397003047737,0.09223294862148752,0.3067548382955844,0.012582964947977409,0.08616958983770381,0.0226574594386437,0.8300000000000001,0.0022085335223304965,0.00045909353951038476,0.03333333333333333,4.412187703614396,2021-03-22,0.04470024114089337,0.0,2021-06-10,0.005417712884852442,0.007577949326363551,0.9996655627131334,0.9995537924503436
tg,29.893613346509838,0.29935562473292465,0.6418021922701894,0.11535384445568203,0.19623646793507188,0.04116096835092466,0.5,0.008598768149960615,0.05981022258841784,0.00601793062631007,0.9600000000000002,0.0,0.02432511227479989,0.0347618118404359,6.035113098181335,2021-03-19,0.06852813957944437,0.0,2021-06-10,0.004077521061591068,0.00970254026922188,0.9998130255681966,0.9991592670822445
rj,11.184237652553415,0.21778436838273407,0.8684580024457387,0.04312860417740082,0.13469029439706487,0.2,0.3637865325080592,0.015106114347758522,0.05928935545104998,0.02877292166169128,0.8700000000000001,0.00017251403157329432,0.001445014552795229,0.03333333333333333,2.936181608908733,2021-03-22,0.035219285608490025,0.0,2021-06-10,0.013564233215739593,0.00958782403829009,0.9987657302511947,0.9994955507596098
hr,26.15822424230431,0.2415729157920172,0.1,0.13483160163893398,0.12755349138243938,0.2,0.13614860009102048,0.0033013640132643018,0.19704055047825855,0.013901632497308294,0.8,0.0,0.00174817377218439,0.03333333333333333,1.7830018763705706,2021-03-20,0.04647628143188562,0.0,2021-06-10,0.013235077159788677,0.014147441450817982,0.9989377155920742,0.9985219277144592
jk,13.073441579326849,0.2062962525450378,0.463623542596753,0.056825187373261886,0.17094103472664113,0.1293248535324962,0.36885591950166396,0.020620969654432404,0.05540053600634668,0.018782784467644486,0.81,0.000408447841153956,0.0027884026063693967,0.03333333333333333,1.8180169706597842,2021-03-21,0.034726077393903515,0.0,2021-06-10,0.007724703319821719,0.01961456167596376,0.99951267154773,0.9951885510534096
ka,11.103997594926334,0.2000000118223136,0.10000390368471176,0.07048352427492251,0.1992050547954488,0.18139309617513533,0.08929505445123634,0.004855024130774043,0.02780636199307424,0.035455003837303996,0.8,0.0004849914217264151,0.00025524610091979145,0.03570393101963462,1.0685325043422056,2021-03-20,0.05325064686332663,0.3289343715882841,2021-06-19,0.002464470628625784,0.02250216126948377,0.999975253883278,0.9950302442285914
la,1.0000759016119714,0.2,0.6087154497149349,0.17162217106859892,0.16914624760722674,0.04,0.051299323887576284,0.001022479568099509,0.15587676275199303,0.21033779970501704,0.9900000000000002,0.0060319025054755325,1.8786691132915166e-05,0.04238300731478237,6.636231029835964,2021-03-17,0.06138538559255055,0.0,2021-06-10,0.02526577136699129,0.04667889361961474,0.9900457811771972,0.9234102441612508
mh,1.355617146404026,0.3,0.7111868451335548,0.0400986159354233,0.04010660314031663,0.15389824484283862,0.04367743038143864,0.001689689454873092,0.010133598266762934,0.19404780763106894,0.8300000000000001,0.0019433661913617587,3.9280614762507465e-06,0.07056394412532717,0.489463482710479,2021-03-19,0.03333333333333333,0.4156629368081536,2021-06-10,0.004897346610765402,0.03643461961449805,0.9998422810610968,0.9828769651987536
pb,16.319755913302032,0.2296237406435453,0.1,0.19968233447909425,0.13923901586315526,0.1763311641147277,0.129418002949758,0.005859278619795659,0.13244752939888568,0.031274296408777415,0.8500000000000001,0.0,0.0011290686262156152,0.03333333333333333,0.7321312923370231,2021-03-22,0.04142313426937181,0.0,2021-06-10,0.01927394174102621,0.021227440456922923,0.9976806588320968,0.9962343441814766
