state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
tn,3.4071251692690403,0.200016724304077,0.4775490947827447,0.04024338655023012,0.07181761209519556,0.1939310041848079,0.08354530094558586,0.004307231435955464,0.1092326542401175,0.05815268875328046,0.81,0.0014843647380725427,1.4784781890623535e-05,0.07096152970576343,1.121374522000702,2021-03-22,0.0651031411343188,0.0,2021-06-10,0.030813177913625662,0.07444191879518873,0.990229896498054,0.912262556117579
up,10.496389420821703,0.2999998009581325,0.8999997311098409,0.04010276595981167,0.07279259608972985,0.2,0.31951370561975273,0.011065920541636135,0.03630063255838747,0.022346401817123145,0.8500000000000001,0.0010807627034954206,0.0007438260497463026,0.07142776449238544,3.1012594662328112,2021-03-21,0.05488314857842951,0.0,2021-06-10,0.008147413196860744,0.019134907767166396,0.999523953991567,0.9972762308000188
ap,2.236653759346485,0.20366396835087575,0.8282191074189441,0.0419920522973739,0.19214973752787864,0.17816659503150611,0.3948343859571845,0.01233437659503276,0.1631863936442584,0.14610520234367355,0.81,6.794578381748645e-05,7.156028074083032e-05,0.05012503368082434,0.7972268788593978,2021-03-18,0.06960318298403365,0.2326635382227748,2021-06-13,0.00254331994911057,0.011666239671298744,0.9999256593003952,0.9973304650428396
ut,2.751201324427225,0.26909516195354183,0.8674200121946293,0.053836619872963634,0.10750865672527277,0.19963241302535373,0.4995243612624036,0.03622536999472609,0.14344125754869866,0.08319022899317559,0.81,0.0,0.0037169416090183046,0.03333333333333333,2.6881244910638507,2021-03-19,0.047920964741390015,0.0,2021-06-10,0.015044041559718484,0.012173132941492248,0.9992508152981112,0.99946569437876
or,5.791580723033916,0.20000972549855886,0.6796761071625458,0.04,0.16387633592882805,0.04527601437588378,0.04598667980708752,0.001,0.15898663790833062,0.006534863487048531,0.8400000000000001,1.5067012251967078e-07,0.04848980726547968,0.04380891608066502,9.99999189860804,2021-03-15,0.052569199783985984,0.0,2021-06-10,0.011183522488690057,0.05142987426597095,0.9986552031043368,0.9646455794312084
wb,2.804215027040584,0.20815306680166093,0.8940419888306865,0.045627656495715915,0.19998525470241307,0.11414087425931607,0.22071803769791984,0.009782832767850977,0.017449726461608396,0.06316568209015269,0.8200000000000001,0.0,0.002359674879246527,0.05238113814555581,1.9102757550895275,2021-03-21,0.058534142425580235,0.0,2021-06-10,0.016651807856219766,0.004743918213306689,0.9970974678446218,0.9996370566644152
py,1.0004994919876076,0.2459889969767112,0.7199553766844247,0.0941948762445722,0.12988557749066626,0.2,0.3963798339436818,0.014926069902953474,0.01162312678017212,0.2636477021074327,0.8400000000000001,0.0,0.0015722671257440118,0.03333333333333333,1.3224136490174272,2021-03-18,0.05240771138086113,0.0,2021-06-10,0.010368286707965768,0.02717262237433338,0.999457613972831,0.9930026151082052
ch,13.74560480705976,0.20017974829111465,0.10111485904631384,0.18761918380882234,0.18760579088952636,0.2,0.08725869389815842,0.0022001450427727373,0.03686395652602753,0.04594425966809521,0.8500000000000001,0.0,0.0013630181035154607,0.03333333333333333,1.106419570928511,2021-03-20,0.04838137184852916,0.0,2021-06-10,0.014101468926578072,0.026897870112789362,0.9986906565536746,0.9948890637858318
ct,7.073757318054245,0.2,0.7287369249910863,0.06729566160277252,0.2,0.16433533903149258,0.4849400271194437,0.029403892935278182,0.1401986711893312,0.06638646670719323,0.8200000000000001,0.0004506437412157144,0.0,0.03333333333333333,1.2086564251416931,2021-03-20,0.04408247693985258,0.0,2021-06-10,0.008922770135643916,0.015293454526084509,0.9997555564141892,0.9994503436031282
gj,29.657217567621952,0.23069314653865955,0.6220003511296799,0.2,0.2,0.19895917038308425,0.4545710214529729,0.009561482372620448,0.14786264584181438,0.015268097925399972,0.8,0.0013898758034143585,0.00024770785969160426,0.03333333333333333,1.553313463912638,2021-03-22,0.048572136012970835,0.0,2021-06-10,0.007300968496315347,0.020642230444077533,0.9997052504350332,0.9965353579509478
hp,18.523865232951152,0.2259012554331516,0.10180531232452827,0.07335409067038713,0.19007749462775356,0.2,0.4953934586701666,0.03286737047580721,0.1156478775036346,0.01804696534379539,0.8200000000000001,0.00036090946308067463,0.002131018731067589,0.03333333333333333,1.7122373497172356,2021-03-21,0.05215830154133259,0.0,2021-06-10,0.02062389149449318,0.017944198057695503,0.9984461230237779,0.9987806456446224
mp,34.89392811665722,0.2159856091831522,0.6032916102119575,0.04,0.09350606889988634,0.2,0.471071766531907,0.014085141340697797,0.10956711698056733,0.010006197572593587,0.81,0.002042623441586519,9.899067258416508e-06,0.03333333333333333,1.7192902567898245,2021-03-20,0.05037019741031543,0.0,2021-06-10,0.009772436567443305,0.052603897828142315,0.9992602328570838,0.9747225050848606
br,11.189168626982088,0.29999997976606885,0.8999998305579525,0.04,0.19999997541982373,0.1803336357813005,0.011581956344505605,0.002320001786253798,0.06081466709097801,0.008174160474731617,0.9000000000000001,0.0,0.1299410803338003,0.07142856941266976,9.999999535417443,2021-03-15,0.054133830041457935,0.0,2021-06-10,0.009443776605499991,0.13221078609508927,0.9995321707938812,0.9352645129557928
mn,1.2625879057759617,0.20001303542982912,0.8222613066125619,0.19993990818174714,0.2,0.062359719743991834,0.4895698045076928,0.024156538303955564,0.18208819173057436,0.02903421647561844,0.9300000000000002,0.006694509668263369,0.0003682696517038017,0.07142817297477994,9.999947903772053,2021-03-17,0.06984476095924012,10.0,2021-06-28,0.005642381359644275,0.05342692277189445,0.9997108936137696,0.9742222281986068
mz,1.6660501888714403,0.2,0.8411377237167924,0.04187439307174252,0.1793108614360987,0.04,0.01,0.001471613268296448,0.15640302814996468,0.015153012030243019,0.8500000000000001,0.0009464612539901123,0.06798737823121549,0.07142857142857142,9.999958902467023,2021-03-21,0.04652496043763249,8.956159911333188,2021-06-13,0.021472498744739082,0.10150268161184793,0.9974891247021336,0.9207861010234224
ga,7.104137758308662,0.2077000648631967,0.10027907058586408,0.06661430930057659,0.14840939225841432,0.1918274321533973,0.4799029255758043,0.03303379840324868,0.07700250380562985,0.039523685253264336,0.8,0.006991698379234339,0.0,0.03333333333333333,2.407785326564204,2021-03-21,0.07142857142857142,1.173386695998527,2021-06-10,0.0076843101106341075,0.015172191750755171,0.9997731248333868,0.9989821270083136
an,1.0509729056479182,0.3,0.8668057171161413,0.04,0.04,0.17912865154229105,0.051012908595387936,0.005487052573451052,0.0939366108955508,0.12449931039898812,0.9900000000000002,0.0011488090032385002,0.0,0.07142857142857142,4.7315232019982405,2021-03-15,0.07142857142857142,4.921954108105091,2021-06-22,0.009594498407507672,0.0927624498296693,0.9966791881414372,0.8419080679993503
as,5.9683092402310045,0.2584972739438482,0.7976895304234347,0.1999732828903999,0.16073290532291762,0.04890118623193032,0.4520625862563719,0.010947285204015812,0.13619514981929012,0.006247728402112457,0.8300000000000001,0.006420763755029257,0.006004403130787263,0.07142857142857142,9.999176837351557,2021-03-18,0.03333333333333333,3.389023892039733,2021-06-11,0.004347733628124979,0.022581795917752518,0.9997894959300442,0.9970368550676504
jh,30.370935358591336,0.2863438365595939,0.5690378740930057,0.199999993800318,0.19999903675809771,0.2,0.5,0.019112745898876942,0.12984570004227775,0.01070955480506443,0.9300000000000002,0.0018053161746793415,0.0,0.03333333333333333,3.008306836841212,2021-03-17,0.04947283825510433,0.0,2021-06-10,0.010590941754470888,0.022939322477593997,0.9994889970513322,0.9977492411422526
ar,4.934076369096039,0.20000182069937328,0.7055744784355991,0.2,0.19780546307800748,0.04,0.4995337592821839,0.006444212800765786,0.1104494060903124,0.00784929075382124,0.8700000000000001,0.0052575322588861535,3.3101544691567045e-05,0.07142857142857142,9.999291216257381,2021-03-17,0.038016607267823806,7.956821452765423,2021-06-18,0.005392162442149597,0.033295315939467635,0.9997675774617254,0.9956044910919659
tr,35.455140286619745,0.2,0.16761820674158448,0.18754554203525955,0.1999994607831571,0.08364381567961776,0.10610887073075403,0.0026053225878607906,0.08443985024676813,0.006745637558029737,0.8,0.0005314035963697903,0.0010339630359109137,0.03341781567981929,2.412848600676125,2021-03-17,0.05449783701062665,1.9217612420685188,2021-06-17,0.004874214221342189,0.025142262332760262,0.9996566481650269,0.9841344111281894
nl,37.365532810056294,0.2026071456986421,0.10502815993997802,0.13836104262804286,0.04000259869724883,0.19855030228001905,0.16714746700583616,0.009097830328375208,0.03995327780485795,0.0022860719166706693,0.9500000000000002,0.01844683115131953,0.0,0.037478642779147336,9.999984806418233,2021-03-15,0.06666789453582919,10.0,2021-06-22,0.008008481717617005,0.07163848986794343,0.9991383326213068,0.9672177468946772
ml,6.117286533217444,0.22500279168758108,0.7794540296463282,0.1999999731101452,0.17702543158797093,0.1984677465764166,0.4634503531355322,0.021527343616141625,0.185895320737974,0.030435090223189326,0.8200000000000001,0.002938933149282792,0.001271951903133302,0.03333333333333333,2.788260978232114,2021-03-17,0.04838582733688652,2.22303887375982,2021-06-10,0.018846666969614782,0.057397433639761214,0.9987086950503574,0.9803613275571924
sk,1.3792238478360854,0.2114498595681764,0.6639705358060926,0.1376788580539712,0.19401642334844826,0.04,0.4860343250512809,0.017924781338069684,0.14958651838377746,0.0232137289061479,0.9200000000000002,0.007819179552852638,0.0074731250160565265,0.07069810833411858,9.879513680325699,2021-03-16,0.04143894218194536,0.0,2021-06-10,0.031017359669968513,0.08076678941164951,0.9906341776328864,0.8874577249708021
dn_dd,31.70544794321871,0.2000012501594141,0.4225337936153256,0.04,0.2,0.04000027135765213,0.5,0.001,0.1608449052983584,0.002269004057659195,0.8,0.0,0.06748545171871402,0.07142847305449733,9.999414086365237,2021-03-15,0.06763165000475221,0.0,2021-06-10,0.024124508887423863,0.15790711924491205,0.9972945827592252,0.7490560537196207
ld,3.3698182371269536,0.20000001324083386,0.1,0.04787233703182895,0.15760695845943473,0.17747724944240953,0.05641139395538161,0.0018441562650890226,0.1827910693408778,0.06159776370206972,0.8700000000000001,0.006495442146714686,0.0,0.043370976626680866,1.6417020545797831,2021-03-17,0.039170977300677805,0.0,2021-06-10,0.10801535941590096,0.5080667191597468,0.9858682859878972,0.8681377543107862
