series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,58021.850000000006,58018.38312266328,58014.49441000734,58010.13364682633,58005.24492622353,57999.76607772169,57993.628056841146,57986.75429875664,57979.06004047774,57970.45161829777,57960.82575008853,57950.068815444894,57938.056150750956,57924.651380973344,57909.705815370486,57893.05794026924,57874.53304845159,57853.94305126294,57831.086525921375,57805.749056147295,57777.70392845613,57746.71324841307,57712.529539850395,57674.89788442779,57633.558647921935,57588.25082237092,57538.715989118,57484.702876895906,57425.97245212588,57362.303437262235,57293.49810998611,57219.388194966166,57139.84062506129,57054.76292476852,56964.107959558554,56867.877803557916,56766.12650618673,56658.961585047466,56546.54413450868,56429.08751194671,56306.85464001322,56180.15403659426,56049.33474778956,55914.78040808041,55776.90268262766,55636.13435830563,55492.92234367784,55347.7208163791,55200.98472310253,55053.163796872876,54904.697212681785,54756.008959486746,54607.50396685252,54459.564990061575,54312.55022939647,54166.791637820555,54022.59385620368,53880.23370591698,53739.96016419069,53601.99474713713,53466.532227844036,53333.741621577086,53203.76737614519,53076.73071226388,52952.731065816006,52831.84759089514,52714.1406891707,52599.653537268445,52488.413589419295,53235.58863958312,53983.492478191605,54731.70293085098,55480.091672201364,56228.53205476829,56976.89871599668,57725.06720637395,58472.91363644859,59220.31434093643,59967.14555844957,60713.28312569247,61458.60218525281,62202.97690637827,62946.28021837941,63688.38355653621,64429.15662061697,65168.467146342795,65906.18069035304,66642.16042944629,67376.26697508941,68108.35820440276,68838.28910904308,69565.91166361544,70291.07471544888,71013.6238977667,71733.40156846587,72450.24677688938,73163.99526112378,73874.47947847795,74581.52867189195,75284.96897507987,75984.6235592219,76680.31282398045,77371.85463551656,78059.06461401831,78741.75647301594,79419.74241244303,80092.83356700379,80760.84051092005,81423.57381955537,82080.84468774931,82732.46560394333,83378.2510783485,84018.0184225023,84651.58857659942,85278.78697997655,85899.44447910125,86513.39826638468,87120.49284213033,87720.5809909753,87784.39106853952,87517.3628897526,87247.36095973666,86974.95275009351,86700.70622097881,86425.18490723427,86148.94335115403,85872.52294074798,85596.44819608203,85321.2235305838,85047.3304996649,84775.22553603907,84505.3381599729,84238.06964352021,83973.79210057815,83712.84796928253,83455.54984968796,83202.18065766124,82952.9940552386,82708.21511812932,82468.04120237054,82232.642974137,82002.16556919843,81776.72985132823,81556.43374195755,81341.35359642522,81131.54560519909,80927.04720136986,80727.8784584903,80534.04346541454,80345.53166716179,80162.31916297476,79984.36995466129,79811.63714000458,79644.06404750897,79481.5853100293,79324.12787592519,79171.61195730467,79023.95191568958,78881.05708606484,78742.83254078156,78609.17979518366,78479.99745713506,78355.18182285053,78234.62742159166,78118.22751188949,78005.87453200674,77897.46050736445,77792.87741763645,77692.01752616762,77594.77367430346,77501.03954313438
I,14.0,15.715191659560645,17.637613162366993,19.79155103224137,22.203944744187584,24.904626675681595,27.926570567447783,31.30614481800465,35.083365562264675,39.3021428163772,44.0105109789501,49.26083264212859,55.10996198004299,61.619350966983085,68.85507838949052,76.88777816110954,85.79243999635443,95.64805230282762,106.5370545538639,118.54456486015032,131.7573485248105,146.262495691311,162.14578148194454,179.48969097352628,198.37110455961374,218.85865706633814,241.00980639739092,264.8676739107622,290.4577479141476,317.7845715747818,346.8285643901311,377.5431487905622,409.8523668206218,443.6491727768955,478.7945735841162,515.1177583811391,552.4173129374353,590.4635558703185,629.0019668587661,667.7576082597552,706.4403774643047,744.7508743851405,782.3866317816291,819.0484388553745,854.446491504872,888.3061243218207,920.3729164559943,950.4170112258337,978.2365426526761,1003.6601159793275,1026.5483394632347,1046.7944481473428,1064.32409494205,1079.0944093780447,1091.0924399564321,1100.333102994319,1106.8567605666694,1110.7265441279765,1112.0255302404369,1110.8538620110305,1107.3258956251352,1101.5674367979389,1093.713117839272,1083.9039529031386,1072.2850972281092,1059.0038259597193,1044.2077395417068,1028.0431956341163,1010.6539619620518,992.1800802772723,977.8989584793599,965.0605136006843,953.6163578728883,943.5223526476237,934.7384808889484,927.228714194946,920.9608772123879,915.9065115715517,912.0407408648861,909.3421376973033,907.7925934266713,907.3771908737775,908.0840799980749,909.9043562979956,912.8319414937956,916.8634658798555,921.9981515867067,928.2376958666557,935.5861534077417,944.0498165868291,953.6370924927085,964.3583754837242,976.2259139919124,989.2536702477686,1003.457171578027,1018.853351925112,1035.4603822536146,1053.2974885489564,1072.3847561793318,1092.7429194872625,1114.3931356048522,1137.3567416502547,1161.6549946648204,1187.3087938933006,1214.3383852951158,1242.7630485039294,1272.6007668253449,1303.8678812768712,1336.5787301271753,1370.7452758780582,1406.3767221456342,1443.479123427795,1482.054991282145,1522.1029009689917,1563.6171031226877,1606.5871454850158,1650.9975101486182,1696.8272720983127,1744.0497850851164,1792.6324010043613,1840.0814937632574,1884.6923104693997,1926.2450392314468,1964.5463043068094,1999.4308418122707,2030.762623543127,2058.435437639064,2082.3729500474537,2102.5282834926043,2118.8831607004054,2131.4466658732376,2140.253682939039,2145.363071115032,2146.855638124617,2144.831969335065,2139.410167518874,2130.7235532577774,2118.918370560073,2104.1515363696262,2086.5884665860053,2066.4010052198028,2043.7654775574895,2018.8608828425492,1991.8672370889185,1962.964072287186,1932.3290944711584,1900.136999884977,1866.558445812295,1831.7591704682238,1795.8992546710008,1759.1325167567938,1721.6060313278022,1683.4597618803318,1644.8262970965231,1605.8306805541627,1566.5903237702623,1527.2149928065994,1487.8068590942335,1448.4606056485645,1409.263580420403,1370.2959891394669,1331.6311206361077,1293.3355982596759,1255.4696516355928,1218.0874036083826,1181.2371677974377,1144.961752740899,1109.2987691171973,1074.2809370113157,1039.9363906326985,1006.28897829377
IH,4.0,2.7161951130658233,2.192825829951822,2.0481041384415883,2.099125713429311,2.259124858112597,2.487898818843956,2.7678943863538255,3.0926804828255365,3.46139874222484,3.8760989362037948,4.340465871738357,4.859216374664088,5.437817416906221,6.082356033193455,6.799478165355851,7.596355123281512,8.48065621215753,9.460515481732077,10.544484947416727,11.741468667180795,13.06063304365448,14.511289326947534,16.102744882978914,17.844120578704413,19.744132756153547,21.810839807862834,24.0513553673619,26.471532577151738,29.07562671620956,31.865946508277194,34.842507461917506,38.00270331398362,41.341013711833156,44.84876731790635,48.51397923520629,52.32127981374775,56.25194843774203,60.2840609319676,64.39275308412118,68.5505959555006,72.72807176332083,76.89413282193608,81.01682093282153,85.06392118368514,89.00362262768917,92.80515881230873,96.4394034467555,99.87940029589043,103.10081121313405,106.08227157712176,108.8056477987524,111.25619660862314,113.4226302122924,115.29709491793753,116.87507341202489,118.15522249073751,119.13915882595202,119.8312053790328,120.23811052238739,120.36875094202216,120.23382812043434,119.84556676693012,119.21742207852051,118.36380126184852,117.29980338525574,116.04098039982668,114.60312109162868,113.00205881331377,111.25350309040581,107.48973281849982,104.88475323553531,102.92378910271228,101.35243635728689,100.04388570106573,98.93396466087313,97.98935456911644,97.1920358010851,96.53167147079598,96.00187449120092,95.59837439635257,95.31811362664091,95.15879864448122,95.11867370106293,95.1964036645225,95.3910103204999,95.70183491942781,96.12851361176666,96.67095918898394,97.32934585718615,98.10409538402789,98.9958637446383,100.00552777281811,101.13417150708705,102.38307200881665,103.75368447139898,105.24762645960911,106.86666112909725,108.61267928334763,110.48768013258822,112.49375062772538,114.63304325341298,116.9077521785039,119.32008767985042,121.87224877707894,124.56639404183724,127.40461057527725,130.38888118226942,133.52104980999496,136.80278536193646,140.23554404552058,143.82053046221284,147.55865770196982,151.45050675865866,155.4962856381835,159.6957885852346,164.04835590623668,168.55283491350497,173.20754255699453,178.01023034348134,182.95805216667995,187.91624326730937,192.72770053562613,197.30381607920364,201.59090221349607,205.55385697730935,209.16823379231474,212.4163931828108,215.28562357428802,217.76719951298747,219.85587514395684,221.5495701893736,222.84913280564996,223.7581259980201,224.28261473630283,224.4309457075339,224.2135186864001,223.64255170025598,222.73184343743142,221.49653665458396,219.95288616498647,218.11803458392495,216.00979850138899,213.64646721762983,211.0466156540619,208.22893256313512,205.21206471881243,202.01447738045167,198.65433098941475,195.14937377902464,191.51684975210134,187.7734213025168,183.93510562353163,180.01722395121536,176.0343626309792,172.00034496419937,167.92821278534672,163.8302167335408,159.7178142119897,155.60167407074692,151.49168709944541,147.39698147440328,143.3259423664029,139.28623497956238,135.2848303564407,131.32803334854617,127.42151221373585,123.57032936181969,119.77897282644926,116.05138809468028,112.39100997520069
IN,0.9660612732976315,1.8714746413966616,2.838403221870805,3.8772849463648758,4.999578344971925,6.217881539807047,7.546060326028959,8.999385357004515,10.594678195622686,12.350465660252997,14.287141466163256,16.42713362492006,18.7950753985577,21.417976796013903,24.3253926327906,27.549582042037827,31.125653025170575,35.091684173441976,39.48881410600843,44.361287504520305,49.75644495678989,55.7246422638454,62.31908356468753,69.59555177960638,77.61201969054936,86.4281257171541,96.1045003702247,106.70193271314216,118.28037112376728,130.89775931379634,144.60871687239134,159.46308331090623,175.50435523335085,192.7680571595709,211.28009681029113,231.05516432713236,252.09524092924,274.3882849943078,297.90716183471545,322.6088772225026,348.434164143397,375.3074579293708,403.13727783466754,431.8170145767362,461.22610479227643,491.23155615715035,521.689772294343,552.4486154439093,583.3496377135726,614.2304087005537,644.9268681553629,675.2756366492553,705.1162242243021,734.2930859714008,762.6574836119495,790.0691227275029,816.3975456679299,841.5232698822325,865.3386701048137,887.7486102722718,908.6708371359493,928.0361522623953,945.7883825389437,961.8841715369032,976.2926152741754,988.9947662219405,999.9830289789729,1009.2604700487751,1016.8400627433732,1022.7438865316096,1027.0022982595492,1030.0079132576436,1031.938931282668,1032.9590260050902,1033.2185501432732,1032.8556561425405,1031.9973373235703,1030.7603943130432,1029.2523314141026,1027.5721873869345,1025.8113049000524,1024.0540426880864,1022.3784342177858,1020.8567964250204,1019.5562918452591,1018.5394472209172,1017.864631433092,1017.5864953740165,1017.7563761511644,1018.4226677951643,1019.6311604321562,1021.4253496774616,1023.8467178118933,1026.9349881151331,1030.7283535528284,1035.2636808459456,1040.5766907930995,1046.7021155698149,1053.6738335938844,1061.524982424196,1070.2880500528324,1079.994944858252,1090.677044412404,1102.3652232783304,1115.089859898793,1128.8808226624285,1143.7674352434888,1159.778421345899,1176.9418290434453,1195.2849349964056,1214.8341289414427,1235.614778996177,1257.6510784919856,1280.9658752469695,1305.5804844135546,1331.5144862788698,1358.7855106568666,1387.4090097841945,1417.3980219111945,1448.7629280582353,1481.51120467839,1515.4777877498432,1550.390340316474,1585.9784543529831,1621.9753538794207,1658.119606788056,1694.1568067527157,1729.8411896188147,1764.937152560036,1799.2206488116253,1832.4804357231324,1864.5191589965857,1895.1542610901408,1924.218706699396,1951.561522837154,1977.0481552087697,2000.5606462484209,2021.9976432963347,2041.2742479402136,2058.3217195210577,2073.087047238328,2085.5324062203745,2095.634513401813,2103.383899125064,2108.7841101165477,2111.85085893752,2112.6111342318545,2111.102285141508,2107.3710921837464,2101.4728357260196,2093.4703719927325,2083.4332253254197,2071.436704221006,2057.5610475136127,2041.890605960788,2024.5130634577831,2005.5187011424748,1984.9997067744225,1963.0495309772061,1939.7622912242261,1915.2322238232935,1889.5531836118655,1862.8181906088644,1835.1190224759944,1806.545851316166,1777.1869230735047,1747.1282775928069,1716.4535072405085,1685.2435518787063,1653.5765279131242,1621.5275891000674
D,0.01,0.07942929079940639,0.12657516589264978,0.16463675144769346,0.20018635590152564,0.2366215582970744,0.2758339174785912,0.3190171801218454,0.36706041618489643,0.4207410693328321,0.4808216842944891,0.5481003843467299,0.6234392511501853,0.7077822378336328,0.8021681895217475,0.9077416059652756,1.025762342671952,1.1576147298894202,1.3048162164703396,1.4690254365937052,1.652049464529745,1.8558499251561984,2.0825475475592543,2.334424679197995,2.613925218485244,2.9236513776648794,3.266356661342147,3.6449344462419915,4.062401582722099,4.521876516023356,5.0265515516370325,5.579659068317409,6.184431714005898,6.844056898893432,7.56162621462871,8.340080741656168,9.182153534695543,10.090310872491994,11.066694094021296,12.113063993274974,13.23074978808793,14.420604603354697,15.682969214288622,17.017645491404217,18.42388059645129,19.900362526551255,21.44522712595587,23.05607621567209,24.730006062278605,26.46364504428203,28.253199095124874,30.094503315622273,31.983078056031616,33.91418776292562,35.88290095698632,37.88414983983238,39.91278820461375,41.96364653005824,44.03158335598916,46.111532257265225,48.198543942422724,50.28782319550147,52.37476054962634,54.45495872614656,56.52425399260785,58.57873268709086,60.614743227077895,62.62890397028484,64.61810732548241,66.5795205260527,67.78365649577168,68.94705585010087,70.08226059006647,71.1962411224155,72.29321434884316,73.37602466920868,74.44682192202198,75.50739532608223,76.55933906742402,77.6041354523129,78.64319765731479,79.67789263823389,80.70955425782648,81.73949155508132,82.76899456589743,83.79933887557,84.83178948183458,85.86760425254744,86.90803711749271,87.95434106256579,89.00777095915629,90.06958624359416,91.14105345205995,92.22344861101621,93.31805947985737,94.42618764006427,95.54915042318996,96.68828266826253,97.84493829756659,99.02049169822088,100.21633889550277,101.4338985024966,102.67461242938857,103.93994633462961,105.23138979927788,106.55045620515787,107.89868229707766,109.27762740927844,110.68887233659906,112.13401783157016,113.6146827098544,115.13250154816191,116.68912196103005,118.28620144569138,119.92540378768032,121.60839502385274,123.33683896410203,125.112392278225,126.93669916007238,128.81138558724965,130.73805320112572,132.71827283865568,134.75215673019258,136.8381167236284,138.97360563233022,141.15549518888753,143.38027720496225,145.64417889826214,147.94323656821743,150.2733489323964,152.63032026969867,155.00989808128233,157.4078073527236,159.81978224949523,162.24159550073443,164.6690854788895,167.09818089555145,169.52492302274686,171.94548537252905,174.35619080503022,176.75352607578776,179.13415387192592,181.4949224211507,183.83287278641612,186.1452439822344,188.42947606605475,190.68321137029687,192.90429404800295,195.09076810824098,197.24087411695183,199.35304473547612,201.42589926308926,203.45823734204234,205.44903197432797,207.39742198908974,209.30270408864095,211.16432458976948,212.9818709656453,214.75506328243378,216.4837456138231,218.1678775062348,219.80752555760105,221.40285516333134,222.95412247450096,224.46166660539748,225.92590212036498,227.3473118233829,228.72643986798806,230.0638851999672,231.36029534068084,232.61636051488992
R,0.0,2.0606479051986013,3.536233885882475,4.810837578476266,6.078299891285878,7.441728919722563,8.961640802364887,10.679320775184506,12.62823613866622,14.839694687352083,17.345738119162437,20.18071330527924,23.38221751793623,26.9917528822281,31.05525065782861,35.623541029603786,40.752802334245196,46.50500259205661,52.94833499386236,60.15764237733688,68.21482120386926,77.20919193627545,87.2378195017775,98.40576453021005,110.82624330401961,124.62067198507552,139.91856891849,156.85728793989531,175.58155594963776,196.24278989026342,218.99817196476434,244.00946767543945,271.44157913005415,301.46083595759575,334.2330377878127,369.9212750302581,408.6835678714611,450.6703760509811,496.02204304515357,544.8662467669426,597.3155339087945,653.4650159978585,713.3903018312245,777.1457333365529,844.7629805683563,916.25003733446,991.5906429068563,1070.7441385620252,1153.645751446351,1240.2072834631235,1330.3181703006699,1423.8468658755828,1520.6425005897775,1620.5367578870664,1723.345912433529,1828.872974479068,1936.9098881396696,2047.239735990102,2159.6389080023364,2273.8791990732198,2389.7298057837334,2506.9591993199456,2625.3368574333444,2744.634843764716,2864.6292277005573,2985.1013421241637,3105.838879955024,3226.636833260057,3347.2982810097915,3467.635033296523,3587.4681410918724,3705.6867005733848,3822.7914583502957,3939.0369605309534,4054.560826384524,4169.446709453495,4283.754850050994,4397.536801610158,4510.842440323242,4623.723222901469,4736.23363002017,4848.431741480021,4960.379404219124,5072.142217233005,5183.789441593605,5295.393887172083,5407.031800069299,5518.782761323797,5630.729600951947,5742.958328233919,5855.558077658968,5968.621069236916,6082.242581555878,6196.520935817417,6311.557489011402,6427.456634356572,6544.325807106856,6662.275493797743,6781.419242977423,6901.87367543304,7023.758491884043,7147.196476073669,7272.31349114853,7399.23846717746,7528.103377627353,7659.043202588857,7792.195876531926,7927.702218374214,8065.705841667675,8206.353042754654,8349.792664817833,8496.175935852441,8645.65627872754,8798.389091678908,8954.53149779166,9114.24206228777,9277.680476733167,9445.007209620771,9616.383123168342,9791.969056590782,9971.925376561572,10156.411496061768,10345.509083216386,10539.204157682203,10737.421459351852,10940.04213647223,11146.913373986605,11357.854162294274,11572.6592433447,11791.102212501337,12012.938237074548,12237.906599944465,12465.733154239884,12696.132716473961,12928.811398431846,13163.468866521618,13399.800513374246,13637.499526305637,13876.25883887453,14115.77295418643,14355.739631287754,14595.861428691496,14835.847101628515,15075.412851948076,15314.283431658405,15552.193102886697,15788.886458547848,16024.119109251087,16257.658242959495,16489.283064668867,16718.78512391179,16945.96853824354,17170.650121052167,17392.659422079,17611.838688959324,17828.042757917574,18041.138881494786,18251.006500866224,18457.536969938606,18660.633238012888,18860.209497371547,19056.190801708606,19248.512660874843,19437.120616966335,19621.969806347774,19803.024511777065,19980.257708388384,20153.65060689969,20323.192197039607,20488.878793839023,20650.713589105362
G,14.0,17.466877336723506,21.355589992667113,25.71635317367416,30.60507377647859,36.08392227832324,42.221943158866544,49.095701243371714,56.789959522266386,65.39838170224233,75.02424991147646,85.78118455511536,97.79384924905357,111.19861902666732,126.1441846295273,142.79205973077464,161.31695154842603,181.90694873707554,204.7634740786395,230.10094385272032,258.1460715438826,289.1367515869449,323.3204601496188,360.95211557222206,402.2913520780748,447.5991776290886,497.134010882013,551.147123104106,609.8775478741289,673.546562737777,742.3518900139035,816.4618050338453,896.0093749387188,981.0870752314912,1071.7420404414574,1167.9721964420942,1269.723493813282,1376.8884149525436,1489.3058654913261,1606.7624880532987,1728.995359986787,1855.6959634057475,1986.5152522104481,2121.0695919195914,2258.947317372343,2399.7156416943735,2542.9276563221606,2688.1291836208984,2834.865276897471,2982.6862031271235,3131.1527873182167,3279.841040513258,3428.3460331474867,3576.2850099384327,3723.299770603537,3869.05836217945,4013.256143796323,4155.6162940830245,4295.889835809312,4433.855252862878,4569.317772155966,4702.108378422919,4832.08262385482,4959.119287736128,5083.118934184001,5204.002409104873,5321.709310829311,5436.196462731565,5547.436410580715,5655.4159624485665,5762.666725871756,5869.610875244052,5976.376735925334,6083.090955390073,6189.878896193358,6296.865007847766,6404.173179804793,6511.927077348623,6620.250461867153,6729.2674966559225,6839.1030391272625,6949.882920033462,7061.734210063995,7174.785473938868,7289.167011889782,7405.011088195628,7522.452146217062,7641.627009155485,7762.675065544031,7885.738438262365,8010.962135653717,8138.494183113035,8268.485733311263,8401.091153025123,8536.468084357633,8674.777477965796,8816.183595763072,8960.853980440577,9108.959389058256,9260.673687902012,9416.17370579166,9575.63904306479,9739.25183356035,9907.196457090275,10079.659200124323,10256.827862728913,10438.891310199817,10626.038968315235,10818.460261711592,11016.343995549329,11219.877681386988,11429.246809013492,11644.634066891374,11866.218514825923,12094.174713480472,12328.671816387448,12569.872631135695,12817.932657421712,13072.999110608422,13335.209940310813,13602.238119097728,13872.24004911368,14144.64825875683,14418.894787871532,14694.416101616074,14970.657657696314,15247.078068102366,15523.152812768321,15798.377478266551,16072.270509185457,16344.375472811278,16614.26284887745,16881.531365330135,17145.808908272193,17406.753039567808,17664.05115916239,17917.420351189103,18166.606953611754,18411.385890721038,18651.559806479814,18886.958034713367,19117.43543965192,19342.871157522124,19563.16726689281,19778.247412425142,19988.055403651273,20192.553807480497,20391.722550360053,20585.55754343583,20774.069341688573,20957.281845875605,21135.231054189073,21307.96386884579,21475.53696134139,21638.015698821055,21795.47313292517,21947.989051545686,22095.649093160777,22238.54392278551,22376.768468068796,22510.421213666694,22639.60355171529,22764.41918599982,22884.97358725869,23001.373496960867,23113.726476843625,23222.140501485916,23326.72359121391,23427.583482682752,23524.827334546913,23618.561465715997
H,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,43083.751008850195,42228.59640681853,41373.44180478685,40518.28720275518,39663.132600723504,38807.97799869183,37952.823396660155,37097.66879462848,36242.514192596806,35387.35959056513,34532.204988533456,33677.05038650178,32821.89578447011,31966.741182438436,31111.586580406765,30256.431978375094,29401.277376343423,28546.122774311752,27690.96817228008,26835.81357024841,25980.65896821674,25125.50436618507,24270.349764153398,23415.195162121727,22560.040560090056,21704.885958058385,20849.731356026714,19994.576753995043,19139.422151963372,18284.2675499317,17429.11294790003,16573.95834586836,15718.803743836688,14863.649141805017,14008.494539773346,13153.339937741675,12298.185335710004,11443.030733678333,10587.876131646663,9732.721529614992,8877.56692758332,8022.41232555165,7167.257723519979,6312.103121488308,5456.948519456637,4601.793917424966,3746.639315393295,2891.484713361624,2036.330111329953,1181.1755092982821,326.0209072666112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,4.952681909605015,4.952681909605009,4.9492810644219265,4.945471971665188,4.941207461361806,4.936435382687877,4.931098197993963,4.925132575460431,4.918468990505503,4.911031349077287,4.902736649474633,4.893494703358404,4.883207941090308,4.871771331367008,4.85907245011908,4.844991738529407,4.829402994376855,4.812174144164209,4.7931683449194145,4.7722454632848645,4.749263974529392,4.724083314372767,4.696566701009262,4.666584422693161,4.634017557398237,4.598762055790065,4.560733078428286,4.519869435291348,4.476137934179245,4.429537409204627,4.380102177038433,4.327904662447645,4.273056950620067,4.215711064477328,4.156057830335422,4.094324281032992,4.03076964462486,3.9656800687518516,3.8993623242930036,3.8321368058152894,3.7643301919709673,3.696268141546559,3.6282683801556455,3.560634482861552,3.493650587047447,3.4275771872659035,3.362648079457246,3.2990684444110454,3.237013995958706,3.176631071711819,3.1180375141705863,3.0613241765580614,3.006556888177111,2.9537787250815484,2.9030124499023846,2.8542630065766628,2.807519978852781,2.762759943821759,2.7199486720335884,2.6790431432565462,2.6399933613332984,2.602743962913323,2.5672356233428246,2.5334062690330557,2.5011921096172562,2.4705285055537307,2.441350687915889,2.4135943472583508,2.3871961079372634,2.36209390331416,2.3562935570907464,2.3508430576564674,2.3456351746536477,2.3406312426223974,2.3357956254051255,2.3310953749928656,2.326499934563006,2.321980879434971,2.317511690721017,2.3130675573095956,2.308625202526521,2.3041627324040435,2.2996595029728923,2.295096004396353,2.290453760102366,2.2857152393519655,2.280863781918782,2.275883533752392,2.2707593926644205,2.265476963214545,2.2600225200883375,2.254382979353034,2.248545877053347,2.242499354669227,2.2362321510029606,2.2297336000948493,2.222993634786865,2.216002795562306,2.2087522442878145,2.201233782473072,2.193439873643562,2.1853636693941736,2.176999038657015,2.1683405996767062,2.159383754142035,2.1501247228756495,2.140560582435054,2.130689301930637,2.120509779321656,2.110021876411414,2.0992264517306207,2.088125390475284,2.076721630655149,2.065019184612479,2.0530231550910965,2.0407397450736102,2.0281762606617515,2.015341106351448,2.00224377215053,1.9888948121020407,1.9691106388519388,1.9456161198898385,1.92242321135881,1.8995773069455029,1.8771192506880858,1.855085261676026,1.8335069414129654,1.8124113536900925,1.7918211660215841,1.7717548414592514,1.7522268698388697,1.7332480281153027,1.7148256603170533,1.6969639686995026,1.6796643088176486,1.6629254824051098,1.6467440230828383,1.6311144709887768,1.6160296333919786,1.6014808292157998,1.5874581161380785,1.5739504995618718,1.560946123263766,1.5484324419365907,1.5363963761603168,1.5248244505706996,1.5137029161615592,1.5030178577649662,1.4927552878144574,1.4829012275193314,1.4734417765714083,1.464363172476534,1.4556518405576775,1.4472944356197217,1.4392778762020169,1.4315893722767756,1.4242164471818748,1.4171469545076374,1.4103690905900292,1.4038714031984652,1.3976427969458194,1.3916725358915765,1.385950243756721,1.380465902120832,1.375209846928018,1.3701727635885759,1.365345680927408,1.360719964198083,1.3562873073526371,1.3520397247316576,1.3479695423164493
