county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
NY-New York,7211,12137,14272,14755,14755,15384,16426,15118,13333,14917,14503,13706,13001,11985,8094,6245,7154,6436,5763,5642,4773,3283,3214,3799,3198,2489,3855,3538,2583,2395,3338,3003
NY-New York,7224,18443,22245,21800,22232,23828,25066,23367,18951,21976,21300,20819,20070,21155,15503,12071,12602,11548,10751,10194,9015,6179,5668,6850,6101,4566,7306,7153,5016,4671,6368,5379
NY-New York,7225,202582,264616,262341,265967,272676,277399,246117,205340,263242,248050,245172,235309,249619,186203,150385,163465,148779,143243,133899,117466,84431,80820,89225,81287,54699,96785,97450,74486,67477,88751,75408
NY-New York,7139,37412,61021,61827,60350,63447,58919,46053,41188,61749,56445,55437,50071,49302,32497,27961,29806,27254,27203,25195,22422,15165,14958,17040,15562,10630,18318,18144,12238,11833,16453,14368
NY-New York,7131,818,1017,969,1013,955,1038,1140,918,1107,1079,1096,1051,1060,831,756,661,549,560,549,551,365,325,333,302,171,378,379,267,223,405,292
NY-New York,8131,12414,9691,9390,9656,9785,10151,10238,12149,10220,10051,9946,9354,9907,8262,9020,7284,7267,6940,6981,6152,5224,5362,5241,4454,3489,5712,5677,4474,4402,5295,4298
NY-New York,8121,4810,5943,6069,6021,6179,6309,6001,5053,6196,5977,5856,5684,6036,4817,4238,4414,4259,4139,3946,3620,2795,2600,2844,2451,1648,2915,3016,2337,2099,2860,2289
CA-Los Angeles,7211,12237,12241,12454,12379,13142,15206,15995,13745,12340,12004,11936,12057,11531,9915,7910,7551,6821,6482,6083,5135,4261,4587,5235,3535,3945,4881,4464,4303,3873,4850,4245
CA-Los Angeles,7224,8618,8261,8602,8351,9311,11585,11159,9476,7834,7938,7902,7306,8075,7217,5346,4300,3897,3497,3221,2532,1859,2060,2741,1969,1829,2612,2594,2175,1842,2580,2316
CA-Los Angeles,7225,195111,202023,207246,204397,212032,236021,224292,193307,190509,183200,192087,181323,205683,168314,136791,123780,113684,105714,98908,76362,53107,69488,85437,62903,49634,83223,86322,78699,65783,79637,77161
CA-Los Angeles,7139,32848,47069,51608,49010,46848,46949,40682,33387,44429,40887,42794,36705,35036,25256,21197,19762,17256,18063,17738,13504,9907,11011,14338,10760,8376,12586,11782,9271,8558,12095,10710
CA-Los Angeles,7131,2913,1944,2269,2025,2226,3494,5003,3653,2457,1462,2133,1560,1522,1430,1415,683,699,666,598,491,381,475,506,355,353,483,444,430,388,497,490
CA-Los Angeles,8131,19835,10333,11917,11437,10661,11733,11220,18540,10175,10178,11368,9611,9726,7906,10973,5928,5979,6045,5661,4721,4147,4903,5383,3371,3909,5108,4662,4463,4463,5028,4234
CA-Los Angeles,8121,4886,7273,7388,7385,7410,7804,6588,5156,6885,6647,7121,6743,7104,5402,3996,4831,4765,4585,4324,3236,2262,2560,3644,2501,2283,3407,3240,2748,2327,3423,3046
FL-Miami-Dade,7211,9729,9102,8273,8263,9555,11131,11732,10063,9752,9410,9201,9568,11072,10284,8814,7640,6549,5582,4753,3662,2456,2562,3052,2104,1899,2470,2236,1948,1700,2275,2179
FL-Miami-Dade,7224,4169,3062,3258,3028,3425,4533,4722,4324,3182,3406,3324,3526,4143,3530,2832,2327,2181,1772,1631,1178,779,743,1142,883,727,1007,990,787,611,951,880
FL-Miami-Dade,7225,58656,65381,71093,68001,73825,82330,77064,60382,64126,65699,64307,62176,74149,56787,42119,44915,42358,37366,34972,27639,17498,19336,27106,22437,15278,24162,24273,20695,16646,23308,23116
FL-Miami-Dade,7139,11133,18571,18827,17550,17748,18121,14990,10711,17387,17527,16928,16075,16097,11465,8917,10833,10040,8755,7933,6035,3465,3739,5960,4612,3404,4912,4741,3453,2818,4661,4592
FL-Miami-Dade,7131,556,652,662,613,707,858,739,605,721,835,768,703,724,487,443,400,396,382,284,183,98,118,217,173,104,153,200,90,64,125,121
FL-Miami-Dade,8131,6238,3322,3426,3638,3726,3570,3596,5500,3420,3655,3621,3299,3567,2513,3586,1889,2051,1960,1966,1689,1447,1723,1787,1276,1087,1488,1437,1272,1200,1409,1340
FL-Miami-Dade,8121,2145,3554,3596,3459,3584,3849,2959,2016,3274,3354,3397,3296,3590,2467,1912,2604,2589,2540,2502,1905,1179,1215,1978,1581,1211,1704,1608,1237,1107,1713,1547
IL-Cook,7211,7661,8333,8246,8016,8960,11866,13270,8379,7704,7621,7375,7620,8396,7186,4908,4184,3595,3280,3084,2764,1891,1891,2418,1766,1818,2209,2075,1765,1508,1982,1931
IL-Cook,7224,8370,8054,8468,8357,9181,11301,12661,9371,7444,7992,8092,8322,9930,10280,6326,5087,4173,3767,3916,3492,2424,2014,3035,2483,2345,2904,2916,2501,2160,2890,2476
IL-Cook,7225,112190,114231,115752,112069,119985,135672,136933,110314,103609,107112,106552,108371,125823,98002,76200,72023,62393,54622,54513,48271,32577,30451,43264,36345,31146,43234,45345,40009,33127,43821,40229
IL-Cook,7139,21891,27492,41976,27846,31884,30389,36262,25976,33063,29132,28051,27272,26117,19870,15874,16748,14024,10848,10706,9277,6502,6197,8339,7072,6779,8694,7967,7120,6278,8781,8485
IL-Cook,7131,1118,953,851,753,850,1011,1274,999,679,752,727,742,902,637,522,449,478,326,410,326,211,210,325,284,270,301,275,197,195,351,305
IL-Cook,8131,15261,8006,8084,8520,8383,9177,9952,14833,8143,8244,9012,8254,9065,7443,8616,6022,6932,5725,5738,5431,4379,4501,4882,3713,4313,5017,4839,4543,4410,5305,4073
IL-Cook,8121,3119,3572,4138,5475,5136,6297,6610,5955,6028,3896,3955,4129,4394,3814,2949,2964,2888,2575,2693,2364,1981,1717,2247,1782,1720,2080,2023,1660,1632,2080,1741
TX-Dallas,7211,20342,8738,7702,7625,7892,9116,10224,7494,7276,7523,7473,8022,8051,7217,5146,4810,4167,3838,3730,3422,2702,2810,3422,2247,2264,2971,2879,2634,2374,2752,2678
TX-Dallas,7224,6055,3307,3456,3649,4843,5744,6031,4292,2910,3407,3541,3489,3823,4095,2406,1881,1356,1277,1205,1008,681,710,1178,715,646,857,853,711,538,766,785
TX-Dallas,7225,79130,73989,79512,73756,98370,101260,89890,72981,79110,76553,77350,82293,84468,67133,50043,58022,47300,45510,43580,39075,28217,32268,41960,27697,21519,35829,37934,34994,28115,33131,37237
TX-Dallas,7139,11250,13663,18808,17115,19961,19782,18344,14216,17365,17695,17449,19511,17347,13082,10125,17126,12952,11668,9430,7759,4676,5354,6865,4294,3064,4194,3756,3227,3181,5551,3931
TX-Dallas,7131,751,465,367,366,436,539,1078,811,644,634,692,673,541,564,407,275,211,206,201,148,103,81,164,129,101,173,123,83,85,142,154
TX-Dallas,8131,14324,5912,5646,6117,5459,5520,5522,11649,4465,5011,5792,4768,4595,4010,5825,2986,2769,3076,2930,2399,2164,2660,2856,1951,1945,2533,2545,2249,2369,2428,2179
TX-Dallas,8121,1922,2770,3443,3217,3726,3300,3017,1821,2766,2936,2830,3022,3032,2239,1565,2183,2133,2056,2005,1668,1222,1087,1790,1151,1049,1360,1322,1058,924,1406,1356
TX-Harris,7211,9804,11913,12148,11713,12383,14255,14281,11070,11501,11355,10909,10204,10500,8702,6752,7079,6520,6025,5806,4913,3723,4057,5375,3915,3427,4137,4031,3449,3274,4399,3944
TX-Harris,7224,10429,8732,8588,8828,10488,13261,13907,11405,9160,9646,9863,10166,11527,10944,8443,6586,4907,4535,4439,3652,2568,2899,3536,3002,1895,2545,2621,2367,1963,2536,2578
TX-Harris,7225,130277,129813,136131,130259,145254,167136,156810,127545,127826,131096,132213,130604,139793,113097,90169,95500,76961,73121,72164,59232,38351,48082,65791,60092,29237,52948,59176,51340,43192,53182,57138
TX-Harris,7139,17195,25272,25702,23767,25242,24355,21686,15989,21830,22808,21811,20557,20065,16078,12193,15072,11855,10968,10477,7573,5021,5527,8922,7864,4367,6574,6618,5222,5088,6712,6768
TX-Harris,7131,1215,446,435,381,533,602,1364,953,726,751,838,627,686,772,462,388,275,274,247,203,161,138,232,206,109,168,185,163,126,169,179
TX-Harris,8131,18860,7009,7515,8695,7228,7319,6760,14868,5064,5415,6653,5384,5532,4990,8855,3850,4069,4249,4041,3197,2483,3516,3539,2975,2436,2956,2933,2694,2907,3321,2938
TX-Harris,8121,4180,5545,5607,5354,5837,6165,5392,3960,4934,5220,5289,5677,6006,4473,3329,4376,4243,4181,4254,3568,2653,2527,3665,3294,1711,2748,2832,2414,2064,2863,2722
AZ-Maricopa,7211,8269,8742,8335,8164,9414,11073,11616,8795,8627,8148,8356,9542,9548,7739,6530,6002,5584,4656,4174,3643,2909,3029,3790,2486,2643,3190,3079,2876,2649,3192,2695
AZ-Maricopa,7224,4697,4001,4688,4160,4925,6653,7026,5134,3701,3928,3903,4523,5473,5443,3523,2895,2792,1931,1834,1658,872,941,1326,1074,922,1256,1248,1101,838,1231,1109
AZ-Maricopa,7225,100804,95124,97419,96751,104144,124252,121457,93343,90494,90945,91422,96065,110360,98498,76180,74632,68335,56498,54423,46215,30202,40728,47630,37398,28638,46600,50891,47882,36981,45214,44516
AZ-Maricopa,7139,25275,32091,35835,33649,34048,35212,34012,26561,31316,29549,27556,28019,29360,25402,20953,24499,21379,16619,16983,14281,9782,11413,14803,11339,9771,13232,12678,11619,10135,13570,12510
AZ-Maricopa,7131,1264,756,1364,1397,1690,1560,2300,1827,1380,980,818,853,871,1281,957,769,608,565,637,654,525,588,647,445,405,579,518,505,521,558,441
AZ-Maricopa,8131,13275,7104,7563,8150,7480,7188,5441,11931,4910,5295,5689,5594,4974,4038,6395,2624,2765,2531,2399,2269,1675,2187,2337,1714,1913,2277,2137,2047,2014,2298,1977
AZ-Maricopa,8121,2349,3721,3996,4021,4061,3988,3165,2177,3344,3646,3548,3630,3775,2763,2013,2959,2976,2783,2612,2107,1330,1334,2241,1734,1316,2032,2027,1545,1212,2025,1958
GA-Fulton,7211,5830,5494,5569,5333,6489,7781,7269,5274,5621,5300,5230,5460,5120,4537,3024,2651,2561,2310,2302,2075,1517,1406,1793,1413,1286,1584,1510,1366,1195,1540,1400
GA-Fulton,7224,2880,1906,2070,1932,2226,3156,4372,2866,2024,2035,2115,2250,2485,2647,1513,1019,1069,940,932,794,501,383,653,560,492,684,686,543,358,580,583
GA-Fulton,7225,32260,34900,37226,36061,37808,45291,45025,31289,36499,35856,36422,36815,37766,29947,18556,20375,18961,17761,17798,14502,9069,9194,13013,11724,8962,13908,14709,12203,9098,13209,12171
GA-Fulton,7139,8212,9808,10272,9554,9819,11352,11943,8114,10239,10175,10149,9669,9481,8411,5258,5707,5157,4711,4941,3850,2465,2321,3162,2917,2321,3561,3600,2962,2366,3380,2821
GA-Fulton,7131,230,33,62,40,46,178,606,424,118,91,127,128,166,333,148,30,43,34,33,48,21,10,13,13,14,24,22,13,17,16,10
GA-Fulton,8131,5443,2186,2025,2138,1886,1958,1921,5162,1869,1807,2053,1836,1549,1224,1636,970,958,880,976,809,627,727,756,672,577,860,756,654,616,772,600
GA-Fulton,8121,1312,1711,1756,1769,1821,1955,1738,1237,1785,1679,1898,1872,1826,1418,839,1239,1193,1136,1118,969,623,596,844,766,517,834,768,626,524,813,693
NJ-Bergen,7211,904,898,1054,1011,1070,1109,1187,1006,938,986,894,946,790,651,453,486,453,420,403,365,243,271,309,267,190,301,325,216,210,310,271
NJ-Bergen,7224,623,464,541,603,557,739,921,616,513,531,514,586,668,613,363,299,292,286,245,222,133,147,192,175,106,218,214,170,115,213,195
NJ-Bergen,7225,19488,20765,20936,21009,21946,25053,27063,18872,20698,20020,20334,20633,23415,19539,11815,12041,10404,9898,9115,8067,5465,5570,6315,6808,3477,7790,8451,6593,4837,6970,6850
NJ-Bergen,7139,5907,7733,7483,7476,7471,6653,7211,5305,6890,6556,6430,5809,5454,4473,2853,2970,2183,2279,2010,1795,1167,1012,1429,1383,795,1545,1532,999,886,1481,1430
NJ-Bergen,7131,127,204,158,164,169,145,131,159,208,161,163,153,151,111,82,133,97,109,89,98,37,36,45,62,26,72,75,32,44,68,56
NJ-Bergen,8131,2976,1382,1417,1448,1375,1529,1552,2711,1590,1541,1456,1180,1168,851,890,669,558,625,564,542,397,423,409,411,358,513,481,338,339,404,381
NJ-Bergen,8121,630,783,768,752,839,927,851,612,799,811,794,865,885,641,449,548,521,464,461,401,251,256,320,321,211,376,321,264,211,316,315
PA-Philadelphia,7211,1996,2725,2819,2768,2731,2743,2799,2052,2452,2467,2191,2151,1959,1465,1058,1097,849,766,780,652,525,504,526,454,349,521,484,424,444,524,437
PA-Philadelphia,7224,3056,3239,3658,3729,3570,4064,4419,3210,2952,2933,3024,2915,3398,3032,2179,1857,1604,1552,1596,1546,1089,1087,1239,994,813,1422,1337,998,1028,1219,1032
PA-Philadelphia,7225,31816,38925,41071,40162,40851,41748,38433,30635,38627,36735,37156,35890,39158,28623,21983,23043,19054,19139,18629,18149,12947,13159,14048,12505,9980,16217,16917,12652,12210,16029,13610
PA-Philadelphia,7139,5737,7231,8333,8051,8081,7604,7175,5763,7721,7112,7178,6525,6832,5480,4140,4294,3368,3666,3627,3547,2636,2596,2704,2372,2049,3172,3237,2172,2335,3025,2598
PA-Philadelphia,7131,187,273,275,310,281,260,212,227,320,265,260,267,317,249,161,166,155,158,162,150,122,105,98,112,69,120,141,96,102,131,100
PA-Philadelphia,8131,3490,3008,2900,2855,2917,3044,3026,3500,2850,2952,2931,2750,3095,2666,3055,2338,2205,2192,2166,2275,1863,1929,1849,1532,1309,1947,1987,1589,1690,2046,1509
PA-Philadelphia,8121,1354,1519,1471,1478,1651,1668,1788,1390,1611,1556,1536,1608,1854,1652,1300,1364,1216,1190,1251,1199,1060,1006,993,886,990,1318,1168,1041,1079,1324,1004
MD-Prince George's,7211,1511,1498,1466,1462,1613,2666,3215,2017,1350,1330,1420,1320,1288,1258,918,634,544,564,557,540,510,466,478,389,329,453,409,386,391,413,358
MD-Prince George's,7224,388,276,288,282,297,502,638,435,252,281,258,305,383,366,193,142,118,99,103,107,73,83,85,65,43,85,77,56,73,100,61
MD-Prince George's,7225,13165,13580,13584,13867,14794,17451,16953,12850,13398,12968,13196,13332,14631,11820,8019,8834,7659,7503,7494,7026,5215,5460,6429,5169,3129,6280,7217,6121,4989,6714,4535
MD-Prince George's,7139,2418,2619,2635,2507,2653,2949,3127,2166,2506,2487,2332,2102,2169,1796,1214,1133,948,898,951,923,654,601,729,579,461,791,822,620,590,824,565
MD-Prince George's,7131,15,14,18,16,18,25,32,22,24,20,26,18,33,39,17,25,17,17,14,7,10,2,18,11,1,10,4,0,4,4,6
MD-Prince George's,8131,2640,909,1059,1073,1110,1115,1329,2259,1000,1049,1143,994,974,777,896,647,640,640,648,582,464,589,584,447,398,552,569,492,526,539,413
MD-Prince George's,8121,752,755,816,835,887,936,993,740,764,727,793,828,862,764,596,629,542,568,578,597,392,435,553,414,311,500,518,368,382,552,364
NV-Clark,7211,27029,20737,18520,19032,22025,29882,32276,27203,22513,24014,24934,26434,26716,23509,17942,12162,8160,4490,3273,2370,1560,1495,2327,1559,1683,1999,1850,1531,1462,1941,1906
NV-Clark,7224,8465,6849,6533,6980,8206,10191,10494,9085,7024,6288,6684,7474,7863,7834,5575,3798,2823,1477,1026,857,560,585,801,601,540,777,788,605,525,782,699
NV-Clark,7225,57478,52243,51378,51489,54902,65156,66342,56072,51905,48801,49677,52304,59074,54417,43865,38510,34937,25128,20821,18134,11732,15968,19020,14849,12009,18986,20927,19298,15681,19042,19385
NV-Clark,7139,15578,17682,19126,18443,20417,21871,22637,19217,18786,15785,16375,16577,16275,14660,11978,10056,7838,5438,4606,3881,2725,3138,3908,2776,2474,3747,3607,3208,2961,3949,3659
NV-Clark,7131,1828,1245,1182,1391,1671,2307,2611,2202,1385,1236,1455,1572,1774,2108,1593,1193,835,505,368,287,232,262,302,262,280,249,249,269,246,281,309
NV-Clark,8131,5116,2700,2990,3230,2979,3011,2311,4753,1304,2828,3269,2761,2468,1580,2353,967,858,910,824,754,598,874,776,597,597,737,737,709,778,773,695
NV-Clark,8121,2748,2901,2894,2970,3779,4206,3710,3262,3454,2916,3101,3250,3298,2986,2282,2359,2058,1583,1371,1112,837,977,1217,881,832,1112,1079,890,837,1310,1138
NC-Mecklenburg,7211,9073,8941,7794,7708,9012,11557,11574,8324,8100,7123,7102,7312,8110,6816,5740,4894,4224,4030,3603,3245,2770,2622,2919,2117,1594,2145,1997,1752,1655,2192,1979
NC-Mecklenburg,7224,2159,1812,1709,1900,1941,2831,3269,1968,1727,2017,2049,1975,2344,2837,1287,1076,915,1064,1066,704,434,392,668,659,502,556,568,404,325,578,549
NC-Mecklenburg,7225,27572,28821,29274,29798,30314,37239,37919,26262,28009,28770,29072,31031,34957,27953,18000,19373,17215,14858,14559,12326,7982,8444,11787,11370,7371,9420,10687,9390,7049,10120,9821
NC-Mecklenburg,7139,7169,8761,12094,9966,12237,12942,10939,7383,8630,8830,9728,8683,8773,7777,5381,5572,4660,4397,4494,3955,2526,2531,2988,2937,2060,2659,2832,2424,2203,2869,2395
NC-Mecklenburg,7131,279,172,226,208,233,287,550,402,238,200,329,386,311,362,227,282,181,123,310,169,217,199,284,139,53,45,63,26,38,69,44
NC-Mecklenburg,8131,5975,2250,2996,2647,2246,2328,2295,5282,2226,2277,2718,2159,1940,1392,1432,1144,970,1091,982,879,627,780,905,724,690,696,703,608,642,827,699
NC-Mecklenburg,8121,837,1420,1536,1526,1521,1573,1287,744,1369,1503,1414,1439,1544,1095,702,1078,938,950,965,780,475,367,684,755,439,500,509,352,317,604,526
LA-Jefferson,7211,1074,1283,1332,1208,1350,1840,2226,1464,1431,1354,1370,1452,1641,1197,771,887,715,634,602,506,291,328,488,375,344,435,411,314,313,447,408
LA-Jefferson,7224,564,665,722,659,821,966,882,601,639,647,635,683,1017,890,565,520,457,438,405,392,235,300,359,297,209,340,371,321,259,339,322
LA-Jefferson,7225,11532,12116,12735,11995,13381,16068,16448,11910,11435,11865,11841,12423,14986,11904,8319,9087,7097,6586,6385,5627,3279,4122,5480,4152,3068,5269,5812,5033,3776,5099,5181
