state,RMSE_sd,RMSE_SIR
AZ-Maricopa,0.6574716089569,0.6469635093035546
CA-Los Angeles,1.4225665990594134,1.4974091416068205
CA-Orange,0.7372971669997734,0.7831266940059093
CA-Riverside,1.3875919481161805,1.467200083793085
CA-San Bernardino,1.17617686064293,1.262132104278741
CA-San Diego,0.8238334586965272,0.8959225911497026
CO-Adams,0.9695453052618646,1.0303191673629635
CO-Arapahoe,0.6347290460067845,0.7202279519722763
CO-Denver,0.4791467406186835,0.5281541757673419
CT-Fairfield,0.9152792278132985,1.0604263566779095
CT-Hartford,0.7876513129253918,0.8358618631540745
CT-New Haven,0.7755161915546648,0.8368812365641172
DC-District of Columbia,0.5042805280488927,0.5424006662696533
DE-New Castle,0.850790189747655,0.8912072140164464
DE-Sussex,1.1568212359539183,1.1452294478457383
FL-Broward,0.6838210546523319,0.8589394007197735
FL-Miami-Dade,0.6170518606406645,0.8497216416136443
FL-Palm Beach,0.8524388810258513,1.0436405999275407
GA-DeKalb,0.7252250091211626,0.7935890301071589
GA-Fulton,0.8678454814838228,0.9216109715475701
GA-Gwinnett,0.8282952178441677,0.8867896918661208
IA-Polk,0.8032781404815319,0.7883563010203727
IL-Cook,1.7420521758601,1.832989655684638
IL-DuPage,0.5670942375234189,0.570542542019155
IL-Kane,0.6994715542005413,0.6393477597748075
IL-Lake,0.6274493526089938,0.6672061321398319
IL-Will,0.6846553657380836,0.781499879452042
IN-Lake,0.5947246449595391,0.7111916452673361
IN-Marion,0.6799310647292437,0.8873797963559933
LA-East Baton Rouge,1.8280566262605003,1.929651646543777
LA-Jefferson,0.9489005093007782,0.9256459467507051
LA-Orleans,1.0180808425448629,1.0088149376840339
MA-Bristol,0.6269638203566311,0.6773113738227424
MA-Essex,0.590952211241509,0.6451985494927874
MA-Hampden,0.5766394084090946,0.7531019100327895
MA-Middlesex,0.5088875019968712,0.5911270719587405
MA-Norfolk,0.5396505364112332,0.6019848303055394
MA-Plymouth,0.5051895760812398,0.5623061428958924
MA-Suffolk,0.6216182897221958,0.715623025061684
MA-Worcester,0.604847220768691,0.6492694401548149
MD-Anne Arundel,0.6286678973612452,0.7053653744874581
MD-Baltimore,0.6696273057255279,0.7763385129014846
MD-Baltimore City,0.6300110746128973,0.6907784615319223
MD-Montgomery,0.5818687766878701,0.6217552983360334
MD-Prince George's,0.7811340108429827,0.8684477250410636
MI-Kent,0.8856430166189664,0.8880589405427272
MI-Macomb,0.5630349406547374,0.7517336864146268
MI-Oakland,0.5382183152771667,0.7961168290643368
MI-Wayne,0.668872216380181,1.0025302300968717
MN-Hennepin,0.8021163763879545,0.7913463326046976
MO-St. Louis,0.6969088065703195,0.9088552478461128
NJ-Bergen,0.5122219311371149,0.6266059502780861
NJ-Burlington,0.5902883758684873,0.7101619410477661
NJ-Camden,0.39322380466423046,0.4935163213868229
NJ-Essex,0.5828856722902512,0.7716774480892616
NJ-Hudson,0.8011411902918663,0.9965565599305628
NJ-Mercer,0.5006633041312316,0.5695814100226074
NJ-Middlesex,0.5968335870102589,0.7422021973021966
NJ-Monmouth,0.7261842536507874,0.9046536953914098
NJ-Morris,0.525526997843583,0.6751729690756979
NJ-Ocean,0.5424586560233465,0.8276005760971649
NJ-Passaic,0.6160084083447052,0.7623570864662544
NJ-Somerset,0.5101367534517642,0.5776390246026698
NJ-Union,0.4721737853188234,0.6722942316705393
NV-Clark,1.0876233448653372,1.2118631666861583
NY-Bronx,0.624068620359374,0.9379122319970705
NY-Dutchess,0.46338500936499366,0.5595804204812694
NY-Erie,0.7846312359750712,0.8806094860533592
NY-Kings,1.1310686108155485,1.4520001070713688
NY-Nassau,1.1795673014072414,1.4842973676722317
NY-New York,1.05926572697663,1.4443130328035918
NY-Orange,0.9917073616470248,1.078442470262199
NY-Queens,0.7115487856898196,1.0309183720489306
NY-Richmond,0.7112543114583763,0.8235105269757494
NY-Rockland,1.5081650860877798,1.7210503059010072
NY-Suffolk,0.6255346734690286,0.8655028478592428
NY-Westchester,1.5461010883433661,1.6963431919527536
OH-Cuyahoga,0.6169394045282094,0.7109834373690007
OH-Franklin,0.69572959966486,0.691146865701259
PA-Berks,0.8463516912973821,0.881433680501968
PA-Bucks,0.6414509893763048,0.7051548311958998
PA-Delaware,0.6892548099092347,0.7889405623614488
PA-Lehigh,0.5287741685201274,0.6451937782522452
PA-Luzerne,0.5357297023710588,0.653986300088301
PA-Montgomery,0.6810336819314015,0.7824993915464485
PA-Northampton,0.5723668627249543,0.8224249941638901
PA-Philadelphia,0.7041109279865102,0.848675997466394
RI-Providence,4.552991585777775,4.5844109920211835
SD-Minnehaha,1.297324808202055,1.3349557613632315
TN-Davidson,1.3808649987479042,1.3776347962546227
TN-Shelby,0.865772777800763,0.9342785897111391
TX-Dallas,0.6493225353416323,0.6976623147313391
TX-Harris,1.8516311984573322,1.9909861821196988
TX-Tarrant,1.4148003094511081,1.4255595923908002
UT-Salt Lake,0.603991100926457,0.6475904363200632
VA-Fairfax,1.0712225406588287,1.1027490999856933
VA-Prince William,0.5659410883761136,0.559998876707163
WA-King,1.1686965342002626,1.2702872197667678
WA-Snohomish,0.7435401986591741,0.7811542913356647
WI-Milwaukee,0.6935144904302106,0.856148153330468
