series,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,19768.0343402431,19754.446704958966,19741.51377030333,19727.171487827403,19709.806117191496,19687.905325346517,19659.853688881965,19623.805691989106,19577.608641391704,19518.768666244596,19444.464087408298,19351.614295253374,19237.008781612793,19097.49040180489,18930.17226095415,18732.65505600758,18503.208172820123,18240.886314160492,17945.570342550716,17617.938566452405,17259.386196066487,16871.91408770048,16458.005228768412,16020.502121764626,15562.492952976654,15087.21041162636,14597.944437958822,14097.968725427483,13590.48009181827,13078.549551292572,12565.083856282368,12052.796315043166,11544.185765157157,11041.52266639928,10546.841356652,10061.937588839824,9588.37053548383,9127.468511867555,8680.337730402316,8247.873458657348,7830.7730123038455,7429.550072134666,7044.54987127747,6675.964854419617,6323.850464883959,5988.140767255348,5668.663662476828,5365.155498469039,5077.274922000068,4804.615856453461,4546.719525110401,4303.085470474951,4073.181547018513,3856.452887576857,3652.3298626517085,3460.2350672643074,3279.589382046554,3109.817164239575,2950.3506305270594,2800.6334975006,2660.1239473763458,2528.296986687703,2404.646264382336,2288.6854133457437,2179.9489761239142,2077.9929717605983,1982.3951564065453,1892.7550258743006,1808.6936037489422,1729.8530541409314,1655.8961537750893
E,0.0,13.587635284132338,25.15559140470694,36.97080853142729,50.622187805778644,67.43760619851338,88.71463597161602,115.85059104742963,150.40959228988007,194.13981061398442,248.94160852134024,316.78337352441,399.5656525783347,498.94470514407925,616.1401573545745,751.7615230479379,905.6883969779228,1077.0271525826784,1264.1477749494907,1464.7865502888194,1676.190269877162,1895.2766590789552,2118.7909494531536,2343.4458230589244,2566.0385135809365,2783.5434933516244,2993.181920328277,3192.4703545109983,3379.251711496918,3551.711405601934,3708.3814014342324,3848.134582799445,3970.171531340748,4074.0015139995235,4159.419217377595,4226.478538285238,4275.4645396026535,4306.864504771322,4321.338868876561,4319.6926662531405,4302.848011476375,4271.818020765664,4227.682482982646,4171.5655026459,4104.6152610194085,4027.985974798762,3942.822074711192,3850.24457796912,3751.33958846117,3647.148826285944,3538.662063150067,3426.811321643422,3312.4666838209037,3196.4335471905906,3079.4511634536593,2962.192296486714,2845.263840444738,2729.208245863609,2614.5056106652914,2501.5763034740717,2390.7839981499537,2282.439010504666,2176.8018404155428,2074.0868346812817,1974.4658977176432,1878.0721883716878,1785.0037515916965,1695.3270433234063,1609.080315748389,1526.276837808066,1446.9079328661203
I,9.0,8.64,9.65937853506055,11.800068742864052,15.042057354704804,19.52574851275997,25.51932526369751,33.41059407019629,43.71221966234043,57.07348769884982,74.2933291198388,96.3296231068996,124.29967276928113,159.46701310066842,203.2110212168875,256.9784196214164,322.21929209403424,400.31362346514743,492.496427769507,599.7895714177102,722.9466393585791,862.4144929484502,1018.3124817883804,1190.428215914861,1378.2275655442268,1580.8760245020642,1797.2685302128662,2026.0650673529703,2265.7297412821454,2514.5713980515407,2770.784241307384,3032.487231529079,3297.761343612621,3564.684005967217,3831.360252097739,4095.9502889183605,4356.693329400206,4611.927654671803,4860.106965844931,5099.813161579523,5329.765736246611,5548.828037676637,5756.0106548097865,5950.472225811994,6131.517967941663,6298.596233073255,6451.293388616415,6589.327313821619,6712.539787245676,6820.8880234776825,6914.435597017512,6993.342969278907,7057.857811786707,7108.3052953872075,7145.078492233799,7168.629014898794,7179.457995562571,7178.107488128177,7165.152357513883,7141.1927034310065,7106.8468507421385,7062.744925046383,7009.523020439018,6947.81795639231,6878.262612322086,6801.481821538474,6718.08880081098,6628.682087579075,6533.842953776288,6434.13326317357,6330.093737954416
R,0.0,0.36,0.7056,1.091975141402422,1.5639778911169842,2.1656601853051765,2.946690125815575,3.9674631363634756,5.303886899171327,7.052375685664944,9.335315193618937,12.307048358412489,16.160233282688473,21.13222019345972,27.510900717486457,35.63934156616196,45.918478351018614,58.80725003477998,74.81979497338588,94.51965208416617,118.51123494087457,147.42910051521773,181.92568023315573,222.65817950469096,270.2753081412854,325.40441076305444,388.639451743137,460.53019295165166,541.5727956457705,632.2019852970564,732.784841219118,843.6162108714134,964.9157001325766,1096.8261538770814,1239.41351411577,1392.6679241996796,1556.5059357564141,1730.7736689324224,1915.2507751192945,2109.655053753092,2313.647580216273,2526.8382096661376,2748.791331173203,2979.031757365595,3217.0506463980746,3462.311365115741,3714.255214438671,3972.3069499833273,4235.880042536192,4504.381634026019,4777.217154965127,5053.794578845827,5333.528297616984,5615.842610088452,5900.17482190394,6185.977961593292,6472.723122189243,6759.901442011746,7047.025741536873,7333.631835837428,7619.279543974669,7903.553418004354,8186.063215006209,8466.44413582377,8744.356854079462,9019.487358572345,9291.546631433885,9560.270183466324,9825.417466969488,10086.771185120539,10344.136515647482
G,9.0,9.0,10.36497853506055,12.892043884266474,16.606035245821786,21.691408698065146,28.466015389513082,37.37805720655976,49.016106561511755,64.12586338451476,83.62864431345774,108.6366714653121,140.4599060519696,180.59923329412814,230.72192193437394,292.61776118757837,368.13777044505287,459.1208734999274,567.3162227428929,694.3092235018764,841.4578742994537,1009.843593463668,1200.2381620215363,1413.0863954195522,1648.5028736855124,1906.2804352651187,2185.9079819560034,2486.595260304622,2807.3025369279158,3146.773383348597,3503.569082526502,3876.1034424004924,4262.677043745198,4661.510159844299,5070.77376621351,5488.61821311804,5913.19926515662,6342.701323604226,6775.357740964227,7209.468215332615,7643.413316462883,8075.666247342774,8504.80198598299,8929.503983177588,9348.568614339738,9760.907598188995,10165.548603055086,10561.634263804946,10948.419829781868,11325.2696575037,11691.652751982638,12047.137548124732,12391.38610940369,12724.147905475658,13045.253314137737,13354.606976492083,13652.181117751812,13938.00893013992,14212.178099050754,14474.824539268433,14726.126394716804,14966.298343050736,15195.586235445226,15414.262092216079,15622.619466401546,15820.969180110817,16009.63543224486,16188.952271045395,16359.26042074577,16520.904448294103,16674.23025360189
