series,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,16912.627703168477,16910.456149600577,16908.102919664896,16905.55520907977,16902.79973217647,16899.82278018413,16896.610295396007,16893.14796262616,16889.42131915114,16885.415884017162,16881.11730716935,16876.51153831981,16871.585014815275,16866.32486700073,16860.71913872007,16854.757019676304,16848.429085431566,16841.727539910975,16834.646454443297,16827.18199668943,16819.332642342662,16811.09936229278,16802.485778078888,16793.49827894506,16784.14609466764,16774.44131952521,16764.39888428649,16754.03647482625,16743.37439785092,16732.435396117686,16721.24441735067,16709.828342688514,16698.215681846603,16686.436243173408,16674.520787381025,16662.500673920895,16650.40750877209,16638.272801851293,16626.127641400206,16614.002391629605,16601.926418677547,16589.927848648837,16578.033360214347,16566.268013022094,16554.65511205438,16543.21610709032,16531.970525620774,16520.935936921305,16510.127944516127,16499.56020395195,16489.244462629667,16479.190618394485,16469.40679364061,16459.899421823586,16450.673343471906,16441.731909030965,16433.077086140573,16424.70956922857,16416.62888958615,16408.833524366662,16401.32100321223,16394.088011456995,16387.13048907895,16380.443724772702,16374.022444692586,16367.860895569484,16361.952922036546,16356.292038110125,16350.871492864193,16345.684330411194,17324.03949914608,18302.21797060986,19280.150314697126,20257.765267208153,21234.978725539775,22211.690389392057,23187.779396846086,24163.098690920062,25137.467762516906,26110.663307798033,27082.40720920411,28052.351100919434,29020.05662016292,29984.97029764338,30946.39195036036,31903.435493931873,32854.981436476024,33799.621180639886,34735.59496539739,35660.728204546955,36572.375433092246,37467.386992654785,38342.12002506794,39192.519863241,40014.29636577555,40803.207332069,41555.43546363066,42268.01074081706,42939.199706978376,43568.77431122252,44158.09588283843,44709.9979883391,45228.50417469466,45718.450741920846,46185.09098104529,46633.741036313644,47069.50155040191,47497.06501365102,47920.602096181625,48343.711869967425,48769.41869568059,49200.20005456333,49638.032666401916,50084.44755322792,50540.587638804216,51007.26379061991,51485.006912420926,51974.114875211395,52474.69385170608,52986.69410331667,53509.94054936561,54044.158592919324,54588.99573502314,55144.03951289964,55708.8322705025,56282.883226502985,56865.6782547016,57456.68774071722,58055.372829906606,58661.19033654738,59273.596544137625,59892.05009139,60516.01410795084,61144.95773769472,61778.357165190806,62415.69624214519,63056.46679484491,63700.16868044743,64346.30964899893,64994.40505899449,65643.97748682303,66294.55626432014,66945.67697366618,67596.88092483045,68247.71463751532,68897.72934695866,69546.48055088942,70193.5276132949,70838.43343935405,71480.76423483714,72120.08936238878,72755.98130632905,73388.01575685825,74015.77182377125,74638.83238891783,75254.64181550195,74883.77877333241,74514.85673598695,74149.19083527799,73788.0084932515
I,7.0,7.605115685478173,8.256496862599109,8.956594667487536,9.70779311583718,10.512365837982548,11.372426614324159,12.289873689353458,13.266328061919094,14.30306621921094,15.400948101232759,16.560341446347305,17.781044066969553,19.062206022158424,20.402254069160094,21.79882116139466,23.248684083371682,24.747712537587503,26.290833087818477,27.872011283234603,29.484255010954897,31.119641634531302,32.769370770754556,34.423843653383734,36.07276896548707,37.70529384629743,39.31015756378042,40.875864170899824,42.39086941566066,43.84377633154411,45.22353336225778,46.51962861933235,47.722273954747855,48.82257294822983,49.81266762870149,50.685859717681694,51.436703328651475,52.06106730075416,52.55616660624549,52.92056347301251,53.15413994175914,53.25804448300026,53.23461600008433,53.08728902681548,52.82048419358262,52.439488099264054,51.950326612603895,51.35963536776953,50.67453084903296,49.90248501380445,49.05120591429342,48.12852627482029,47.14230148841209,46.100318031728385,45.01021287532925,43.87940409573602,42.715032581326945,41.523914467010485,40.312503731208466,39.08686423929566,37.85265041523199,36.61509566182923,35.379007623709,34.14876938935244,32.92834575381961,31.721293706315716,30.530776361971625,29.359579620805555,28.21013090531121,27.084519398577065,25.984517274973513,25.349820373276582,25.10224436104724,25.227057218398045,25.725637944890355,26.61525690166888,27.929909577954927,29.72223466380344,32.06662964477264,35.063759862711784,38.846742272976215,43.58937107927507,49.51683027419482,56.919387298879414,66.16954240567429,77.74294888194255,92.24300443741768,110.42817163824853,133.23958952715128,161.82415481397268,197.5448678568277,241.96614132340832,296.7980642499016,363.7826501824077,444.51041075220155,540.170595671405,651.2633689681368,777.330507854766,916.7790175629766,1066.864370301713,1223.8623359051398,1383.4037588746203,1540.9000808335886,1691.9693067661374,1832.785880433356,1960.3112131536466,2072.3972192078677,2167.7811475502162,2246.002578738593,2307.2749704623243,2352.3390735676435,2382.3179656698626,2398.586001940301,2402.6579318394597,2396.100112013777,2380.463000122407,2357.232594156352,2327.7978207051033,2293.4307642425556,2255.276835805976,2214.3523434072595,2171.547345540962,2127.632082403743,2083.265654499538,2039.0059409972946,1995.320017361783,1952.5945463547728,1911.1457844699298,1871.228974277294,1833.046989060061,1796.758165988711,1762.483313515329,1730.3119123989209,1700.3075516404692,1672.5126536910136,1646.952550011511,1623.6389702736747,1602.5730076136174,1583.7476194461142,1567.1497191985002,1552.7619094955767,1540.5639022216722,1530.533665780489,1522.648334953014,1516.8849141369228,1513.2208005079358,1511.6341498112315,1512.1041040833247,1514.6108976209089,1519.1358549432302,1525.6612923236755,1534.170332677314,1544.646642166311,1557.0740958070116,1571.436378614092,1587.7165283818324,1605.879359932409,1618.0664396503446,1624.290107530885,1624.647672091382
IH,0.0,0.5226898919012436,1.0163365497096881,1.48851904783633,1.9459231823208465,2.3944633134481905,2.8393836748986856,3.285341602462526,3.7364747853702194,4.196454359393972,4.668525437443189,5.155536505516744,5.659958995017867,6.18389827193102,6.729097254053931,7.296933873344268,7.888413634254317,8.50415857205697,9.144393977519684,9.808934314454328,10.497169802324164,11.208055154590634,11.940101942758156,12.691375985644509,13.459501035489492,14.241669843098405,15.034663433903923,15.834879121361908,16.63836743440443,17.44087775739368,18.237912093478915,19.024785986988935,19.79669529944482,20.548787247408562,21.276233895852663,21.974306170421908,22.63844641245344,23.264337552315745,23.84796711389533,24.385684474997472,24.874250080013546,25.310875614740937,25.693254489866888,26.019582320798456,26.28856742025884,26.499431621937262,26.651902017209256,26.746194404741367,26.782989420323467,26.76340243039969,26.688948339124135,26.561502479189304,26.38325873661918,26.156686005669535,25.884483988913566,25.569539256525125,25.2148823643886,24.823646709047893,24.399029673963568,23.94425650050894,23.462547202131518,22.957086733786866,22.430998532953843,21.887321464376498,21.328990128641163,20.75881843477048,20.17948628878041,19.593529212881677,19.003330682783215,18.41111695231092,17.81895412416253,16.971031227642438,16.207409430988662,15.543372567560079,14.990773404725998,14.559739026638386,14.260097390561281,14.102644959411343,14.10035909278808,14.269651171148466,14.631755950009275,15.214358465882526,16.053571020448477,17.196387933353048,18.703762173604957,20.654460435354885,23.14985211648252,26.31975642219706,30.329383865742045,35.387224797019364,41.75340814563794,49.74752779138413,59.75418996488252,72.22363510425843,87.66395588537159,106.62111761037681,129.64381574364222,157.23272701553708,189.777911721526,227.49297923575006,270.35817383763396,318.08478033656706,370.1094653004163,425.62056879317527,483.6114557606959,542.9512000419597,602.4612135856321,660.9876296573203,717.4621550022941,770.9474830322636,820.6663274393821,866.0152760657221,906.565922226657,942.0562503706369,972.3752506347729,997.543419479735,1017.6913345988827,1033.0379845447587,1043.8700557193108,1050.5229670664082,1053.3641090977071,1052.7784881792415,1049.1567913080016,1042.8857597061947,1034.3406796066001,1023.8797545365799,1011.8401056444882,998.5351472575114,984.2530976734313,969.2564054065925,953.78189521545,938.0414637339595,922.2231797062,906.4926675845375,890.9946749483794,875.8547435096932,861.1809202956995,847.0654599923769,833.5864815436992,820.8095521344767,808.7891798686279,797.5702030250009,787.189068957867,777.6749997223691,769.0510445406059,761.3350214545178,754.5403520886284,748.676794499706,743.7510797331183,739.7674580313942,736.7281607283567,734.6337837779497,733.4835986649634,733.2757961699963,734.0076681497361,735.67573217569,738.2758035737352,741.8017726968326,745.6745211620113,749.4050685556259
IN,1.0437479905197067,1.9746780326242614,2.8952114321758775,3.813370456569864,4.736675733452125,5.672190464472269,6.626553408907434,7.606000926603383,8.616378335149749,9.663140838122228,10.75134432316763,11.885626413726115,13.070178288260871,14.308707956299406,15.604395899340242,16.959844241708364,18.37702090316178,19.85720048893988,21.400903977470083,23.00783955088352,24.67684715569929,26.405849555792344,28.191812722543897,30.030718375774754,31.917551326385023,33.84630396744613,35.80999981387434,37.800737411351776,39.809755243397554,41.827517492250436,43.84381969379585,45.847912514088556,47.82864111210197,49.774596885351514,51.6742778615033,53.51625363054684,55.28933052779307,56.98271278447532,58.58615555408304,60.090106081258455,61.485829779226755,62.76551858769842,63.9223796586738,64.95070312459428,65.84590840579973,66.60456918039588,67.22441774322473,67.7043300020436,68.0442927854559,68.24535546234559,68.30956809616605,68.23990848395727,68.04020046777502,67.71502586637035,67.26963227014625,66.70983878600775,66.04194162396401,65.27262119675413,64.40885216868944,63.45781765020357,62.42682849853549,61.32324845914973,60.154425671947585,58.927630874595856,57.6500024646459,56.328498433662055,54.96985506052255,53.58055214685498,52.16678449411327,50.734439257579126,49.28907876579505,47.83592836267315,46.44521025258957,45.16789855379875,44.04726098464493,43.12209410608291,42.42957611673362,42.00793561173214,41.89911787520338,42.15162753168106,42.82373626931354,43.98726588323592,45.73218891113066,48.17232930272775,51.45248872669354,55.75735968782067,61.32259458076808,68.4483450424158,77.51541150965552,89.0037642652869,103.51250412151236,121.7792082246319,144.6949942066957,173.30964545321575,208.8192212025075,252.52765572276982,305.7752672767689,369.83207800306167,445.76251012735025,534.2784068229387,635.6054407514076,749.3895835329779,874.6636024147741,1009.8806266047525,1153.007599931925,1301.6608011008989,1453.261089083926,1605.1878059920568,1754.9152740714271,1900.1221625134249,2038.7698794447524,2169.1506339097073,2289.908687386057,2400.0397679041625,2498.8740140382606,2586.047523703311,2661.46691258812,2725.270462710777,2777.7886077649787,2819.505741627036,2851.024689035744,2873.034654341852,2886.2830601311143,2891.5513887286565,2889.6349290167987,2881.3261912995004,2867.4016681820176,2848.6115758267997,2825.6721960974946,2799.2604468979016,2770.0103283735775,2738.5109212208513,2705.30564620767,2670.892528347678,2635.725243055095,2600.2147537824135,2564.7313803409606,2529.6071639219876,2495.1384186240252,2461.5883800760867,2429.1898796650125,2398.1479881373093,2368.642585197012,2340.830822421921,2314.8494556310943,2290.8170300062848,2268.8359070321562,2248.9941268880407,2231.367103490041,2216.0191521179663,2203.004851618379,2192.3702446858047,2184.153880804899,2178.387707187827,2175.0978135506043,2174.3050369149723,2176.02543286324,2180.2680751904622,2185.8693105840703,2191.793104135389
D,0.01,0.01,0.01631438949446942,0.028592309790553265,0.04657446170052591,0.07008231423388388,0.09900878521715356,0.1333101457855261,0.17299893032443242,0.21813765884522296,0.2688332007555383,0.325231628262195,0.3875134248937993,0.4558889304679936,0.5305939188141743,0.6118852191944181,0.7000363070681215,0.7953328049571143,0.8980678499211067,1.0085373006596896,1.1270347744903741,1.2538465222369344,1.3892461670706104,1.533489351104655,1.6868083504497895,1.8494067347999363,2.021454160691144,2.203081397626239,2.3943756926171442,2.59537658083171,2.806072247597004,3.026396539894354,3.2562267138313494,3.495381988805836,3.7436229598473023,4.000651897799731,4.266113943614427,4.539599179148527,4.820645533616556,5.108742463252387,5.40333532270922,5.703830330976413,6.009600022630866,6.319989067346117,6.634320336809377,6.951901098395056,7.27202921878845,7.59399926778433,7.9171084221474,8.240662081107633,8.563979118152426,8.88639670766809,9.207274679120435,9.525999365359159,9.841986924872822,10.154686130083851,10.463580624814831,10.768190663717323,11.068074354645189,11.362828431652732,11.652088591534035,11.935529430666666,12.212864021485261,12.483843169315623,12.748254390688249,13.005920653768348,13.256698920333484,13.500478526941487,13.737179440692419,13.966750422420848,14.189167127366588,14.619693213550413,15.029732523491324,15.42132186711282,15.796867329039484,16.159061370161893,16.51084113317821,16.85538121535024,17.196117068695433,17.536797692917528,17.881568605234566,18.235088378575945,18.602684487667,18.990556921287318,19.406041104133163,19.857945153574317,20.35698027940216,20.916306890717063,21.552221975452298,22.28501419440631,23.140009571049042,24.1488191380147,25.35077567755724,26.794504493480364,28.539509207827845,30.6575695363823,33.233656334153224,36.36599755918404,40.16491808562601,44.75016708555563,50.2466547751365,56.77881404997795,64.46410212012611,73.40636542273536,83.68983977285922,95.37443954406491,108.49275465470903,123.0488990027584,139.019107760769,156.3538049279445,174.98076811615297,194.8089948208971,215.73290341744067,237.63656149098745,260.39770603465695,283.8913919177211,307.99316922712444,332.58174295457616,357.54110910290694,382.7621903426819,408.1440134455334,433.5944817534011,459.0308007974985,484.37961554878194,509.576915083569,534.5677558180375,559.3058487707409,583.7530501884853,607.8787887627166,631.6594568649508,655.0777879196594,678.1222373053439,700.7863800628531,723.0683351866123,744.9702233451492,766.49766247223,787.6593037313793,808.4664088245081,828.9324684310877,849.0728606726341,868.9045478480093,888.445809233519,907.7160074490009,926.7353857235969,945.5248933243531,964.1060364135922,982.5007516576832,1000.7313000046249,1018.8201781681046,1036.7900454914788,1054.663664008771,1072.4638496655539,1090.2134328063207,1107.9352261738143,1125.6519987979896,1143.3864542769961,1161.1612120695725,1178.998790527997,1196.9215603885655,1214.9379002324151
R,0.0,0.11281794841515189,0.394172260121591,0.8391655975427313,1.4447524892148316,2.2095690447272243,3.1337832796416834,4.218962168632034,5.467951895092181,6.884768066262899,8.474492927050452,10.243176845336041,12.197741568580582,14.34588297741147,16.69597129756179,19.256946987052995,22.038210799576973,25.049506844483002,28.3007978229748,31.802132020340284,35.563502072870115,39.594695999066815,43.90514147698464,48.50374484803449,53.39872681354786,58.59745724215022,64.10629190026155,69.93041423151134,76.07368552200224,82.53850687929561,89.32569641120277,96.43438481018387,103.86193223227414,111.6038689157989,119.6538614320712,128.00370582165482,136.64334817439817,145.560932491012,154.74287495095209,164.1739630368744,173.83747735774594,183.7153334937477,193.78824077339644,204.03587459735263,214.4370587481712,224.9699540686888,235.61224994640168,246.34135519535823,257.1345851659152,267.969342219394,278.82328706159956,289.6744988188818,300.5016221464633,311.28400006628726,322.0017916278327,332.6360738596839,343.16892782393575,353.58350889390323,363.86410164434335,373.99615997067644,383.9663332393374,393.76247941657186,403.37366622995364,412.7901614886577,422.00341372861874,431.0060243609986,439.79171249084504,448.3552735413911,456.69253277190666,464.800294716918,472.6762895052042,480.3191169411626,487.6947042475078,494.8207528823111,501.72245987884077,508.43123906989024,514.9840135865675,521.4230020653074,527.7959580218854,534.1568549483445,540.567041487777,547.0969238476002,553.8282685022255,560.8572590435406,568.2984881572853,576.2901196217725,585.0005146068285,594.636676648042,605.4549197907007,617.7741842330316,631.9923788479816,648.605967287616,668.2326620374492,691.6364675146463,719.7533579501294,753.7146049482369,794.8633583893959,844.7589338777318,905.1629754360681,978.0028600280266,1065.3106613733416,1169.140279132435,1291.469833686695,1434.0997043271952,1598.5576116753048,1786.0207332497953,1997.2616512545499,2232.6210371198017,2492.0063760030534,2774.9133516389647,3080.4649530784077,3407.462827081996,3754.4456255237264,4119.749796847514,4501.5691949395805,4898.010845406764,5307.145103043029,5727.049194692408,6155.843747067773,6591.722352229412,7032.974540820921,7478.002737222579,7925.333885078443,8373.626478143718,8821.673729104348,9268.403573576805,9712.876150226655,10154.279330204905,10591.922796731891,11025.231103457134,11453.73607138358,11877.068820637698,12294.951676261282,12707.19013691833,13113.665051926486,13514.325115020472,13909.179752239466,14298.292455710758,14681.774594251407,15059.779715003662,15432.49833716418,15800.153228711379,16162.995149383069,16521.299037566863,16875.360614854497,17225.493379446394,17572.025958092847,17915.299785585965,18255.66708077492,18593.489088504517,18929.134557642356,19262.97842635924,19595.400686978763,19926.7854039542,20257.519859818436,20587.99380525483,20918.598790734904,21249.72755845368,21581.773037562743,21914.927134239944
G,7.0,9.171553567899124,11.524783503581029,14.072494088707309,16.827970992005802,19.804922984344408,23.017407772469408,26.47974054231722,30.206384017335967,34.21181915131555,38.510395999129855,43.11616484866869,48.04268835320296,53.3028361677486,58.908564448410516,64.87068349217499,71.19861773691316,77.90016325750476,84.98124872518444,92.44570647905272,100.29506082581914,108.52834087569832,117.14192508959215,126.12942422342243,135.4816085008395,145.1863836432724,155.22881888199166,165.59122834223135,176.25330531756228,187.19230705079582,198.38328581781258,209.79936047996833,221.41202132188042,233.19145999507492,245.10691578745622,257.12702924758526,269.22019439639087,281.35490131718603,293.50006176827276,305.62531153887545,317.7012844909348,329.69985451964396,341.59434295413257,353.3596901463872,364.97259111410204,376.4115960781613,387.6571775477083,398.6917662471773,409.4997586523552,420.0674992165316,430.38324053881587,440.437084773997,450.22090952787033,459.7282813448949,468.9543596965748,477.8957941375168,486.5506170279103,494.9181339399132,502.9988135823301,510.79417880181745,518.3066999562506,525.5396917114845,532.4972140895294,539.1839783957781,545.6052584758937,551.7668075989952,557.6747811319332,563.3356650583548,568.7562103042868,573.943372757286,578.9042588069819,584.0418421277852,589.4255528251047,595.1266550986609,601.2292515516216,607.8336424839224,615.0606898144756,623.0574505250846,632.0044337128251,642.1249432162833,653.6970965947907,667.0692596640497,682.6797952051464,701.0821725092682,722.9765745768713,749.249085789945,781.0191980303789,819.6955086511005,867.0377786781819,925.2205943131969,996.8894205524887,1085.193915774535,1193.7769381459664,1326.6931547574886,1488.232707007518,1682.637795498651,1913.725718721577,2184.4664963197606,2496.593584943027,2850.3350354834643,3244.3295186521395,3675.7434679360576,4140.553336365079,4633.922823923474,5150.598639583619,5685.264639099843,6232.820179796163,6788.572771331632,7348.351743585616,7908.5580245844,8466.167253655816,9018.701949557662,9564.18539250366,10101.086560462238,10628.262529670526,11144.902432639417,11650.475365622988,12144.683457617102,12627.420535907004,13098.736339080993,13558.805947816643,14007.903959047513,14446.382871728278,14874.655148636366,15293.178445818088,15702.443544602183,16102.964571188153,16495.27113995711,16879.902105552304,17257.400653696117,17628.310500890457,17993.173008422662,18352.525046646406,18706.89747168711,19056.814098975603,19402.791076805803,19745.336578890663,20084.95074807273,20422.125834305814,20757.346479094842,21091.090106050888,21423.82738333836,21756.02272877692,22088.134832397245,22420.617174496954,22753.918519838207,23088.48337069203,23424.752363071144,23763.16259179658,24104.14785109807,24448.13877833102,24795.562889175348,25146.84449343074,25502.404481302332,25862.65997094034,26228.023809013805,26598.886851183343,26967.808888528798,27333.474789237756,27694.657131264237
H,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,84563.03792134736,83579.72186656277,82596.40581177818,81613.08975699359,80629.773702209,79646.45764742441,78663.14159263982,77679.82553785523,76696.50948307064,75713.19342828605,74729.87737350145,73746.56131871686,72763.24526393227,71779.92920914768,70796.61315436309,69813.2970995785,68829.98104479391,67846.66499000932,66863.34893522473,65880.03288044014,64896.71682565555,63913.40077087097,62930.084716086385,61946.7686613018,60963.45260651722,59980.136551732634,58996.82049694805,58013.50444216347,57030.18838737888,56046.8723325943,55063.556277809716,54080.24022302513,53096.92416824055,52113.608113455964,51130.29205867138,50146.9760038868,49163.65994910221,48180.34389431763,47197.027839533046,46213.71178474846,45230.39572996388,44247.079675179295,43263.76362039471,42280.44756561013,41297.131510825544,40313.81545604096,39330.49940125638,38347.18334647179,37363.86729168721,36380.551236902626,35397.23518211804,34413.91912733346,33430.603072548874,32447.28701776429,31463.970962979707,30480.654908195123,29497.33885341054,28514.022798625956,27530.706743841372,26547.39068905679,25564.074634272205,24580.75857948762,23597.442524703038,22614.126469918454,21630.81041513387,20647.494360349287,19664.178305564703,18680.86225078012,17697.546195995536,16714.230141210952,15730.914086426366,14747.59803164178,13764.281976857195,12780.96592207261,11797.649867288024,10814.333812503439,9831.017757718853,8847.701702934268,7864.385648149682,6881.069593365097,5897.753538580511,4914.437483795926,3931.1214290113408,2947.8053742267557,1964.4893194421707,981.1732646575856,0.0,0.0,0.0,0.0,0.0
beta,15.934364195775464,15.934364195775535,15.895585821563095,15.853775704343297,15.808757485174738,15.760354931083274,15.708393945265897,15.65270486649844,15.593125053246514,15.529501736944223,15.461695115938332,15.389581646967097,15.313057475225765,15.232041927756418,15.146480979023451,15.056350583216338,14.961659756347474,14.86245328392231,14.758813928141493,14.650864013333617,14.538766280344761,14.422723920154679,14.30297972366549,14.179814317363642,14.05354349167944,13.924514668105004,13.793102589848958,13.659704356258455,13.524733950832172,13.388616434223465,13.251781985697036,13.114659978379864,12.977673265529848,12.841232837947844,12.70573298826107,12.571547088254013,12.439024053069065,12.308485533265138,12.180223844493836,12.054500616603958,11.931546120523377,11.811559212972579,11.694707826151097,11.581129921810751,11.470934826083838,11.364204862365863,11.260997203645264,11.161345872095307,11.0652638217065,10.97274504854307,10.88376668226758,10.798291021437498,10.716267483397335,10.637634447145079,10.562320974209621,10.490248398286093,10.421331779139672,10.355481220156399,10.292603051964564,10.232600886865216,10.175376550491768,10.120830898266272,10.068864524925198,10.019378375737658,9.972274268107855,9.927455332110616,9.884826378206187,9.844294199967283,9.805767819165903,9.76915868003661,9.734380798985649,9.914444384262296,10.08036889943699,10.233146334423632,10.373608329505972,10.502389239449776,10.619937144229493,10.726517165951526,10.822207481240602,10.906888050712235,10.980221833118987,11.041628142368939,11.090247916090888,11.124901131739211,11.144037651296783,11.145684722963288,11.127397643858568,11.086225153115242,11.018708268348878,10.920940151496643,10.78872338100189,10.617865327675894,10.404644405409108,10.146449669119853,9.842536323662502,9.494756424938174,9.108048383549194,8.690454774063568,8.25253282897576,7.806217768367963,7.3634087285465055,6.934650799016991,6.528224174837286,6.14977045104182,5.80239739264327,5.48709342184633,5.203268274319797,4.949282201564202,4.722888496216048,4.521564997464603,4.342740976812758,4.183939286465276,4.042856249008326,3.91739905682091,3.805696002713858,3.706090502186484,3.6171262997868254,3.537528603992475,3.4661840492984743,3.4021211555206303,3.3444921670028336,3.2925566679761253,3.2456670818367073,3.203256000111951,3.1648252035002646,3.129936201408666,3.09820210799735,3.0692806794754572,3.042868351715704,3.0186951346796547,2.996520238105207,2.9761283200200133,2.957326265237002,2.9399404148069057,2.92381417942771,2.9088059801474313,2.8947874685069452,2.8816419857362643,2.869263226921454,2.857554081367984,2.8464256248503186,2.835796243188204,2.825590869740142,2.8157403220499826,2.8061807251036597,2.7968530105178795,2.7877024825466523,2.7786784431021303,2.769733869081561,2.7608251362045477,2.751911784320513,2.74295631976763,2.7339240508693945,2.7247829530596426,2.7155035604437776,2.70605888084531,2.6963770290718414,2.6650615990529194,2.634623511209243,2.605132491136474
