series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,16303.658559192427,16294.967777280248,16287.047070762734,16278.221969670873,16267.547176467098,16254.35552861701,16238.109074393275,16218.357626377703,16194.736920551926,16166.976786460475,16134.906036553353,16098.449790167126,16057.619959402227,16012.501642574658,15963.238221177062,15910.01713233679,15853.057362193505,15792.599016791224,15728.894924522443,15662.204037286338,15592.78634019468,15520.898987728919,15446.79341914761,15370.713247606209,15292.892756827334,15213.555872970048,15132.91550703196,15051.173185235397,14968.51890230165,14885.131146217946,14801.177053847246,14716.812665172278,14632.183250616836,14547.423691148791,14462.65889504783,14378.00423855292,14293.566020271293,14209.441921372254,14125.72146531342,14042.486472238712,13959.81150431202,13877.764299160252,13796.406189335294,13715.792506299109,13635.972967915981,13556.992048821814,13478.889333349549,13401.69985093603,13325.454394130238,13250.179819475157,13175.899331653012,13102.632751372732,13030.396767544169,12959.205174330284,12889.06909369966,12819.997184120264,12751.995836043769,12685.069354830008,12619.220131754952,12554.448803734276,12490.754402379413,12428.134492984746,12366.585304024251,12306.10184771392
E,0.0,8.690781912178604,15.229522485893876,21.63289885511294,28.867733515972475,37.46897454227242,47.757294355350254,59.9146092959024,74.00798485155791,89.99972851882087,107.75915856762069,127.08006675555163,147.7022423098537,169.3336656958974,191.67046973098138,214.41305108173992,237.27789886992147,260.00546483626295,282.36475047703857,304.15536604235496,325.20775357480653,345.38214803045156,364.56672434693667,382.67526544348846,399.6445934937458,415.4319344661089,430.01233120925946,443.3761799121884,455.5269354163223,466.47900992504185,476.2558750073855,484.88836677768063,492.4131875000011,498.8715926785086,504.3082502555859,508.7702573350133,512.3062994995225,514.9659380247967,516.7990109047728,517.8551344512672,518.1832932111205,517.8315069833488,516.8465647667,515.2738164904333,513.1570143559222,510.5381965302879,507.45760677838075,503.9536443930582,500.0628394859248,495.8198493336028,491.2574720416107,486.40667429326595,481.29663039933405,475.9547702602222,470.4068342011299,464.676932946336,458.78761126610425,452.7599140626279,446.6134538637968,440.3664788688322,434.0359408411607,427.63756227414007,421.1859023669773,414.69442144369833
I,7.0,6.72,7.833165943798387,9.94156402868894,12.983860010455377,17.054912433825535,22.330850347129797,29.031749408263213,37.39780970205416,47.670287738161264,60.074796086957235,74.80714244177587,92.02251195470181,111.82850491803913,134.28198208382932,159.3892102899887,187.10856423349279,217.35500110009326,250.00560768409414,284.9056550475192,321.8747384048245,360.7127068787467,401.205190868419,443.1286136785318,486.2546318600084,530.353989470531,575.1997990866481,620.5702802168166,666.2509964377572,712.0366381552315,757.7323999173773,803.1550008253554,848.1333946254633,892.5092131299814,936.136983128665,978.884153219003,1020.6309632073601,1061.2701850528317,1100.7067608295768,1138.8573599246076,1175.6498746944621,1211.0228710862232,1244.9250082843819,1277.3144392654585,1308.1582022124785,1337.431611043781,1365.1176518262014,1391.206390551995,1415.694396642839,1438.5841855845283,1459.883683275285,1479.6057139728987,1497.767513136478,1514.3902659640169,1529.4986720151728,1543.120535968755,1555.2863842867314,1566.0291073324986,1575.3836263130856,1583.3865842762018,1590.0760602876887,1595.4913058378695,1599.6725024720117,1602.6605396067412
R,0.0,0.28,0.5488,0.8621266377519354,1.2597891988994931,1.7791435993177083,2.46134009667073,3.3545741105559217,4.5158440868864504,6.011756474968617,7.918567984495068,10.321559827973358,13.313845525644393,16.994746003832464,21.46788620055403,26.839165483907202,33.214733895506754,40.69907646484646,49.39327650885019,59.39350081621396,70.78972701811473,83.66471655430772,98.09322482945758,114.14143246419434,131.8665770113356,151.31676228573593,172.53092186455717,195.5389138280231,220.3617250366958,247.01176489420607,275.49323042041533,305.8025264171104,337.9287264501246,371.85406223514315,407.5544307603424,444.99991008548903,484.15527621424917,524.9805147425436,567.4313221446569,611.4595925778399,657.0138869748242,704.0398819626027,752.4807968060517,802.2777971374269,853.3703747080452,905.6967027965444,959.1939672382956,1013.7986733113437,1069.4469289334236,1126.0747047991372,1183.6180722225183,1242.0134195535297,1301.1976481124457,1361.1083486379048,1421.6839592764654,1482.8639061570723,1544.5887275958225,1606.800182967292,1669.4413472605918,1732.4566923131151,1795.7921556841632,1859.3951980956708,1923.2148503291855,1987.201750428066
G,7.0,7.0,8.381965943798388,10.803690666440877,14.24364920935487,18.834056033143245,24.79219044380053,32.38632351881914,41.913653788940614,53.682044213129885,67.9933640714523,85.12870226974923,105.33635748034621,128.8232509218716,155.74986828438335,186.22837577389592,220.32329812899954,258.0540775649397,299.3988841929443,344.2991558637331,392.6644654229392,444.3774234330544,499.2984156978765,557.2700461427261,618.1212088713439,681.6707517562669,747.7307209512053,816.1091940448397,886.6127214744529,959.0484030494374,1033.2256303377926,1108.9575272424659,1186.062121075588,1264.3632753651248,1343.6914138890077,1423.8840633044924,1504.7862394216097,1586.2506997953758,1668.138082974234,1750.316952502448,1832.6637616692867,1915.0627530488262,1997.4058050904337,2079.5922364028856,2161.528576920524,2243.1283138403255,2324.3116190644973,2405.005063863339,2485.1413255762627,2564.6588903836655,2643.5017554978035,2721.619133526429,2798.9651612489242,2875.4986146019223,2951.182631291639,3025.984442125828,3099.875111882555,3172.8292902997914,3244.8249735736786,3315.843276589318,3385.8682159718533,3454.8865039335415,3522.887352801198,3589.862290034808
