series,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,3415.6708058252643,3409.8203428319257,3402.5195821433854,3393.4185270104463,3382.0880419051364,3368.0049320087646,3350.535902800338,3328.9213981205257,3302.2610953906124,3269.503948380131,3229.447148147176,3180.750168680617,3121.971933638822,3051.6405135698637,2968.3645899814273,2870.992621606897,2758.817355723665,2631.808752729671,2490.838461820288,2337.838887719794,2175.8299804146905,2008.7598974905925,1841.148702248934,1677.5885780093033,1522.2123689588996,1378.2616239812708,1247.850741958059,1131.9524866225765,1030.5601664389935,942.9446011560304,867.9259804455553,804.1070155571992,750.0445854631204,704.3598490849007,665.7984481654295,633.2554928486591,605.7784072454975,582.5574435305264,562.9104282924415,546.2657413733073,532.1457424683483,520.1517227174838,509.950784870388,501.264686535772,493.86049879284803,487.5428582474322,482.14757502500856,477.5363727448388,473.5925624702703,470.2174819672793,467.32755982530443,464.85188913381666,462.7302168536809,460.91127284268873,459.3513770609936,458.0132752675063
I,13.0,16.250462993338765,20.30113108321112,25.341959999507903,31.604053104916055,39.3663523803045,48.96211111266999,60.78419356994834,75.28765758587224,92.98727307917903,114.44661869629826,140.25427442359748,170.98165458067322,207.11674373349695,248.96931857523415,296.54742323471777,349.41320447100605,406.5391665707988,466.20162416602204,525.9608734333117,582.7776060517529,633.2921677655003,674.2449294540588,702.9560678028777,717.7410632927058,718.1435956117936,704.9257585126467,679.8388621455998,645.2634099000628,603.8262932030133,558.0796552728857,510.28268910666463,462.28858137941063,415.51560148174815,370.9738821048698,329.3220610006662,290.9347344036945,255.96875123792677,224.42201622842632,196.18229990187518,171.06583882645904,148.8466908120317,129.27829049672118,112.10873073199296,97.09117232851835,83.99057840823048,72.587745949008,62.681399039376146,54.08892950606938,46.64622410784653,40.20690142825209,34.64119183408945,29.83462574740734,25.68664460891801,22.109211468829535,19.025470968550984
R,0.0,2.6,5.850092598667754,9.910318815309978,14.97871081521156,21.299521436194773,29.172791912255672,38.96521413478967,51.12205284877934,66.17958436595379,84.77703898178959,107.66636272104924,135.71721760576872,169.91354852190338,211.33689726860277,261.1307609836496,320.44024563059315,390.3228865247944,471.6307198389542,564.8710446721586,670.063219358821,786.6187405691716,913.2771741222716,1048.1261600130833,1188.717373573659,1332.2655862322001,1475.8943053545588,1616.879457057088,1752.847229486208,1881.8999114662206,2002.6651701068233,2114.2811011614003,2216.337638982733,2308.795355258615,2391.8984755549645,2466.0932519759385,2531.957664176072,2590.144611056811,2641.338361304396,2686.2227645500816,2725.4592245304566,2759.6723922957485,2789.441730458155,2815.297388557499,2837.7191347038975,2857.1373691696012,2873.9354848512476,2888.4530340410492,2900.9893138489247,2911.8070997501386,2921.136344571708,2929.1777248573585,2936.1059632241763,2942.072888373658,2947.2102172954415,2951.6320595892075
G,13.0,18.850462993338763,26.15122368187887,35.25227881481788,46.58276392012761,60.66587381649927,78.13490302492566,99.74940770473802,126.40971043465159,159.16685744513282,199.22365767808785,247.92063714464672,306.698872186442,377.03029225540035,460.306215843837,557.6781842183675,669.8534501015994,796.8620530955933,937.8323440049763,1090.8319181054703,1252.8408254105739,1419.9109083346718,1587.5221035763304,1751.082227815961,1906.4584368663648,2050.409181843994,2180.8200638672056,2296.7183192026882,2398.110639386271,2485.726204669234,2560.7448253797093,2624.5637902680655,2678.6262203621445,2724.310956740364,2762.8723576598354,2795.415312976606,2822.8923985797674,2846.1133622947386,2865.7603775328234,2882.4050644519575,2896.5250633569162,2908.5190831077807,2918.7200209548764,2927.4061192894924,2934.8103070324164,2941.1279475778324,2946.523230800256,2951.134433080426,2955.0782433549944,2958.453323857985,2961.34324599996,2963.8189166914476,2965.9405889715836,2967.759532982576,2969.319428764271,2970.6575305577585
