series,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,37015.352492493956,37012.71898111882,37009.16553692365,37004.393215627475,36998.02327459963,36989.58855014525,36978.533022616255,36964.22561254042,36945.994073658345,36923.18152704357,36895.2209339968,36861.71346850439,36822.49038208895,36777.64003019551,36727.492992091786,36672.57266312146,36613.52815024246,36551.06701692158,36485.89976178366,36418.70070987544,36350.08464038215,36280.595851992315,36210.70582083708,36140.81613717093,36071.26427514209,36002.33056945757,35934.2454068602,35867.19607952759,35801.3330293932,35736.77538230061,35673.61576693624,35611.924463362084,35551.75294829971,35493.13691096481,35436.098811495045,35380.650048165015,35326.79279210942,35274.52154052962,35223.82443202874,35174.68436111837,35127.07992316424,35080.986216078825,35036.375520860056,34993.21787953033,34951.481586058835,34911.13360336606,34872.139917435925,34834.465837829855,34798.07625245256,34762.9358432112,34729.00926819897,34696.26131518699,34664.65703049641,34634.161826724165,34604.74157229046,34576.36266534957,34548.9920942437,34522.59748637334,34497.147147095966,34472.61009004305,34448.95606005496,34426.15554977084,34404.179810770984,34383.00086004956,34362.59148249211,34342.92522994359,34323.976417375525,34305.72011659478,34288.13214787844,34271.18906986961,34254.86816802526,34239.14744186972,34224.005591274086,34209.42200195367,34195.37673034987,34181.85048804147,34168.82462581099,34156.281117474835,34144.20254357155,34132.57207498932,34121.37345660284,34110.59099097946,34100.2095222061,34090.21441988071,34080.5915633051,34071.327325910584,34062.40855994221,34053.82258142314,34045.55715541671,34037.60048160012,34029.9411801608,34022.568278023726,34015.47119541574,34008.639732770775,34002.06405797825,33995.73469397527,33989.64250668205,37047.66061807396,40104.940494227034,43161.731718275405,46218.016933842024,49273.765007826034,52328.92974484904,55383.44822017882,58437.23856671917,61490.19703906236,64542.19414936741,67593.06962493886,70642.62587393615,73690.61956093642,76736.75078485077,76716.76728997585,76695.60598866805,76673.22421841617,76649.58107231949,76624.63784419544,76598.35848969124,76570.71009722911,76541.6633616951,76511.19305297302,76479.27847077599,76445.90387678212,76411.05889487953,76374.7388704012,76336.9451796032,76297.68548131968,76256.97390370652,76214.83116024037,76171.28459063375,76126.36812400469,76080.12216344198,76032.59339295974,75983.83450966641,75933.90388570905,75882.86516612765,75830.78681010795,75777.74158421051,75723.80601694778,75669.05982456512,75613.5853180567,75557.46680132796,75500.78997002829,75443.64131995912,75386.10757315354,75328.27512877219,75270.22954491153,75212.05505632046,75153.83413191055,75095.64707485981,75037.57166707974,74979.6828588646,74922.0525036861,74864.74913734868,74807.83780008361,74751.37989963732,74695.43311299522,74640.05132407202,74585.28459448478,74531.17916439474,74477.77748034873,74425.11824705964,74373.23650012666,74322.16369680036,74271.92782203532,74222.55350723544,74174.06215927686,74126.47209758358,74079.79869722686,74034.05453621513,73989.24954533447,73945.39115908621,73902.48446644678,73860.53236034341,73819.53568489657,73779.4933796257,73740.40261994832,73702.25895342429,73665.05643130642,73628.78773505733,73593.44429757936,73559.01641898208,73525.4933767787
I,6.0,8.15351137513412,11.05467466029583,14.942621983643285,20.11715325279144,26.942505446949994,35.842632540190124,47.282632012816265,61.73156033386036,79.60558212192501,101.19772859893561,126.6093758034345,155.7037121546019,188.0977670756763,223.19698381334183,260.26155407860466,298.48514263130755,337.06746454168467,375.26932251627306,412.4468286231861,448.06715182662504,481.71056807032744,513.0637537799354,541.9083371436924,568.1075322010327,591.5926353094742,612.3503870820834,630.4116834481317,645.8417989066669,658.7321020867199,669.1931492841602,677.3490009155812,683.3325959047091,687.2820255672383,689.3375629916219,689.6393212823247,688.3254316353292,685.530648684305,681.3853052904391,676.0145517775694,669.537825589495,662.0685066277468,653.7137213162928,644.5742649407109,634.7446172169541,624.313030532368,613.3616740199171,601.9668197043964,590.1990595053387,578.1235439862784,565.8002354796037,553.2841696532162,540.6257207715366,527.8708668820616,515.0614519651972,502.2354427488781,489.42717843483075,476.6676120304035,463.984542345347,451.40283601063527,438.9446391178694,426.6295782725613,414.4749510106111,402.4959056511884,390.7056107565368,379.11541444453644,367.7349938570378,356.5724951292204,345.63466423521896,334.9269691052328,324.45371342115703,314.21814250301304,304.22254169840124,294.46832768294206,284.95613307210897,275.6858847347379,266.6568761864421,257.8678344276817,249.31698157675467,241.0020916328375,232.92054268869026,225.06936489698296,217.44528447858048,210.04476404569007,202.86403949764343,195.89915373234436,189.145987402131,182.60028692902787,176.25768998113432,170.11374859923265,164.1639501506161,158.4037362756386,152.8285199815712,147.4337010280092,142.21467973829758,137.16686936221376,132.28570710645343,127.56666394128327,118.86071291051852,111.68812810814241,105.88226196381196,101.31024133939766,97.87020015092541,95.48922559829485,94.12209678140525,93.75089761971019,94.38560439555124,96.06578109190262,98.86356315884179,102.88817337477542,108.29229345070137,115.28071311153914,122.60832884595547,130.27709963631747,138.28699377663946,146.63578264749316,155.31884323400448,164.32897450805157,173.65623310109888,183.28779385104784,193.20784078594832,203.39749388550547,213.83477652183467,224.49462781755727,235.34896327745903,246.36678596767,257.51434926472353,268.75537081910284,280.0512959274322,291.36160704519386,302.6441747624732,313.85564427321174,324.951850253758,335.8882521806676,346.62038150038893,357.1042917400427,367.29700262867084,377.1569295759515,386.6442904095052,395.7214820687767,404.3534209492643,412.50784173502007,420.1555507959905,427.2706315060523,433.8306001066686,439.8165119545207,445.2130191110459,450.0083812276225,454.19443253104873,457.76650840738876,460.72333561364724,463.0668905185019,464.80222999370824,465.93729965954157,466.4827241466791,466.45158389117887,465.85918274744176,464.7228104049858,463.0615032464318,460.89580690287556,458.24754336362247,455.13958509296765,451.59563820811184,447.64003638818053,443.2975468214693,438.5931891614728,433.5520681553735,428.1992203334538,422.5594749051687,416.6573287972019,410.51683558979505,404.16150795845044,397.61423310680715,390.89720058082867,384.0318417820015,377.0387804455357,369.9377933161049,362.7477802360411,355.4867428568197,348.1717711919674,340.8190372462226,333.44379498006055
IH,0.0,0.24,0.43179566336125474,0.6322764063268461,0.8760519437164659,1.190350507794764,1.60172826336798,2.1388341907561954,2.832884330775347,3.7163831809219356,4.820286782004635,6.169944161823432,7.78056976531097,9.65338898485686,11.77362245192499,14.110981574457501,16.622540072958486,19.257147100304632,21.960273120095337,24.678344700883933,27.36202169180396,29.9682698350897,32.46135519569616,34.81301367918003,37.00206770979025,39.013722844193964,40.838717978388374,42.47244572075856,43.91411359630432,45.16598371369065,46.232706666255126,47.12075203669944,47.837930346305356,48.39299757807771,48.79533203134736,49.05467323869336,49.18091335906068,49.183932465765366,49.07347024917412,48.85902772796364,48.54979354887029,48.15459032791868,47.68183724172975,47.13952572167917,46.5352056473028,45.87597989096969,45.16850544592397,44.41899968585189,43.63325056637957,42.81662979619516,41.97410818534283,41.11027252699691,40.2293434919923,39.335194116974435,38.43136855090042,37.52110079380531,36.60733321875449,35.69273471481405,34.77971832740441,33.87045830398503,32.96690647882967,32.070807951672634,31.18371603205122,30.307006434913102,29.441890724064375,28.589429008771333,27.750541905688372,26.92602178359135,26.116543312421214,25.322673341114957,24.544880130807815,23.783541971391465,23.038955210238935,22.311341722268594,21.600855850508303,20.907590846013523,20.231584835453084,19.572826343956265,18.931259399958734,18.30678824782869,17.699281693028077,17.108577103491236,16.534484089805048,15.976787885666136,15.43525244898558,14.909623302919622,14.399630135034627,13.904989171772055,13.425405344369324,12.960574261418788,12.51018400231175,12.073916744919515,11.651450240009462,11.24245914408153,10.846616221539179,10.463593426378143,10.093062872885646,9.734697704190763,14.954520637474245,16.804596969478176,17.13337182654805,16.829299241324378,16.315192180814,15.7891756698533,15.342074323364088,15.014580332982764,14.825112579702331,14.783455035260083,14.897546044736522,15.177029259765881,15.635347272239764,16.29127274663653,17.170347327561416,18.185423527810954,19.294142132620248,20.475835161104932,21.720241204552117,23.02198427204849,24.37786554053193,25.785528956818503,27.242799079501687,28.74734931598067,30.296534208887493,31.887305010295364,33.516169482244386,35.17917713548475,36.871920922357276,38.58955108260993,40.326799015327055,42.078009994907944,43.837183892961676,45.59802312302524,47.35398694850208,49.09835116771694,50.82427205740049,52.52485334185016,54.19321487349045,55.82256166919727,57.40625194878333,58.93786286736315,60.41125271917613,61.820618511996386,63.16054796209017,64.42606513235874,65.61266912288947,66.71636541569174,67.73368966640804,68.66172391854482,69.49810538459188,70.24102808883363,70.88923779552175,71.44202075145816,71.8991868531894,72.26104790623558,72.52839167823304,72.70245246140362,72.78487885470494,72.77769945500798,72.68328711247383,72.50432236075497,72.24375658041572,71.90477539654967,71.4907627512163,71.00526602998721,70.45196256124038,69.8346277482238,69.15710503838783,68.42327788284756,67.63704379162749,66.80229054789135,65.92287460681695,65.00260167213793,64.04520941551593,63.05435228061174,62.03358829470664,60.98636779565148,59.916023970431496,58.82576509335226,57.71866834640245,56.59767510136342,55.46558754236318,54.32506650848214
IN,0.24,0.4725543266284635,0.7840344267739036,1.2018978121282435,1.7623154475778446,2.512328139355011,3.5120867958673547,4.836834384414482,6.57808346084977,8.84326978728671,11.753142662278234,15.43642655060068,20.0219074572402,25.62890351341702,32.35771234464604,40.28173770897817,49.44251378121004,59.848032785284914,71.47402760008464,84.26741606715882,98.1510073125053,113.02869196250278,128.79055334379584,145.31755185525427,162.48560606489553,180.1690125598728,198.24321955894732,216.58700895490682,235.0841591045142,253.62466496280365,272.105588986779,290.43160938245745,308.51532400144964,326.27735978501903,343.64632976818126,360.55867259292444,376.9584033300437,392.79679915440926,408.03203898557825,422.6288124996597,436.5579108404591,449.79580881454547,462.3242462616587,474.1298145751182,485.20355294344034,495.5405577407607,505.13960756502735,514.0028056718435,522.1352409471614,529.5446680779537,536.241207195125,542.2370629595869,547.5462628259723,552.1844140368019,556.1684787630372,559.5165667065871,562.2477444096223,564.3818604688606,565.9393858256133,566.9412682904875,567.4088004620145,567.363500208498,566.827002899883,565.8209645996428,564.366975454121,562.4864825472434,560.2007215210614,557.5306562964058,554.496926262402,551.1198003381824,547.4191373444561,543.4143521563227,539.1243871416053,534.5676884208489,529.7621865158376,524.7252809829389,519.4738286557172,514.0241351480415,508.3919492943202,502.59246022753933,496.6402968184728,490.5495292207983,484.3336722869315,478.00569063821933,471.578005190764,465.06250095462315,458.4705359395085,451.8129510144318,445.10008058207836,438.34176394107897,431.54735722084644,424.7257457843035,417.885357003695,411.03417332380184,404.1797455353032,397.3292061888076,390.48928308723885,383.6663128008593,376.86625415527334,369.9289200333831,362.9199038691512,355.8960982467073,348.9073158096613,341.9977491887889,335.20730348663574,328.5728369682461,322.1293477779317,315.91114734150136,309.95306517879345,304.2917356891977,298.96702565085667,294.0236722978178,289.5132165413242,285.435796165539,281.79162303935385,278.58090119047705,275.8037391721577,273.46005724933315,271.54949011948764,270.07128607837745,269.02420373587603,268.40640757541803,268.2153638240296,268.44773825047986,269.0992976284288,270.16481668181393,271.63799236429645,273.51136730803336,275.7762642058893,278.4227327642382,281.43951068199135,284.8139998792271,288.5322589220657,292.5790122776939,296.9376766949769,301.59040465343537,306.5181444687079,311.7007162981737,317.1169029677527,322.74455425041987,328.560702977376,334.54169116079674,340.66330415709444,346.9009108038419,353.22960742185927,359.6243635843792,366.06016761382676,372.5121698683417,378.95582201843825,385.36701068221595,391.72218397807313,397.9984697597621,404.1737845129916,410.2269321093169,416.1376918261425,421.8868952464989,427.45649184490827,432.8296032430557,437.9905662789237,442.9249651740844,447.61965320526014,452.0627643879433,456.24371576221824,460.15320093478596,463.7831755776989,467.126835614868,470.1785888435447,472.9340207413471,475.38985520165386,477.5439109229708,479.3950541527815,480.943148454908,482.18900213293915,483.13431390209064,483.78161735908895,484.1342247553297,484.19617053352516,483.9721550430801,483.46748880514923,482.6880376552548,481.6401690498962,480.33069978409026
D,1.0,1.0,1.0143535007741669,1.0401775815589072,1.0779916644243233,1.130385048809093,1.201575452705602,1.297368818823341,1.4252844780434817,1.594708675688937,1.8169716292908702,2.1052549211959124,2.4742561641263263,2.939582889750705,3.5169159158651944,4.221052161608755,5.064977098913884,6.0591089397715105,7.210806755656797,8.524168410782654,10.000087743154719,11.63650774122172,13.428797675715067,15.370189704598118,17.45222561624476,19.665180647570807,21.998445235267774,24.440855944096032,26.98097378798633,29.607312385908862,32.308520645077486,35.07352560726884,37.8916412357609,40.752648611845224,43.64685247935021,46.56511846304886,49.498894672665905,52.44022083088888,55.38172755057195,58.316627938957694,61.23870332361757,64.14228457065654,67.02223019378768,69.87390222613297,72.6931406383829,75.4762369312353,78.21990740157156,80.9212664760967,83.57780041934085,86.18734165177396,88.74804385563607,91.25835799869142,93.71700936761836,96.12297567160394,98.4754662516456,100.77390241101078,103.01789886639195,105.2072463067902,107.34189503746194,109.42193967886905,111.44760488506755,113.41923204200826,115.33726690351864,117.20224812104968,119.01479662240888,120.77560579449553,122.48543242537215,124.14508836173403,125.75543283888409,127.3173654416066,128.8318196557969,130.29975697229432,131.72216150603933,133.10003509539834,134.43439284824535,135.7262591031326,136.97666377560853,138.1866390614348,139.357216470104,140.48942416365927,141.5842845773581,142.64281230020424,143.666012194787,144.6548777372181,145.61038955924147,146.53351417580805,147.4252028825622,148.28639080877443,149.117996112282,149.92091930396495,150.6960426901938,151.4442299225361,152.16632564480872,152.86315522830932,153.5355245867598,154.1842200631471,154.8100083812558,155.41363665525446,155.53215123829648,155.71421429066845,155.91880100342988,156.12739036899927,156.33227781831536,156.53090629732063,156.7231308150151,156.90991212006276,157.09270636614892,157.2731939466906,157.45317436957214,157.634543787657,157.81931575995597,158.00966750163244,158.2080047747005,158.41704429663002,158.63844181223166,158.87333736620621,159.12261938197037,159.38705135594128,159.6673313348077,159.96411842134933,160.27804303469603,160.60970910917663,160.9596922541365,161.32853587193458,161.71674624810288,162.12478715209966,162.55307425835238,163.00196958791048,163.47177611866334,163.96273268618603,164.47500928288375,165.00870285290324,165.56383367074454,166.140342381042,166.73808776497796,167.3568452851733,167.9963064458904,168.65607898938427,169.33568793273272,170.0345774329979,170.75211345264293,171.4875871822459,172.2402191641506,173.0091640491273,173.7935159086526,174.59231401822564,175.404549022289,176.22916938880076,177.0650880612058,177.91118921731245,178.76633504816925,179.6293724751954,180.49913973025792,181.3744727308191,182.2542111904016,183.13720441316525,184.02231673009786,184.90843254297152,185.79446095060803,186.67933993997295,187.56204013205277,188.44156807926683,189.31696911726544,190.18732977932976,191.0517797862065,191.90949362809008,192.75969175863003,193.60164142333184,194.43465714657944,195.2581009027947,196.07138199801824,196.87395668850854,197.66532756287094,198.44504271380472,199.21269472484803,199.96791949656148,200.7103949354687,201.43983952780914,202.15601081879484,202.8587038166338,203.54774933911546,204.22301231907767
R,0.0,0.007445673371536518,0.14209731910140427,0.3823030828203989,0.7357055858072247,1.2283732057903052,1.9014468255642365,2.8112105467263646,4.030606232077086,5.65102168455693,7.783428824634774,10.558022552503337,14.121664863720627,18.63281983474169,24.254265876384157,31.144503848843296,39.449168667093694,49.29372220531965,60.77830071817871,73.97502481649192,88.92758353770824,105.65260289248803,124.14221166172138,144.36726294029083,166.2807857598881,189.82137167526366,214.91631577905574,241.48441889846447,269.43841770527155,298.68704704420657,329.13675997543567,360.69314118985443,393.26205270601076,426.75054998696146,461.0676037284037,496.1246587519456,531.8360573874279,568.119350828961,604.8955183894446,642.089111431423,679.6283360272627,717.4450860742485,755.4749366204128,793.657105499962,831.9343899890231,870.2530840325398,908.5628806255721,946.8167631258963,984.9708886031582,1022.9844657705441,1060.8196295792654,1098.4413141684624,1135.817125540412,1172.9172150623378,1209.7141546726998,1246.1828144840956,1282.3002433206402,1318.0455525997306,1353.3998038621482,1388.345900166914,1422.8684814951946,1456.953824248357,1490.5897448768878,1523.765507637584,1556.4717364446906,1588.7003307552975,1620.4443854092488,1651.6981143282026,1682.456777966564,1712.716614398185,1742.4747739164466,1771.7292570211914,1800.4788556635574,1828.7230976187973,1856.462193857357,1883.6969887856321,1910.4289132297174,1936.659940037979,1962.392542181243,1987.6296532327392,2012.3746301135345,2036.6312179929948,2060.403517237724,2083.69595230643,2106.513242492198,2128.86037441765,2150.742576192483,2172.16529314678,2193.134165057351,2213.6550047881087,2233.733778269158,2253.3765857428,2272.589644208097,2291.3792709989434,2309.7518684337747,2327.713909478108,2345.271924364037,2362.432488113629,2379.2022089158436,2398.3706892026203,2418.248919169998,2438.0740794477533,2457.5293104567213,2476.51068912766,2495.0147187304033,2513.084549547895,2530.7848199597693,2548.1904628875664,2565.3823673489446,2582.446471784487,2599.4746726430285,2616.5668239940783,2633.8335534699636,2651.399857585084,2669.3471665472166,2687.735739066831,2706.615506943638,2726.031275013076,2746.025157836538,2766.6376593469518,2787.908082215549,2809.874602959361,2832.5741779391433,2856.0423622761073,2880.313083388148,2905.4183913708207,2931.3881991113335,2958.2500205895526,2986.028713726519,3014.7462331323586,3044.4213975652774,3075.0696765394555,3106.703000166084,3139.329595911395,3172.9538554821725,3207.576234499116,3243.193187000291,3279.797136147065,3317.3764818036657,3355.9156449512943,3395.3951482011335,3435.791731009201,3477.0784975891074,3519.2250949826334,3562.1979182952864,3605.9603397431915,3650.4729578935066,3695.6938633136688,3741.5789167724347,3788.0820361520346,3835.155488327519,3882.750182436505,3930.8159611887017,3979.301887138014,4028.1565211487537,4077.3281906200646,4126.765245378363,4176.416299496732,4226.230457644359,4276.157524901125,4326.148199286554,4376.154246544157,4426.128656988373,4476.025784459944,4525.801467645482,4575.413134198023,4624.819888248019,4673.9825820197,4722.86387236738,4771.428263122204,4819.6421341939085,4867.473758406746,4914.893307065989,4961.872845253624,5008.3863178411875,5054.409527186129,5099.92010344771,5144.897468420827,5189.3227937430465,5233.178954282959,5276.450477467873,5319.123489257144
G,6.0,8.63351137513412,12.186955570306562,16.959276866477683,23.3292178943173,31.76394234869917,42.819469877695305,57.12687995353665,75.35841883560605,98.17096545037953,126.13155849714411,159.63902398955784,198.862110405,243.71246229844257,293.8595004021622,348.7798293724924,407.8243422514836,470.28547557236527,535.4527307102884,602.6517826185033,671.2678521117971,740.7566405016295,810.6466716568636,880.5363553230155,950.0882173518512,1019.0219230363754,1087.1070856337426,1154.1564129663575,1220.0194631007432,1284.5771101933296,1347.7367255577076,1409.4280291318614,1469.599544194236,1528.215581529142,1585.2536809989047,1640.7024443289372,1694.5597003845278,1746.8309519643299,1797.5280604652085,1846.668131375574,1894.272569329705,1940.3662764151163,1984.976971633882,2028.1346129636036,2069.8709064351037,2110.218889127874,2149.2125750580126,2186.886654664085,2223.2762400413794,2258.416649282746,2292.343224294974,2325.0911773069547,2356.6954619975327,2387.1906657697805,2416.610920203481,2444.9898271443776,2472.3603982502405,2498.7550061206,2524.2053453979756,2548.742402450892,2572.3964324389767,2595.1969427230983,2617.1726817229533,2638.3516324443794,2658.761010001823,2678.4272625503454,2697.3760751184095,2715.6323758991552,2733.2203446154913,2750.1634226243227,2766.4843244686654,2782.205050624214,2797.3469012198434,2811.9304905402564,2825.9757621440585,2839.5020044524563,2852.5278666829395,2865.0713750190944,2877.149948922382,2888.7804175046053,2899.979035891085,2910.761501514473,2921.142970287829,2931.138072613225,2940.760929188834,2950.025166583346,2958.9439325517205,2967.529911070788,2975.7953370772166,2983.7520108938056,2991.4113123331276,2998.7842144701995,3005.8812970781833,3012.712759723147,3019.2884345156763,3025.6177985186564,3031.709985811873,3037.5737992152194,3044.175847857409,3051.2665486042947,3058.863257832941,3066.997108644184,3075.7142964164395,3085.0777458819202,3095.169324136826,3106.0927765888996,3117.977591079106,3130.9840403029234,3145.309716100891,3161.1979538958853,3178.948654776784,3198.9321496517064,3220.093450959507,3242.475221211384,3266.118367308064,3291.0615954321147,3317.340949936325,3344.9893423984527,3374.036077932466,3404.506386654547,3436.420968851573,3469.795562845444,3504.640544748034,3540.9605692263767,3578.7542600243855,3618.0139583078917,3658.725535921066,3700.8682793872117,3744.4148489938334,3789.331315622887,3835.5772761855897,3883.106046667825,3931.8649299611566,3981.7955539185173,4032.8342734999187,4084.9126295196193,4137.957855417052,4191.893422679773,4246.6396150624405,4302.114121570853,4358.232638299594,4414.909469599262,4472.058119668434,4529.591866474015,4587.424310855357,4645.46989471601,4703.644383307077,4761.865307716979,4820.05236476772,4878.127772547786,4936.016580762931,4993.646935941423,5050.950302278849,5107.861639543928,5164.31953999021,5220.266326632311,5275.648115555515,5330.414845142752,5384.520275232796,5437.921959278811,5490.581192567904,5542.462939500883,5593.535742827184,5643.771617592226,5693.145932392096,5741.6372803506765,5789.227342043954,5835.9007424006795,5881.644903412409,5926.449894293062,5970.30828054132,6013.21497318075,6055.167079284121,6096.16375473096,6136.206060001832,6175.296819679206,6213.44048620324,6250.643008321109,6286.911704570212,6322.255142048179,6356.68302064547,6390.206062848854
H,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,42894.346947133636,39830.46502233838,36766.583097543116,33702.70117274785,30638.819247952593,27574.937323157334,24511.055398362074,21447.173473566814,18383.291548771555,15319.409623976295,12255.527699181035,9191.645774385775,6127.763849590516,3063.881924795256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
