series,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,58093.85804071354,58076.02368078587,58060.431432615755,58033.87353997297,57990.46122063422,57921.5641283419,57816.62171894792,57664.69079688243,57456.65435437548,57186.901978398004,56853.73827122152,56458.79603866422,56006.10005431543,55501.19013232253,54950.435789249546,54360.54232926212,53738.21035341029,53089.909115198156,52421.73190243618,51739.30982177994,51047.7668836562,50351.70406168327,49655.20341551391,48961.84580424892,48274.737472431494,47596.542067589166,46929.51558758017,46275.54245318833,45636.17142227994,45012.65045240235,44405.95991175146,43816.84375776004,43245.838465736,42693.29961019197,42159.426088768174,41644.28204064525,41147.81655401501,40669.881285143696,40210.24612842425,39768.613085379824,39344.628483038876,38937.89369015419,38547.9744746991,38174.409138957075,37816.71556009586,37474.39725496671,37146.94857842509,36833.85915504663,36534.617634936265,36248.71485555222,35975.64648319089,35714.91520006165,35466.03249575142,35228.520115342195,35001.911210491475,34785.75123439231,34579.59861666896,34383.02524990052,34195.61681556304,34016.97297370296,33846.70743756454,33684.44795165504,33529.83618931097,33382.52758369304,33242.19110425833,33108.50898910734,32981.17644215595,32859.90130281577,32744.403694758992,32634.415659378534
E,0.0,17.834359927670658,29.61240391462244,49.83714216651995,82.59087679018953,133.82439892795531,210.1460120461028,317.13336442525224,457.34503440793503,629.2858068033036,827.8652302462349,1045.7533359885765,1274.7958354431942,1507.0673432770554,1735.5077604035491,1954.2311315016998,2158.6150236059707,2345.256943162431,2511.8580478121767,2657.0733258512414,2780.3525171668402,2881.7860816477973,2961.964046646104,3021.8514519208697,3062.681560379134,3085.8664761060872,3092.9239485605485,3085.418705783941,3064.916493013971,3032.94899254,2990.9878977202748,2940.426564124179,2882.5678348634206,2818.6168170076153,2749.677560302288,2676.7527517138346,2600.7456862436993,2522.4639046553784,2442.6240022179436,2361.857210060548,2280.7154334804954,2199.677501004823,2119.155435698454,2039.5006076450209,1961.0096651225335,1883.9301730634936,1808.4659121057384,1734.7818109489745,1663.0084997435129,1593.2464836386011,1525.5699440802327,1460.0301815418902,1396.658717574644,1335.4700767740162,1276.464270809548,1219.6290073194675,1164.9416464572746,1112.3709273670502,1061.8784860019334,1013.4201845980112,966.9472718619878,922.4073915936024,879.7454560947363,838.9043993552447,799.8258236789992,762.4505521422847,726.7190980738628,692.5720616198565,659.9504624113833,628.7960163898601
I,5.0,4.505646697920709,7.874374616456155,13.428984388650695,22.759836548507423,38.1731266325516,63.01972066808925,101.73248895275091,159.49890310851296,241.54074480467557,352.2437355820554,494.4712916326667,669.2360733664349,875.7066749776169,1111.4389036384932,1372.7202941131513,1654.9466158154864,1952.9802696125007,2261.4639286890024,2575.078299170053,2888.742353916704,3197.759747105679,3497.9178102291453,3785.54657224162,4057.545305968268,4311.383611015298,4545.083273642644,4757.186265900969,4946.713361748449,5113.117015135997,5256.231394536553,5376.221812847672,5473.53523295408,5548.853063062278,5603.047074295878,5637.138966430482,5652.26386606391,5649.637855241115,5630.529488539869,5596.2351547187955,5548.05806805031,5487.290628197005,5415.199860654877,5333.015637943523,5241.921381195654,5143.046949577021,5037.463438621955,4926.179626159884,4810.1398245101345,4690.222918857149,4567.242393291848,4441.947167255357,4315.023085573952,4187.0949246034315,4058.728794999192,3930.4348381780073,3802.670128591393,3675.8417074925724,3550.3096859912316,3426.3903659204575,3304.3593364738135,3184.454512803226,3066.8790899010473,2951.8043912243693,2839.3725967565383,2729.6993396362386,2622.876164209479,2518.972841459258,2418.039540319824,2320.1088554587254
R,0.0,0.49435330207929035,0.939829566703241,1.7183741853941301,3.046106740614272,5.296386811122185,9.070589051420741,15.301390453097625,25.359748821605095,41.12951070754873,65.01080366372524,99.83737442807194,148.72607758847604,214.8938901363311,301.47558742194326,411.36428583655834,547.0860478817765,710.711712740443,903.8041617761714,1127.396593912294,1381.9962859737818,1667.6081502767868,1983.7727683243725,2329.61421230212,2703.8937019346367,3105.0658860029844,3531.3352309301736,3980.710615840292,4451.056763671171,4940.14158063519,5445.678836705247,5965.365905981643,6496.916507160034,7038.088550451671,7586.707317347195,8140.68428192397,8698.03193439092,9256.87499567335,9815.458421531472,10372.152590554371,10925.45605614386,11473.996221357524,12016.52826966111,12551.93265616792,13079.211434299496,13597.483663106317,14105.980111560762,14604.037448558054,15091.092081523626,15566.673782665563,16030.399220150563,16481.965491854633,16921.14374181352,17347.772923993893,17761.753764413323,18163.042960823754,18551.64764899591,18927.620155953395,19291.053053157342,19642.074516492114,19980.843994813204,20307.548184661675,20622.39730540679,20925.621666440893,21217.468516019675,21498.199159827684,21768.08633627425,22027.411834818653,22276.46434322334,22515.537509486418
G,5.0,5.0,8.814204183159395,15.147358574044825,25.805943289121693,43.469513443673776,72.09030971950999,117.03387940584855,184.85865193011807,282.67025551222434,417.25453924578073,594.3086660607387,817.9621509549111,1090.600565113948,1412.9144910604366,1784.08457994971,2202.032663697263,2663.691982352944,3165.268090465174,3702.474893082347,4270.7386398904855,4865.367897382465,5481.690578553517,6115.16078454374,6761.439007902905,7416.449497018282,8076.418504572817,8737.89688174126,9397.770125419618,10053.258595771185,10701.910231241798,11341.587718829313,11970.451740114111,12586.941613513947,13189.754391643071,13777.82324835445,14350.295800454829,14906.512850914463,15445.987910071339,15968.387745273167,16473.51412419417,16961.28684955453,17431.728130315987,17884.948294111444,18321.132815495148,18740.530612683335,19143.443550182714,19530.217074717933,19901.231906033758,20256.89670152271,20597.64161344241,20923.91265910999,21236.16682738747,21534.86784859732,21820.48255941251,22093.477799001757,22354.317777587297,22603.461863445962,22841.362739148568,23068.464882412565,23285.20333128701,23492.002697464897,23689.276395307832,23877.426057665256,24056.84111277621,24227.898499463918,24390.962500483725,24546.384676277907,24694.50388354316,24835.64636494514
