state,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03
England,39354,39434,39567,39626,39647,39663,39815,39936,40018,40066,40213,40234,40245,40379,40462,40528,40640,40680,40706,40718,40828,40906,40959,41082,41143,41156,41163,41282,41360,41398,41512,41584,41589,41598,41686,41749,41795,41886,41940,41948,41900,41900,42072,42072,42072,42072,42072,36731,36742,36757,36763,36765,36782,36786,36789,36805,36818,36828,36837,36849,36850,36852,36854,36861,36872,36881,36892,36894,36896,36923,36931,36944,36950,36959,36964,36971,36996,37013,37031,37054,37076,37094,37103,37139,37172,37209,37240,37270,37286,37299,37367,37429,37477,37535,37574,37606,37625,37688,37753,37823,37902,37956,38018,38061,38185,38293,38404,38524,38652,38711,38783,38996,39140,39300,39488,39629,39766,39856,40178,40414.0,40628,40854,41132,41264,41389,41748,42136,42433,42736,43064,43191,43366,43826,44304,44773,45053,45449,45592,45783,46301,46724,47140,47576,47842,48212,48406,48941,49545,49956,50407,50804,50998,51187,51718,52273,52601,53025,53369,53570,53747,54285,54736,55155,55508,55948,56086,56280,56747,57284,57722,58125,58566,58807,59005,59613,60238,60706,61276,61451,61697,62019,62379,63298,64118,64731,65080,65472,65842,66626,67510,68514,69670,70541,71039,71534,72685,74085,75199,76338,77478,78076,78636,80143,81805,82939,84190,85423,85974,86522,88042,89610,90698,91822,92920,93448,93816,95172,96345,97162,98054,98778,99107,99411,100385,101311,101905,102562,103106,103334,103544,104277,104915,105292,105773,106170,106360,106525,107008,107388,107654,107954,108208,108323,108422,108729,108993,109195,109406,109541,109602,109664,109871,110027,110165,110310,110416,110456,110517,110618,110739,110822,110903,110985,111011,111027,111130,111222,111271,111332,111375,111392,111414,111453,111489,111530,111577,111585,111595,111611,111626,111666,111710,111761,111794,111797,111810,111828,111862,111887,111917,111948,111955,111957,111985,112005,112016,112054,112081,112088,112091,112107,112134,112149,112163,112169,112182,112183,112186,112213,112225,112238,112243,112245,112245,112263,112274,112282,112297,112304,112307,112310,112315,112318,112324,112330,112336,112339,112342,112355,112363,112371,112379,112385,112391,112391,112391,112402,112415,112424,112436,112440,112440,112453,112458,112463,112479,112489,112496,112499,112507,112515,112530,112539,112551,112557,112562,112585,112598,112614,112629,112649,112658,112661,112683,112694,112710,112732,112747
Northern Ireland,551,551,552,554,554,554,554,554,554,554,554,544,554,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,557,557,557,557,557,558,559,559,559,559,559,559,559,559,559,560,560,560,560,560,560,562,563,564,564,564,565,567,567,568,568,568,568,570,571,573,573,575,575,575,577,577,577,577,577,578,578,578,578,579,581,582,583,584,584,585,586,587,587,587,588,591,598,602,606,608,610,615,621,624,629,634,639,645,653,658,671,680.0,688,697,708,716,724,730,740,752,760,774,781,791,802,810,825,836,846,855,869,878,889,901,913,923,933,936,947,954,962,974,983,986,996,1011,1015,1026,1032,1039,1050,1059,1073,1085,1099,1111,1120,1124,1129,1135,1143,1154,1166,1183,1196,1203,1219,1240,1240,1240,1240,1271,1291,1305,1311,1322,1322,1348,1354,1366,1384,1397,1414,1434,1443,1460,1476,1498,1517,1533,1559,1581,1606,1625,1649,1671,1692,1704,1716,1730,1747,1763,1779,1792,1814,1831,1850,1861,1878,1889,1899,1915,1922,1931,1943,1953,1957,1966,1975,1985,1996,2000,2009,2015,2021,2026,2029,2033,2036,2041,2043,2048,2050,2052,2055,2057,2059,2063,2066,2068,2072,2075,2077,2079,2087,2096,2097,2098,2098,2099,2100,2100,2101,2103,2103,2104,2105,2107,2107,2107,2107,2109,2111,2111,2115,2115,2115,2116,2116,2116,2118,2121,2121,2123,2125,2128,2129,2129,2129,2130,2132,2133,2135,2135,2135,2136,2137,2140,2141,2142,2142,2143,2143,2144,2144,2145,2145,2146,2146,2146,2146,2146,2147,2147,2147,2147,2148,2148,2149,2149,2149,2149,2150,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2153,2153,2153,2153,2153,2154,2154,2154,2154,2154,2154,2154,2154,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2156,2156
Scotland,2485,2486,2487,2488,2488,2488,2488,2489,2490,2490,2490,2490,2490,2490,2490,2490,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2492,2492,2492,2492,2492,2492,2492,2494,2494,2494,2494,2494,2494,2494,2495,2496,2496,2496,2496,2496,2499,2499,2499,2499,2499,2499,2499,2500,2501,2501,2502,2505,2505,2505,2506,2508,2510,2510,2511,2512,2512,2512,2519,2522,2526,2530,2530,2530,2532,2533,2538,2544,2550,2550,2550,2557,2572,2585,2594,2609,2609,2610,2625,2653,2670,2688,2699,2700,2701,2726,2754.0,2791,2819,2843,2849,2849,2877,2927,2966,2997,3036,3039,3040,3079,3143,3188,3244,3280,3280,3286,3323,3377,3427,3459,3496,3503,3503,3544,3588,3639,3676,3720,3722,3725,3759,3797,3848,3889,3911,3916,3917,3950,3989,4039,4069,4109,4111,4111,4135,4173,4203,4239,4280,4283,4283,4326,4373,4416,4416,4416,4416,4416,4467,4510,4578,4578,4578,4578,4578,4633,4701,4779,4872,4965,4968,4969,5023,5102,5166,5227,5305,5305,5305,5376,5468,5557,5628,5704,5705,5709,5796,5888,5970,6040,6100,6106,6112,6181,6269,6322,6383,6431,6438,6443,6501,6551,6599,6666,6711,6715,6715,6764,6828,6885,6916,6945,6950,6950,7006,7053,7084,7111,7129,7131,7131,7164,7371,7398,7409,7421,7421,7422,7441,7461,7483,7500,7508,7510,7510,7517,7529,7536,7544,7552,7552,7552,7559,7562,7572,7578,7584,7584,7584,7596,7602,7610,7614,7614,7614,7614,7614,7619,7620,7626,7630,7630,7630,7633,7636,7637,7640,7642,7642,7642,7644,7643,7646,7647,7651,7652,7652,7653,7654,7659,7659,7660,7660,7660,7660,7660,7660,7661,7661,7661,7661,7661,7661,7662,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7666,7666,7666,7668,7668,7668,7669,7669,7670,7674,7676,7677,7677,7677,7677,7678,7679,7679,7681,7681,7681,7683,7684,7688,7690,7692,7692,7692,7696,7701,7706,7708,7711,7712,7712,7713,7716,7722,7726,7729
Wales,1516,1524,1525,1530,1531,1531,1534,1538,1540,1540,1541,1541,1541,1543,1545,1545,1546,1546,1547,1547,1547,1548,1548,1548,1548,1549,1549,1549,1554,1554,1560,1562,1565,1565,1566,1568,1571,1578,1579,1579,1579,1579,1586,1586,1586,1586,1586,1589,1589,1589,1589,1589,1590,1592,1593,1593,1594,1595,1595,1595,1595,1595,1596,1596,1596,1596,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1600,1601,1603,1603,1603,1603,1605,1606,1609,1612,1612,1612,1615,1616,1622,1625,1630,1630,1630,1640,1643,1644,1646,1667,1669,1673,1678,1688,1698,1703,1708,1711,1712,1722,1736,1743,1756,1772,1777,1783,1790,1827.0,1848,1859,1872,1888,1891,1895,1939,1969,1982,2014,2033,2041,2063,2108,2142,2171,2191,2207,2209,2243,2284,2307,2338,2365,2376,2385,2406,2446,2474,2494,2523,2539,2540,2563,2614,2638,2671,2695,2709,2711,2725,2756,2789,2818,2849,2849,2882,2891,2920,2973,3011,3046,3115,3125,3149,3200,3263,3263,3298,3368,3383,3416,3429,3494,3494,3564,3620,3645,3662,3738,3801,3857,3919,3964,3981,3997,4063,4117,4171,4226,4274,4294,4302,4346,4392,4459,4486,4530,4553,4561,4610,4666,4695,4720,4754,4775,4782,4832,4867,4912,4961,4989,5001,5011,5032,5059,5084,5106,5121,5137,5145,5175,5189,5205,5221,5237,5246,5250,5263,5284,5300,5316,5340,5343,5344,5356,5366,5378,5385,5403,5403,5406,5412,5424,5436,5442,5452,5454,5455,5463,5467,5476,5482,5488,5488,5488,5491,5495,5498,5505,5505,5506,5506,5507,5509,5509,5511,5511,5519,5521,5521,5527,5528,5528,5531,5531,5533,5533,5535,5535,5535,5538,5540,5542,5542,5543,5543,5543,5546,5548,5548,5548,5550,5550,5550,5550,5550,5551,5551,5552,5552,5552,5552,5556,5557,5557,5558,5558,5558,5559,5560,5560,5560,5561,5564,5564,5566,5566,5566,5567,5569,5569,5569,5569,5569,5569,5569,5569,5569,5569,5569,5570,5570,5570,5571,5571,5571,5572,5572,5572,5572,5572,5572,5572,5572,5572,5572,5573,5573,5574,5574,5575,5575,5575,5575,5575,5575,5575
