series,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,33600.010401260224,33595.56693943585,33590.03846589224,33583.160587820144,33574.60478575617,33563.96302446026,33550.7287608668,33534.27355525716,33513.81834464777,33488.39827917475,33456.8198631669,33417.609001660734,33368.94846320484,33308.60328489688,33233.83285084577,33141.28890038866,33026.89975825231,32885.74289519099,32711.91088705577,32498.380396558274,32236.90046047982,31917.925565701116,31530.630861381913,31063.060719084257,30502.475532060365,29835.97045103366,29051.435560992017,28138.898137961583,27092.22103141011,25911.018779555237,24602.502992972943,23182.81885137307,21677.358447529186,20119.623699153424,18548.51474556093,17004.388497168507,15524.68690592793,14140.141237640237,12872.381016590622,11733.290306697125,10725.906915915246,9846.299851981783,9085.785376181551,8432.986479870002,7875.46746966277,7400.873596046789,6997.628442461526,6655.292741472216,6364.692132090244,6117.902836637022,5908.159839857421,5729.73017703983,5577.777180913157,5448.230002106596,5337.665357793701,5243.204071119995,5162.422526023429,5093.277936509551,5034.045816855816,4983.267921945943,4939.709012095214,4902.3209721884,4870.213018631144,4842.626927341955,4818.916396861475,4798.529817246057,4780.995847349965,4765.9113123681645,4752.931023025449,4741.759190644815,4732.142171397078,4723.862320860783,4716.732778751778
I,10.0,12.443461824375333,15.48324300310388,19.26447247458332,23.967380043641764,29.81566533082676,37.08679585812419,46.124642296136784,57.35492444630175,71.30400503006793,88.62162003190114,110.10815753168504,136.74706448124402,169.74282989295628,210.5646979654749,260.99570882948854,323.1857091999433,399.7054304212729,493.59635247223827,608.4075724752852,748.2059940586826,917.5396900256505,1121.326456339723,1364.631307369434,1652.2902329194385,1988.3372673622566,2375.2047039314475,2812.7011861755927,3296.8380554919463,3818.6726962484313,4363.453943581041,4910.447296464704,5433.818241015649,5904.789341188281,6294.940426543119,6580.078589626918,6743.764462942112,6779.557238641384,6691.406011962723,6492.215519463676,6201.155806352819,5840.531709015718,5432.939843012805,4999.150770721793,4556.8396267846665,4120.065575043714,3699.297613620234,3301.773791885497,2932.01964289037,2592.4050097655177,2283.6670045920155,2005.3632664912031,1756.243609319635,1534.5420662622691,1338.1982973227093,1165.0199245318734,1012.7974847220651,879.3825772915297,762.7381814869585,660.9684400994395,572.3336619302802,495.2549694510379,428.31192911808614,370.2356345836586,319.899038147407,276.30581013334375,238.57861800276714,205.94742938401404,177.73823284992753,153.36241866057563,132.30695417619768,114.12541387725295,98.42987321080815
R,0.0,2.0,4.488692364875067,7.585340965495844,11.438235460412509,16.231711469140862,22.194844535306213,29.61220370693105,38.83713216615841,50.30811705541876,64.56891806143236,82.29324206781259,104.3148735741496,131.6642864703984,165.61285244898966,207.72579204208463,259.92493380798237,324.562075647971,404.50316173222564,503.2224322266733,624.9039467217303,774.5451455334669,958.053083538597,1182.3183748065417,1455.2446362804285,1785.702682864316,2183.3701363367672,2658.4110771230567,3220.9513143581753,3880.3189254565646,4644.05346470625,5516.744253422459,6498.8337127154,7585.597360918529,8766.555229156185,10025.543314464809,11341.559032390192,12690.311924978614,14046.22337270689,15384.504575099436,16682.947678992172,17923.178840262735,19091.28518206588,20177.87315066844,21177.7033048128,22089.07123016973,22913.084345178475,23652.943867902522,24313.298626279622,24899.702554857697,25418.1835568108,25874.9169577292,26275.989611027442,26627.238332891367,26934.146746143822,27201.786405608364,27434.79039051474,27637.349887459153,27813.22640291746,27965.77403921485,28097.96772723474,28212.434459620796,28311.485453511003,28397.14783933462,28471.19496625135,28535.174773880834,28590.435935907502,28638.151659508057,28679.34114538486,28714.888791954847,28745.561275686963,28772.022666522204,28794.847749297653
G,10.0,14.443461824375333,19.971935367978947,26.849813440079167,35.405615504054275,46.04737679996762,59.28164039343041,75.73684600306784,96.19205661246016,121.61212208548669,153.1905380933335,192.4013995994976,241.06193805539363,301.4071163633547,376.1775504144646,468.7215008715732,583.1106430079257,724.267506069244,898.099514204464,1111.6300047019586,1373.109940780413,1692.0848355591174,2079.37953987832,2546.9496821759753,3107.534869199867,3774.0399502265727,4558.574840268215,5471.11226329865,6517.789369850122,7698.991621704996,9007.507408287292,10427.191549887164,11932.65195373105,13490.386702106813,15061.495655699307,16605.62190409173,18085.323495332308,19469.869163620002,20737.629384669617,21876.720094563116,22884.103485344993,23763.710549278454,24524.225025078686,25177.023921390235,25734.542931597465,26209.136805213446,26612.38195879871,26954.717659788017,27245.31826916999,27492.107564623213,27701.850561402814,27880.280224220405,28032.233220347076,28161.78039915364,28272.345043466532,28366.806330140236,28447.587875236804,28516.732464750683,28575.964584404417,28626.74247931429,28670.30138916502,28707.689429071834,28739.79738262909,28767.383473918282,28791.09400439876,28811.480584014178,28829.01455391027,28844.09908889207,28857.079378234786,28868.25121061542,28877.868229863157,28886.148080399453,28893.27762250846
