state,SD 1W,SIR 1W,SD 2W,SIR 2W,SD 3W,SIR 3W,SD 4W,SIR 4W
AZ-Maricopa,304.20133161487723,2132.815812004237,804.0579380003603,3223.6349139531117,1377.2177370305326,3861.509558799792,1995.1776516643624,4084.807847598317
CA-Los Angeles,2749.7196146370156,2262.856012871434,4532.026043199775,1828.1676711693196,6557.059442549404,2325.7930518041153,8843.70588054382,4568.873531002081
CT-Fairfield,943.4133072314903,2325.519331563465,942.0926437277374,2993.314435815426,1038.6514304184507,3677.970710227655,1194.1928199677268,4324.236749930365
CT-Hartford,82.22237060980508,626.0131794403978,118.43208779040428,1163.0872993962107,201.21270684191893,1741.2050163068027,507.6842047434299,2443.0085018377636
CT-New Haven,45.31707484561034,858.5841426977051,85.98006632790641,1492.3646963814213,84.2083885376187,2094.749065299462,142.47792282344227,2679.171418982183
DC-District of Columbia,153.43321661108428,435.77673483026103,441.8240569832936,982.7898227744299,820.0130820310976,1625.3673383625478,1141.2193888819133,2191.934225663554
FL-Broward,77.80236079728562,437.9171321409614,76.31290208324579,334.7089891461784,104.37545448390645,388.2398464918028,133.42877998655894,547.2724540687149
FL-Miami-Dade,143.2455214913174,1452.8352314984527,193.7815632254883,2270.2955188112387,290.9356187540738,3006.826881378793,612.1822911757639,3802.274551663306
IL-Cook,3350.0672444096126,7002.611400358498,7392.8670145837295,13225.931755380789,11582.345941393587,19394.78197265876,15661.596225113506,25180.70193362332
IL-Lake,273.0339322562298,454.27544064256546,670.8541379662341,1050.2003712759356,1137.0655134783574,1700.4281062667337,1649.7384725654754,2374.1579068169135
IN-Marion,215.80646308999613,816.0166774631741,649.9263530796252,1535.963712341152,1116.5676405685444,2257.905305792312,1495.914059426369,2855.6602035000747
LA-Jefferson,172.2317506252977,304.8914948770614,164.22767151251145,464.25256918283463,138.5087488011353,641.4393016113954,177.5481322485413,813.8001688852933
