series,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,38318.0753261812,38314.86447282922,38310.628889327054,38305.04733946742,38297.70212328605,38288.053165154706,38275.40731915317,38258.883596671236,38237.37642782498,38209.521285182986,38173.6700962964,38127.88754527495,38069.98257640133,37997.590103813855,37908.31322939813,37799.92382371297,37670.599864177566,37519.157624683015,37345.226351305275,37149.32149979467,36932.799500337016,36697.71047464696,36446.58965457252,36182.23458869115,35907.505699669266,35625.17105907856,35337.800675910694,35047.705323731796,34756.91025905739,34467.15348840126,34179.89963952921,33896.36260199905,33617.532153691915,33344.201465480095,33076.9936135707,32816.38608160347,32562.732790011392
I,8.0,10.570853351981555,13.960768585987296,18.425456958745546,24.29663658341564,32.00186378808436,42.087560686573525,55.244278313583045,72.33190489475044,94.40049514516575,122.69964442013415,158.66622388797992,203.87789485055993,259.96013584999014,328.4401993977121,410.5543891310599,507.03399753597927,617.9135172276494,742.4117092271761,878.9236239996059,1025.1317335372914,1178.2102205443634,1335.074222975259,1492.6233510186053,1647.9423719590043,1798.4416227929912,1941.9366761374188,2076.6770942253265,2201.3379913617064,2314.987722708901,2417.0425537642363,2507.2161869932615,2585.4693403409365,2651.962481325482,2707.013334728836,2751.059799917758,2784.628307516416
IH,0.32,0.42133888795259317,0.5562654289426936,0.7345911183630068,0.9696515503334432,1.2789386190000602,1.6850939809267849,2.217144771596468,2.9119054624917355,3.815430137639999,4.984305578335527,6.4864357284442065,8.400799528945774,10.8155148008225,13.823506191968871,17.51529155434571,21.968988591126276,27.238587630401494,33.34256625118144,40.25552644840076,47.90522709819403,56.17608947038983,64.91847893569542,73.96161411562667,83.12739568342053,92.24281311883838,101.14949023385076,109.70989472446587,117.81045479643007,125.3622086490291,132.29971770764843,138.5789092409916,144.1743742177474,149.07649472141102,153.28864361220184,156.8245980123469,159.70623689103434
IN,0.32,0.6111905800232165,0.9789995700220326,1.4492915329307272,2.0558309099024314,2.8426110729745817,3.866766948773019,5.202146523174874,6.943571330821606,9.211721705960397,12.158415388841197,15.97178586817996,20.880503927275246,27.155759699523426,35.109347364859964,45.086080549065244,57.44918164666667,72.55842404378916,90.74257063561056,112.2695364196531,137.31891817553554,165.96144256553794,198.1484360784893,233.71221277022457,272.37616777534134,313.77198950024325,357.46093871676476,402.9563985473036,449.7455444473123,497.30872574968754,545.1358098510381,592.7392417191621,639.6639087257441,685.4941004941602,729.8579515198555,772.4297841317266,812.9307572108522
D,0.01,0.06866111204740681,0.14589926116027196,0.2478716007081037,0.38253388790598564,0.5602865074092727,0.7947363875058923,1.1036410338357576,1.5100790896855782,2.0438778790814647,2.7433071753725673,3.6570100129014897,4.846077303697016,6.3860780613697985,8.368734703811784,10.902804221358995,14.113636972647969,18.140903539248782,23.13417179237407,29.246396838651066,36.62587792464164,45.40767134484048,55.7056459661145,67.6062402373459,81.16458565248291,96.40316525371496,113.31274649100304,131.85506392895928,151.96664026377522,173.5631786674294,196.54407419265155,220.7967259560536,246.20045383853244,272.6299198396326,299.9580228411555,328.058280024063,356.8067341359124
R,0.0,0.18880941997678347,0.4545040080335261,0.8207755030356703,1.3185499635952913,1.988461039026488,2.883849024251455,4.074518867775933,5.651437578470757,7.732516130367853,10.469557322113682,14.056325408748048,18.737474169394062,24.817733955641167,32.67030912471549,42.74293701240313,55.559657257216955,71.71626905709678,91.86795696958211,116.70874268021734,146.9440691085195,183.25942760910578,226.28888765312385,276.58731934824664,334.6091054416874,400.69467643685596,475.06479869147324,557.8215510233565,648.9544362545938,748.3500020049019,855.803531136422,971.0316602726916,1093.6850953663359,1223.360864320431,1359.6137599084605,1501.9667824918438,1649.920500415602
G,8.0,11.210853351981555,15.446436854145823,21.027986713783058,28.373202895152794,38.02216102649476,50.66800702803067,67.19172950996608,88.69889835622011,116.55404099821546,152.4052298847971,198.1877809062536,256.092749779872,328.48522236734703,417.7620967830682,526.1515024682329,655.4754620036371,806.9177014981856,980.8489748759241,1176.753826386528,1393.2758258441822,1628.3648515342377,1879.4856716086824,2143.8407374900494,2418.569626511937,2700.904267102644,2988.274650270511,3278.3700024494124,3569.165067123818,3858.9218377799493,4146.175686651996,4429.71272418216,4708.543172489296,4981.873860701116,5249.081712610509,5509.6892445777385,5763.342536169817
H,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013,18973.174258391013
beta,8.953018109656018,8.953018109655979,8.938786666014492,8.920082379909747,8.895553534694198,8.863478862653574,8.821694182260758,8.767524371312579,8.697737835843663,8.608551140383344,8.495723303708072,8.354787996356505,8.181468610366895,7.972293113173888,7.725361920601301,7.441127286046246,7.122952284582157,6.777196422392891,6.412679986633823,6.039596828959543,5.668167441606694,5.307415840336335,4.96436415690997,4.643741064298201,4.348118579359037,4.078303800233195,3.833816918604288,3.613340226787995,3.4150820015527765,3.2370422472104097,3.0771907075311535,2.9335762693150027,2.804387245772573,2.6879788051893008,2.582879735696388,2.4877870623656406,2.4015541597561376
