series,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,5.0,8.633774135621874,14.598092768397724,24.379565121343184,40.39945107696296,66.61528864903138,109.36088139742938,178.63305935349496,289.86161539213987,465.89894145106734,738.470767554023,1147.3116361407915,1734.5751109473063,2533.659954855158,3556.454549331489,4787.110488301573,6202.131441394222,7798.654263810329,9463.95898412367,11085.660621026107,12699.413477061753,14282.10468526575,15817.79042170459,17296.054284292728,18771.007287303146,20269.471839768696,21666.396858652683,22865.42802226887,23995.840404611088,25060.04890447554,26087.1825627256,27137.127533984225,28038.009474208757,28897.45468428797,29627.612673510757,30443.724598728128,31129.783547595176,31804.1161534658,32472.45609825711,33132.10251311789,33654.228738869155,34157.243042418864,34637.33126717056,35122.839657021366,35577.3918393231,36003.06197325401,36401.78359608788,36775.35757781087,37111.16092533752,37403.04366505389,37725.53256134535,38033.63711475882,38317.824728623025,38574.550974395606,38801.04031271348,39002.88766861967,39213.98397545159,39433.27127600883,39630.33469820703,39811.57358256794,39999.1907227885,40143.033573372384,40277.44424971736,40403.23107517669,40525.667684202825,40651.77960419129,40777.53582071442,40895.742081519624,41007.36365542492,41111.34601670466,41209.590241043,41301.981698444826,41390.912633294494,41478.60396885941,41563.68509126724,41641.341994852264,41716.1592871303,41786.931465034104,41842.0485445757,41898.4528226751,41955.122979260486,42008.51531224823,42058.822785537326,42106.2266466199,42150.89717456624,42192.99437670561,42229.57642742527,42261.6885373843,42291.888239621156,42328.47305209381,42367.35765308791,42399.35866659762,42427.185875228526,42453.419473754,42478.151583469255,42501.46890768604,42523.45306026742,42544.18087321388,42566.19791842754,42589.49001959979,42611.575599999596,42632.51775331316,42652.376215100325,42671.20754723962,42689.0653116991,42706.00023430063,42722.06035909888,42737.04537282384,42747.85645938538,42758.051771312836,42767.66651587287,42778.55766275,42790.97834047266,42802.75545171251,42813.92251609897,42824.51129011542,42834.551861552805,42844.072738736126,42853.1009348289,42861.66204750165,42869.78033423246,42877.478783490835,42884.779182040715,42891.702178583815,42898.26734395105,42904.49322803718,42910.39741366201,42915.99656753044,42921.30648845356,42926.34215298309,42931.11775860276,42935.6467646117,42939.94193082692,42944.015354224786,42948.65774123913,42953.74951230994,42959.28511853378,42965.269152460685,42971.71677277393,42978.65432724877,42986.12025554612,42994.16635827445,43002.859531380396,43012.28408622874,43021.45514484603,43024.78073755667,43028.11735177388,43031.47066870313,43034.88824939655,43051.851999933875,43057.161763136035,43062.71719638489,43084.467696784195,43101.47740535607,43115.39662527044,43144.619626526466,43184.83257995208,43227.091799289745,43270.04089913439,43327.67916840044,43393.86820368325,43460.86679400466,43566.180329811024,43671.43404750619,43788.64984794347,43948.20288119335,44114.27876869943,44343.901642133285,44567.95123475409,44814.254769667445,45087.0119988586,45503.906382538844,45860.52727474817,46363.87639272668,47095.718035489226,47883.790877875064,48920.70632258137
G_low,5.0,7.932658835239202,12.330174000117658,18.9144032257093,28.763800748129746,43.488979567701804,65.43046968503,98.05653635861327,146.49579360084698,218.301635491586,323.91488128645597,477.9017073527831,699.6603317612797,1013.6034952241787,1448.0010634697974,2031.0491859822723,2786.36190820579,3726.747305391659,4848.968325840255,6133.6602427527305,7549.325968108114,9058.576455012757,10623.984278630904,12212.033671458914,13794.998540554496,15351.29913428601,16864.999299506697,18324.941294626595,19715.17657454101,21039.517213934145,22295.412398751334,23494.50960259325,24627.5659618979,25689.701392982613,26668.606820553658,27596.22529354946,28473.934491221586,29281.02996764509,30031.73924995784,30740.532627451325,31406.218877644988,32031.39870255302,32618.03400058031,33170.0524444268,33688.12011098599,34169.68549893558,34616.930040798514,35038.695693030764,35420.22788915582,35775.77579736085,36119.59278586155,36458.65796942681,36758.20084636038,37051.24578122251,37327.38882156101,37587.66129596913,37823.56049553363,38051.77334947335,38267.87010786645,38469.00466795552,38658.914614195935,38826.09723923824,38986.67339547705,39142.22052002293,39295.80443909756,39442.20093402786,39585.2560559074,39709.88637536632,39833.27187859446,39950.015318573096,40060.48780610281,40160.35886911709,40252.38175782559,40339.24649122509,40422.659545882525,40497.62874090694,40564.77668379986,40628.28263117854,40688.34862596965,40745.16505819651,40796.64074817697,40844.76821116402,40893.411737208706,40943.37381344911,40986.437871721835,41027.18686030088,41065.74716620798,41102.2380830039,41136.772227905385,41169.45593257935,41200.38960943407,41229.66809508894,41257.3809725774,41283.61287372067,41308.44376300323,41331.949204182114,41354.20061077158,41375.26548146175,41395.65163642534,41415.06726388168,41433.48117729142,41450.94546802692,41467.50947817848,41483.219949606006,41495.80794260634,41508.04087170434,41520.918278383426,41533.11161196174,41544.488800446656,41553.17206008215,41561.38190668644,41569.144291238874,41576.48372743943,41583.42337284885,41589.98510528926,41596.18959479828,41602.0563714097,41608.08953842143,41614.528762275746,41620.61070136704,41626.35522431335,41631.78109007648,41636.906010444676,41641.746708943036,41646.31897638147,41650.637723237276,41654.717029057196,41658.5701890527,41662.20975805155,41665.64759195892,41668.89488687212,41671.96221598426,41674.8595644043,41677.59636201303,41680.456994967535,41683.55873286542,41686.91603041355,41690.546229897634,41694.46992561105,41698.71139452475,41703.29910715414,41708.266335306755,41713.65187681775,41722.25463903615,41734.012337040804,41739.68394711896,41759.35540191437,41782.04426569116,41793.43237312134,41806.1032853938,41820.250625277105,41836.104424752906,41853.93880944443,41877.55958061949,41902.48469350346,41932.024638112925,41959.760817850336,42009.96373926918,42062.57367893624,42098.93143048265,42129.77105009513,42164.08669191389,42210.14084181662,42260.874225634005,42292.135017724606,42318.59590564497,42424.21677223765,42507.300858435374,42544.42503377685,42550.216741035605,42624.84687835031,42668.97603031121,42707.10485938101,42761.41951721547,42773.08420403887,42817.013362708014,42986.323933945634
D_high,0.01,0.01,0.023588896069118365,0.050118473743029274,0.09324442155102822,0.16108291114226458,0.2704669902039485,0.45104676678803257,0.7377641534134314,1.2103838301216316,1.98066407359726,3.2599981764977377,5.241655474973369,8.296160377579298,12.927424978416873,19.72769055049251,29.34717687782836,42.40786142682886,59.416764464468805,80.70536309556854,106.40812114072362,136.47489933279508,170.7035319351678,208.77951195152207,250.31416620957907,294.8770848335349,342.02154757598396,392.4764301107734,444.74366061013916,495.97483422525045,550.5881531032644,604.589046270373,659.6622491202658,712.4792881769546,768.2485005352419,822.4381450822693,878.8330270727344,932.5778435058758,983.8095878389419,1034.8888384834129,1085.537762069723,1136.0673810039073,1184.5624863788914,1230.6555816640798,1275.4335395149542,1321.2425592482932,1363.0808766295056,1404.2142331805098,1443.9426998102567,1482.8891807270065,1520.4870567758048,1556.3885151192724,1590.6331284868859,1623.2649242358082,1654.331392129718,1683.8826229213907,1711.9705642041622,1737.8979109162835,1762.773506914405,1787.5363711196928,1810.9590008224711,1833.099721719239,1854.142917222485,1873.7653562056325,1892.4829679521888,1910.7009821150864,1927.7238805676363,1943.5157741458224,1959.7017524652588,1974.8189794103291,1988.9741329501956,2003.233342696325,2016.2027684191185,2028.465078325599,2040.056084295638,2051.0101113564046,2061.273377623267,2070.7268010411885,2079.6859701563644,2088.5590455555703,2096.047071773616,2103.5621035026,2110.6555980538815,2117.350354952379,2124.6364537382588,2130.9391366826667,2137.321228485676,2143.3642447428397,2148.6994910502726,2154.6338273260117,2159.416336652779,2164.1978966691086,2168.8169724521235,2173.186319512226,2177.3191511231603,2181.3072043806847,2185.566787276299,2189.087847273,2192.4288214042263,2195.61803262445,2198.554746565852,2201.5596677244307,2204.516522659287,2207.3178350335224,2209.9716780930266,2212.4857175012426,2214.867230697084,2217.0800921863433,2219.0690299318926,2220.7557000839124,2222.266358628525,2223.690590447927,2225.0333086228834,2226.299150485635,2227.4924926952763,2228.6174655348946,2229.6779664652536,2230.6776729689122,2231.731899879965,2232.8971367815093,2234.000813157079,2235.046165103083,2236.036260285357,2236.8562300060025,2237.547141362559,2238.199425516365,2238.815235827019,2239.396606287371,2240.0395554737142,2240.6562718389027,2241.239657549777,2241.791509244899,2242.313527217588,2242.8073205294936,2243.4558691870648,2243.7772358560005,2243.9518602027924,2244.0607375256423,2244.140342510922,2244.207227028306,2244.252167068281,2244.278137289941,2244.304230754462,2244.334119184066,2244.4091428801003,2244.4927208601607,2244.660655207544,2244.8231280627733,2244.994013986249,2245.169715964633,2245.351089629153,2245.5390752582216,2245.7347134316233,2245.9391629843576,2246.2501995006246,2246.6477790514086,2247.0924308860476,2247.5896646858796,2248.1455943259693,2248.767004725208,2249.461421634032,2250.2216820393996,2250.7735315362884,2251.3809502925064,2252.787447056685,2254.353463405523,2256.891259491554,2261.5822306189934,2264.6839992031314,2270.278538276897,2274.8420676804435,2282.960439427514,2290.7926454772855,2300.8345206742956,2313.1799761914435,2330.01166482087,2345.524490223976
D_low,0.01,0.01,0.015106291335096413,0.02724882428537082,0.05013771999054592,0.08814243008271691,0.15132937494700527,0.2540973685901293,0.4171224772317803,0.6533529807083115,1.0264746053586808,1.5801179535140406,2.417084277780937,3.661930821928393,5.549432450506699,8.311078943653712,12.317015707619163,17.998851592855033,25.919692571043733,36.59048592416711,50.328014476753175,67.79136595690025,89.35072724125118,115.23025335656419,145.18699210627722,178.44718345655454,216.27497802246273,258.87108806420383,304.89982745079925,352.47838081645136,403.56554208028615,456.70950752381583,511.45556329161843,567.3693516143553,621.9516799698963,676.5087438090471,731.0749321727582,787.4495931491981,844.76948695092,899.1697243839544,953.494514335319,1004.4346168524759,1054.173709696262,1102.7093087498952,1149.9688299092568,1196.4506775845402,1240.8941774234713,1283.9797649003976,1325.687820552968,1365.6178814613284,1404.9383566975662,1442.4836175897942,1478.731793736183,1515.097201029852,1548.8810069804933,1579.867531812751,1609.6003116859533,1638.1102958212218,1665.8287412609327,1692.709496149836,1718.9341993562887,1743.691607727364,1766.4654329029825,1788.4206271913533,1807.6572490889216,1826.4825212374897,1845.3383640860827,1863.103210634631,1880.6748186635584,1896.816849306781,1912.6033360585143,1926.7499070822416,1939.8782720947636,1953.1049252478658,1964.761068646516,1975.6664953742063,1986.4815761824145,1996.5081654721002,2004.9566450940056,2012.945823900622,2020.9640179725461,2028.9054680087793,2036.4600796983907,2043.5055979919812,2050.2371031140506,2056.6104231550353,2062.346021983083,2067.6698765251112,2073.1488424062713,2078.3345192061415,2083.235762584273,2087.8677590714337,2092.1960506045016,2095.7934221885703,2099.6578966250922,2103.6214657390574,2107.3811343659368,2110.763788473456,2113.8761391321636,2116.8158928949865,2118.881073057574,2120.7715761371396,2122.549203942057,2124.2206426450352,2125.7921886204153,2127.269770427833,2128.6589696452033,2130.1649212290854,2131.85313357422,2133.449856517709,2134.9600110358215,2136.3882573895635,2137.7390085095067,2139.0164427402565,2140.2245159699146,2141.3669731695327,2142.447359367093,2143.469030080032,2144.435161229732,2145.3487585607863,2146.2126665871783,2147.0295770868165,2147.8020371651764,2148.532456908074,2149.223116642875,2149.8761738267253,2150.493669579664,2151.077534879784,2151.629596436882,2152.1515822603856,2152.6451269366394,2153.1117766300044,2153.552993821576,2153.970161798703,2154.045784365087,2154.111065963612,2154.1699943973395,2154.224890877122,2154.277190814921,2154.3278599871082,2154.377618654632,2154.4270648825477,2154.4767454195353,2154.5271999332554,2154.642331386961,2155.1249095138432,2155.5968366054226,2156.061605398046,2156.5226260308805,2156.983292890807,2157.4470546746293,2157.917489320603,2158.398386236685,2158.893838912439,2159.011418731559,2159.083789552025,2159.163950707936,2159.253378588027,2159.7258812222635,2159.740576733008,2159.757246086621,2159.776166412135,2159.918428020394,2160.4926389953985,2161.822278241572,2163.4198429410544,2164.0367146661547,2164.8916244640654,2165.642906360534,2165.9558420016183,2167.4252851237197,2167.586244191702,2167.6329072783033,2167.6893305635444,2167.7579270704505,2168.971683709884,2170.2420140558206
G_high_100,5.0,9.11542718325519,16.281714849969504,28.745253609293442,50.37572611556177,87.77807489283612,152.04783042510152,261.32040499007485,443.8833607437027,740.508980800983,1202.6824757534089,1882.2733521983942,2812.586114185436,3991.45133787169,5380.553527445532,6930.947354952612,8685.006439932436,10495.606591515443,12310.795871183047,14093.075206475236,15817.25651520377,17467.585866635534,19035.14571219506,20609.500766281868,22093.192768847293,23481.914766867663,24778.20116629385,25985.835044562133,27109.32875003921,28153.56570868389,29123.556661405935,30024.276711125945,30860.55921557866,31637.029504166534,32358.066341045072,33027.78256541892,33650.018829794746,34228.34612607969,34766.07404907521,35266.26264569935,35731.736340687516,36165.09888920685,36568.74863582057,36944.89359448921,37295.56603211365,37622.63635734099,37927.82620049383,38212.72062929825,38478.779485624,38727.34785582404,38959.665705181294,39176.87671813721,39380.036392354734,39570.11943768547,39748.02653180544,39914.59048340797,40070.58185193829,40216.71407031222,40353.64811415785,40481.996758049194,40602.32845610017,40715.1708812461,40821.014154619465,40920.31379366248,41013.49340503274,41100.94714595881,41183.041975490916,41260.119715065,41332.49893594712,41400.47668944127,41464.33009421512,41524.31779371416,41608.275906673065,41694.38226512971,41775.46574909391,41851.82684038277,41923.747273822955,41991.491282515555,42055.306753634744,42115.42630168175,42172.06826556192,42225.43763534025,42275.72691405765,42323.116919554086,42367.777530843625,42409.868383218,42449.539515916855,42486.93197589285,42522.17838091562,42555.40344499822,42586.72446889122,42616.25179817158,42644.08925125359,42670.33451946608,42695.07954117306,42719.56000058996,42747.98069407766,42774.905267590664,42800.413358383776,42824.58027737866,42847.4772527396,42869.17165892168,42889.7272321319,42909.20427307636,42927.65983780514,42945.1479174094,42961.71960727234,42977.42326652754,42992.30466833293,43006.40714152728,43019.771704197854,43032.43718965224,43044.44036525453,43055.81604455567,43066.59719311952,43076.81502841999,43086.49911416038,43095.67744934358,43104.37655240055,43112.62154066548,43120.436205467486,43127.84308309212,43134.86352185014,43141.51774547638,43147.82491306802,43153.803175758534,43159.4697303122,43164.84086981241,43169.9320316071,43174.757842664665,43179.33216248475,43183.66812369981,43187.77817049538,43191.67409496954,43195.86243873302,43200.35301860512,43205.14962126139,43210.260338638705,43215.69778601365,43221.47939173764,43227.62777520578,43234.171231635075,43241.14434520641,43248.58875623031,43256.554113436345,43265.09924954478,43274.29362733555,43284.21911498735,43294.3452409447,43304.675630737045,43315.213957259824,43325.96394060205,43336.92934783097,43348.11399273189,43359.52173550137,43371.15648239191,43399.16205869034,43449.56050030595,43527.74355919199,43615.25253956088,43713.132687475234,43822.529459538884,43944.69386717711,44080.986963122086,44232.88310026745,44401.971524942186,44589.955797881295,44798.65047147081,45097.44479793494,45543.6460935611,46044.92756057389,46605.811517360904,47230.60053675512,47923.210294889555,48686.98514674248,49524.505032636036,50479.29794109445
G_low_100,5.0,7.896973612801368,12.22176295328583,18.675649851960756,28.30137059365265,42.645730497151575,63.99366401116329,95.64588395902788,142.5019199495012,211.58792607922325,312.8591741056819,460.07151124871706,671.544467398021,970.3935817310373,1383.5649086588942,1938.958060514633,2660.4476072468024,3561.8688746018115,4642.35200281937,5885.376347405456,7262.049323564748,8736.861594910486,10273.417211784943,11838.516934407748,13404.260880076012,14948.61269746383,16455.048297001733,17911.78682618527,19310.91231308066,20647.544417946086,21919.123252007063,23124.823127582164,24265.08678644864,25341.262906387205,26346.780641133617,27253.01994122302,28106.881610203378,28910.95254575878,29667.834181897153,30380.097819323906,31050.253093766216,31680.726355340354,32273.846493791672,32831.836327936966,33356.80812402303,33850.7621491097,34315.58742676423,34753.06406228244,35164.86665779418,35552.568454979424,35917.64593310295,36261.48365905793,36585.379238969144,36890.548261370175,37178.12915289104,37448.689126186204,37694.56393102113,37926.26690516318,38133.68472823705,38319.03591295564,38493.62135284326,38658.10524888312,38813.10740571443,38959.20645223481,39096.94281780521,39226.82148140506,39349.31451037666,39464.863404565745,39573.88126076158,39676.75477140519,39773.84607059559,39865.494439501505,39952.01788239437,40033.714583665605,40110.864255383996,40183.72938419,40252.55638561413,40317.57667324663,40379.007649573745,40437.05362473057,40491.9066688995,40543.747403604095,40592.74573670837,40639.06154552805,40682.845312091056,40724.23871424658,40763.37517601305,40800.38038027296,40835.372746664776,40868.463877286325,40899.75897260935,40929.35721980844,40957.35215552829,40983.83200494966,41008.879998864824,41032.57467033689,41054.99013239252,41076.19633808353,41096.2593241486,41115.241439411,41133.201558960696,41150.195285089496,41166.27513587452,41181.490722238115,41195.88891425073,41209.51399738686,41222.407819392014,41234.60992837123,41246.157702665514,41257.0864730424,41267.429637689565,41277.21877046616,41286.48372283502,41295.25271986966,41303.5524507031,41311.40815376073,41318.84369709632,41325.88165412918,41332.54337506049,41338.84905422894,41344.817793648435,41350.467662955445,41355.81575597839,41360.87824412843,41365.67042679813,41370.206778942826,41374.50099600852,41378.56603636022,41382.4141613548,41386.05697319388,41389.50545068398,41392.76998302324,41395.86040172713,41398.786010798656,41402.415164792576,41406.76728230797,41411.88200019176,41417.818530564065,41424.66007464562,41432.519274401406,41441.545220772954,41451.93267625392,41460.20051423613,41467.84229740984,41476.60710300897,41486.71236555344,41498.430088650675,41512.102175246946,41527.1285946578,41543.62343968346,41561.72814816094,41581.59735878778,41603.40005673947,41627.320800872985,41653.56103450913,41682.34048088328,41700.91476448588,41713.5761743372,41728.39451268764,41745.86018554034,41766.594149795725,41791.38702029467,41821.25100651637,41857.48917736119,41901.7881931222,41956.342880510856,42024.024055124464,42108.60504969276,42151.83538439912,42154.83994948823,42157.918801749656,42161.07892924679,42164.32784021379,42167.67361839693,42171.1249846389,42174.691365486695,42178.38296971288
D_high_100,0.01,0.01,0.024119212704494818,0.051308025307524735,0.09515292676690865,0.17536674542296266,0.3167045633717741,0.5606509858178828,0.9799550151260041,1.696270727198019,2.9079595985727456,4.9256960819095745,8.20680302666141,13.366635976317962,21.139445186106126,32.280786833855714,47.44384689453375,67.08195902859701,91.40780160326997,120.40498447230894,153.87021558147575,191.4651915670944,232.76534636309702,277.2998932113185,324.5820721350837,374.130621435549,425.4841826118892,478.21035340459196,531.910846145033,586.2238947155539,640.8247681114548,695.4250174232526,749.7709062500513,803.6413435447105,856.845542540631,909.2205607150281,960.6288265415541,1010.95572367539,1060.107278237997,1108.0079771673945,1154.5987331217395,1199.8350027000974,1243.6850587216675,1286.1284132266364,1327.154385182685,1366.7608052061462,1404.9528486493186,1441.7419879568665,1477.1450551024504,1511.1834050707378,1543.8821716687778,1575.2696073754762,1606.679893566566,1638.1795132549612,1668.184091106919,1696.7426972278372,1723.9057490871626,1751.0369540200668,1778.8968103522984,1805.388486011579,1830.563380613473,1854.4730151124552,1877.1686876518204,1898.7011847343942,1919.1205410507237,1938.4758419700634,1956.8150633195821,1974.1849436480475,1990.630884692546,2006.1968762422446,2020.9254420241289,2034.8576036247873,2048.032859812557,2060.4891789386957,2072.2630023776464,2083.389257217804,2093.9013766381754,2103.8313266055966,2113.209637704033,2122.06544106431,2130.426507501307,2138.319289088194,2145.768962505345,2152.799473596675,2159.433582649793,2165.692909989694,2171.597981539998,2177.168274061913,2182.4222598301126,2187.377450547405,2192.050440337143,2196.45694768446,2200.6118562251804,2204.5292543051874,2208.2224732535824,2211.7041243305566,2214.986134325876,2218.0797797965884,2220.99571994328,2223.744028133172,2226.334222085813,2228.775292743269,2231.075731851696,2233.2435582852027,2235.2863431460446,2237.211233677626,2239.024976028549,2240.733936907208,2242.344124167188,2243.8612063641453,2245.290531324876,2246.6371437690914,2247.9058020239554,2249.1009938708207,2250.226951562799,2251.2876660509,2252.286900455458,2253.2282028184904,2254.114918171481,2254.9501999519134,2255.7370208006746,2256.4781827712245,2257.176326980223,2257.8339427280807,2258.4533761167004,2259.0368381905064,2259.586412625677,2260.1040629913878,2260.5916396057514,2261.0508860080827,2261.4834450680746,2261.890864751471,2262.2746035608593,2262.6360356692785,2262.6973690670725,2262.7395915541806,2262.7695909478703,2262.791772271537,2262.8089578823583,2262.8229614692796,2262.8349541623293,2262.845698135506,2262.8556957642777,2262.8652849828354,2262.8747003852395,2262.8841125396225,2262.8936534767276,2262.9034334432577,2262.9135521841313,2262.924106858192,2262.9351979587614,2262.946934150787,2262.9594366532556,2263.001630624952,2263.3915007679007,2263.78930451657,2264.195195475425,2264.6093253581103,2265.031846158934,2265.462911125041,2265.9643869238625,2266.534734915681,2267.1495241248467,2267.8158138366484,2268.5418617600303,2269.33737106045,2270.2137924492604,2271.184694600204,2275.3752388173543,2283.279077995189,2293.2034017941737,2304.4462781558077,2317.169457896678,2331.550822968818,2347.7849862597513,2366.083619200813,2386.675417714422
D_low_100,0.01,0.01,0.013847864972116848,0.023195807086126483,0.040738043033948276,0.07079727138050405,0.12024587878515815,0.19994475565904826,0.3269727876609728,0.5228921535121211,0.8145774237560992,1.2589289157217307,1.932735099907509,2.948372256537221,4.466720934636499,6.711133311774255,9.979113500806134,14.646375910159945,21.157572603576984,30.000937230644226,41.66987265276439,56.61969133502555,75.22894158208071,97.77193853578812,124.40480876476536,155.16391030152568,189.97372020956186,228.6608904501698,270.97155513242456,316.58964557007226,365.15465813499503,416.2779033150895,469.55671040454155,524.5863795463636,580.9698847031293,638.325462892582,695.5901051120888,750.456870778968,805.1561211461548,859.4553916451792,913.1483232138676,966.0539467013581,1018.0155968536366,1068.8995652141248,1118.5935813360372,1167.0051942258856,1214.060110890995,1259.7005361056754,1303.8835468373059,1344.7075752064743,1383.4203784359759,1420.7607727206023,1456.7386837723184,1491.369331550595,1524.6724284977104,1556.6714621278122,1587.393055240009,1616.866397226793,1645.1227402333684,1672.1949542605607,1698.1171356713326,1722.9242639419713,1746.6519018817132,1769.3359349203963,1791.0123454267555,1811.7170183662536,1831.031463174525,1848.6546825032417,1865.4290095728602,1881.3901994381658,1896.5730856879245,1911.0115286034566,1924.7383762862648,1937.785437056227,1950.1834616073004,1961.9621335751895,1973.1500673224284,1983.7748118822442,1993.8628601246828,2003.4396623180623,2012.529643356988,2021.1562230160162,2029.341838666554,2037.1079699646386,2044.4751650796936,2051.4630680899463,2057.8801989806966,2062.965809927948,2067.7700523356184,2072.3081203544507,2076.5944295815084,2080.5738996996324,2084.170951890665,2087.561825488109,2090.758136106095,2093.7708682565694,2096.610406911669,2099.2865678181097,2101.8086265695156,2104.1853464497894,2106.425005066528,2108.5354197983006,2110.523972083493,2112.3976305814667,2114.1629732391525,2115.826208297934,2117.3931942769304,2118.8694589695715,2120.260217490788,2121.570389412248,2122.8046150229125,2123.9672707518093,2125.062483789374,2126.0941459429896,2127.065926761553,2127.9812859629574,2128.843485197411,2129.6555991784585,2130.420526212488,2131.1409981564134,2131.819589832086,2132.4587279248767,2133.060699392747,2133.627659411021,2134.1616388769694,2134.664551497265,2135.138200480295,2135.5842848543207,2136.004405431474,2136.4000704366194,2136.7727008191923,2137.1236352652227,2137.4541349259025,2137.765387878221,2138.055078498154,2138.3433014692246,2138.6266917041344,2138.903333415797,2139.17240472969,2139.433912670067,2139.688500945473,2139.937317070773,2140.18192896432,2140.424284413835,2140.666709899016,2140.911948415459,2141.1632394461517,2141.4244484544874,2141.7002587640623,2141.996446232529,2142.318766242629,2142.6730991524187,2143.065587274122,2143.5027645432037,2143.9916825940595,2144.5400364225334,2145.1562923882375,2145.8498209641552,2146.6310363532752,2147.5115448403617,2147.9079892292184,2148.1597071506167,2148.3288822634545,2148.5190073347653,2148.737907722969,2148.989781679685,2149.2793896463945,2149.6121137821115,2149.9940187652755,2150.4319121033923,2150.9334015532436,2151.506946530828,2152.161899596045,2152.908533276182,2153.7580467147723,2154.722545998685,2155.814991656697
