series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11
S,4423928.426553483,4423928.426553483,4423512.763227624,4422898.980662265,4422185.407270229,4421416.607950176,4420612.89200704,4419783.594482655,4418933.057824514,4418063.332794375,4417175.403920248,4416269.750043291,4415346.604106591,4414406.076049089,4413448.212758488,4412473.028622719,4411480.522011232,4410470.684782257,4409443.508164642,4408398.986640416,4407337.1206502635,4406257.918559824,4405161.3981347,4404047.587673596,4402916.526895,4401768.267641242,4400602.874444118,4399420.424983352,4398221.010460384,4397004.735903712,4395771.720417585,4394522.097382542,4393256.014613962,4391973.634483021,4390675.134003167,4389360.704884307,4388030.55355621,4386684.901162158,4385323.983523518,4383948.051075712,4382557.368775862,4381152.215982351,4537494.270708918,4693768.735231753,4849974.832243719,5006108.124297723,5162161.981019895,5318128.247091951,5473997.508779505,5629759.156254536,5785401.337891386,5940910.852300008,6096272.998900201,6251471.395510979,6406487.765286899,6561301.692181997,6715890.342395472,6870228.148194398,7024286.449758275,7178033.090084319,7331431.957463631,7484442.469569825,7637018.992805443,7789110.1902604215,7940658.291502442,8091598.277512014,8241856.974488728,8391352.051107617,8539990.915243082,8687669.508381449,8751217.776823957,8738974.363876073,8725646.293620162,8711133.38792858,8695347.486016585,8678204.994318083,8659624.807715524,8639528.29651882,8617840.1373767,8594489.525668379,8569411.580989335,8542548.85329057,8513852.868013157,8483285.656079566,8450821.214704221,8416446.843898177,8380164.303872811,8341990.741430282,8301959.339291136,8260119.651128937,8216537.5964898085,8171295.103120781,8124489.398657362,8076231.968153595,8026647.207588524,7975870.8153510345,7924047.973064705,7871331.373477431,7817879.156286601,7763852.812743641,7709415.1169602275,7654728.136481611,7599951.36747751,7545240.031456825,7490743.56135985,7436604.295786019,7382956.391451439,7329924.956105677,7277625.397324116,7226162.976975238,7175632.556790152,7126118.517305436,7077694.830422128,7030425.264795367,6984363.703090361,6939554.550651273,6896033.216173656,6853826.646401535,6812953.898556673,6773426.736037838,6735250.234809743,6698423.389761533,6662939.712097965,6628787.810493359,6595951.950263012,6564412.586174518,6534146.865726673,6505129.100767493,6477331.206211764,6450723.105362367,6425273.101950218,6400948.219498742,6377714.509003727,6355537.326211991,6334381.579995548,6314211.953463784,6294993.715450853,6276692.144457089,6259272.71941973,6242701.270842377,6226944.103935177,6211968.100292718,6197740.80206825,6184230.481289037,6171406.196261557,6159237.836624599,6147696.158369645,6136752.80998628,6126380.350768499,6116552.262217719,6107242.953391242,6098427.760966367,6090082.944718468,6082185.679044788,6074714.041104153,6067646.996085859,6060964.380068286,6054646.880879385,6048676.01732661,6043034.117123106,6037704.293799701,6032670.422858348,6027917.117391842,6023429.703366738,6019194.194741156,6015197.2685664445,6011426.240201218,6007869.038747926,6004514.182805758,6001350.756618939,5998368.386686518,5995557.218888106,5992907.896169768,5990411.536825204,5988059.7133993795,5985844.432234732,5983758.113673974,5981793.572928151,5979944.001613988,5978202.949960538,5976564.309681751,5975022.29750857,5973571.439371771,5972206.555224597,5970922.744492548,5969715.372136242,5968580.05531213,5967512.650614932,5966509.241884975,5965566.128563087,5964679.814575395,5963846.997730121
E,6147.451668671481,4894.604816449918,4312.750704570802,4047.5973407264423,3936.272895300278,3902.8622310936494,3911.177262695016,3943.3792772415363,3990.257674872855,4046.770656027696,4109.970170522708,4178.014665839582,4249.683794790597,4324.128920339004,4400.737408393081,4479.053979077073,4558.732156757481,4639.50258853822,4721.151444861944,4803.505221320732,4886.419814941736,4969.772565893042,5053.456412379145,5137.375578631251,5221.4423881380835,5305.574908963669,5389.69521738814,5473.728122567259,5557.600235789298,5641.239297854674,5724.5737001979305,5807.532151743717,5890.043455652176,5972.03636915985,6053.439526461907,6134.181409602115,6214.190356076975,6293.394594645991,6371.722302913799,6449.101681792908,6525.461043103013,6600.728907415,6674.8341098801575,6801.426921593383,6970.58770736042,7178.0785874548355,7422.718286205128,7705.091215601819,8026.921100937624,8390.776466990106,8799.944172408337,9258.390980473214,9770.774420707377,10342.484421783143,10979.707112696604,11689.5070936973,12479.926958700986,13360.104158081649,14340.406023045625,15432.584211387368,16649.95010641728,18007.572857238112,19522.501800748218,21214.01494212124,23103.89496324574,25216.733836071595,27580.266484768083,30225.73299765971,33188.267552999896,36507.31039329375,40227.03675006906,44272.20446027862,48577.62679824961,53190.442159274084,58136.16481990085,63430.54204423338,69083.6233651327,75100.93479941494,81483.5698262596,88227.8803439823,95325.0375155053,102760.58145976708,110514.02372046863,118558.54589463567,126860.82886131585,135381.04111917692,144073.0086019397,152884.5808987149,161758.1999017534,170631.66685708705,179439.0932058197,188112.01023574936,196580.60322743803,204775.02823960807,212626.7645580621,220069.9535379812,227042.67525098598,233488.1178875234,239355.6009002418,244601.42085198968,249189.49817885604,253091.81287619338,256288.62677451852,258768.49899192151,260528.1088597562,261571.9068004569,261911.61812644103,261565.62750524396,260558.27299469698,258919.0782783781,256681.95026877074,253884.36686506734,250566.57662930424,246770.8287373334,242540.64799900504,237920.1662158532,232953.5178041344,227684.30456486516,222155.13180121605,216407.21570488688,210480.0600672261,204411.1989068808,198236.0005170707,191987.527685145,185696.44838184427,179390.99101211724,173096.93831822166,166837.65418625664,160634.1378899898,154505.10067608117,148467.06002264202,142534.44736343954,136719.7255425959,131033.51273326292,125484.71000627734,120080.63016236,114826.50993319655,109726.50914160983,104783.73940419729,100000.32662565325,95377.48874606547,90915.6191056384,86614.37032342597,82472.73594049289,78489.12833439231,74661.45210684818,70987.17254776294,67463.37902128485,64086.843272943646,60854.072757110676,57761.35915092024,54804.822265411916,51980.44959366506,49284.13175332433,46711.694090030964,44258.924710941625,41921.59921528615,39695.50238299033,37576.44707372235,35560.290578074026,33642.94865057205,31820.407441322666,30088.733529717254,28444.08225007898,26882.70448565455,25400.952094140073,23995.282115116977,22662.259897468448,21398.561273121533,20200.973892363974,19066.397825545337,17991.84552620157,16974.441241539378,16011.419947771321,15100.125879986224,14238.01071904771,13422.631491410102,12651.648231693787,11922.821452340482,11234.009459639447,10583.165550846088,9968.335122972025,9387.652720079104,8839.339042528898,8321.697938594227,7833.11339610329,7372.046549333464,6937.032714176454,6526.678462636407,6139.658745976402,5774.714074276697,5430.647758792035
I,0.0,791.6931646030871,1106.1444407908045,1220.192313823207,1254.5861827378164,1260.919672075225,1260.423263650019,1261.1957709824571,1265.8071413133996,1274.6157038078218,1287.1875069776295,1302.8820897417204,1321.0773804437804,1341.2423605275228,1362.948603534716,1385.8597329898014,1409.7149580235046,1434.31292602731,1459.4979382277866,1485.1488837602315,1511.1706319000507,1537.4874521005083,1564.038034615727,1590.7717452006495,1617.6458189141063,1644.6232632242188,1671.671294555245,1698.760175056247,1725.862349269977,1752.9518054167095,1780.0036049109697,1806.9935379350636,1833.8978735394062,1860.6931807042718,1887.3562027498704,1913.8637719268124,1940.1927543371266,1966.320017811757,1992.2224172171243,2017.8767930402041,2043.2599801277813,2068.348824220023,2093.12020448769,2117.5510607058272,2148.536828284199,2188.9440891959284,2239.9498530180617,2302.1093586712536,2375.831560807247,2461.584224309254,2559.9792549085746,2671.8076950932364,2798.055807148996,2939.9161376702828,3098.799528845906,3276.3505536618154,3474.4673874441523,3695.3265673025526,3941.4129223040477,4215.55495011293,4520.965968052067,4861.29143295296,5240.662884214442,5663.759007303649,6135.87433246895,6662.9960672810475,7251.889501357877,7910.192303887535,8646.51784236684,9470.567363293323,10393.250467065642,11426.812750547073,12568.923683177953,13809.787640141187,15149.588240582647,16591.721666899386,18140.256977955803,19798.93384670911,21570.711432932225,23457.508977828737,25460.010104776848,27577.488650424642,29807.64599879747,32146.4621254486,34588.06726501896,37124.64279241459,39746.360151683155,42441.36602252369,45195.820568846335,47993.9936583949,50818.421473374954,53650.12308462082,56468.87351533549,59253.52678725644,61982.37964826456,64633.56434192976,67185.45707858852,69617.08793310028,71908.53778862655,74041.30865941418,75998.65518188736,77765.86712942139,79330.49530961792,80682.51595135915,81814.431489428,82721.30833049437,83400.75458867157,83852.84280211748,84079.98421564572,84086.76230917641,83879.73387462438,83467.20612971358,82858.99816235545,82066.19449277842,81100.89779743645,79975.98693334835,78704.88540329755,77301.34437220708,75779.24333361638,74152.41057204691,72434.46470075536,70638.67779345035,68777.8599827074,66864.26486946807,64909.51467383333,62924.54374982081,60919.558875451476,58904.014602397496,56886.60189367511,54875.248280772605,52877.127821030736,50898.679220896185,48945.63060092356,47023.0295055182,45135.27689715989,43286.164015309914,41478.9111196812,39716.127953791285,37999.918659846626,36331.94852773695,34713.49215862613,33145.47242328244,31628.494611595022,30162.877758248593,28748.683983398092,27385.746160188206,26073.693993748566,24811.978511415073,23599.89494416037,22436.6039870759,21321.151444381543,20252.486283649687,19229.477141222535,18250.927334930235,17315.58845097862,16422.17257951655,15569.363278329012,14755.825346780888,13980.213492983698,13241.179976550204,12537.381307565789,11867.4840798146,11230.170013081157,10624.14027569191,10048.119154519318,9500.857135566286,8981.133454080242,8487.75816899057,8019.573812381064,7575.456660745722,7154.317670965192,6755.10312030659,6376.794986306535,6018.411099156027,5679.0050961701345,5357.666205095706,5053.518880383608,4765.722314122777,4493.4698410947985,4235.988255351228,3992.537053832187,3762.4076208242777,3544.9223654883644,3339.43382326321,3145.323730659423,2962.0020817898194,2788.906173927801,2625.4996484356084,2471.271532550827,2325.7352867541554,2188.427861756557,2058.9087685324885
A,0.0,461.15368761847526,744.8955647143734,933.6566449333117,1068.3776867852073,1170.3748095600795,1251.4129505313663,1318.4139452773643,1375.7091965896298,1426.1555605415908,1471.7148363620759,1513.7727578868266,1553.3262160131758,1591.1002056566308,1627.6248994260618,1663.2885974893618,1698.375198220595,1733.0912479006522,1767.5857201576848,1801.9645967497327,1836.3016703868682,1870.6465737288427,1905.0307588330618,1939.4719563661074,1973.9775046160228,2008.546837184156,2043.173343982236,2077.845765296047,2112.54923797382,2147.2660825248236,2181.976397364221,2216.658509627706,2251.289319436703,2285.844565133772,2320.2990300192296,2354.626705901275,2388.80092487398,2422.7944678252716,2456.579656000667,2490.128430321434,2523.41242193887,2556.403016595653,2589.0714146831538,2621.3886883723967,2657.355741055138,2699.5055326557667,2749.5948698590037,2808.9741152331017,2878.7931723051875,2960.123217397446,3054.034315439949,3161.6495071558693,3284.1862283536166,3422.9910506939805,3579.57126049021,3755.625510545757,3953.075098246282,4174.097050735334,4421.159991043562,4697.063644457909,5004.982783465036,5348.516380081591,5731.7427219345645,6159.281242173792,6636.361803380681,7168.9021519654425,7763.594210709515,8427.99978962141,9170.656152878635,10001.191662705563,10930.451406129096,11970.632270118842,13126.080236218875,14395.465029001878,15781.233144622223,17287.30243905624,18918.06326252905,20677.865561159368,22570.68685314203,24599.867097338552,26767.868344737028,29076.044928868883,31524.421451815397,34111.48111458976,36833.96973392601,39686.72240461461,42662.520646119105,45751.98813208902,48943.532755995606,52223.34183523356,55575.43572349417,58981.78305169289,62422.478361231486,65875.98018097697,69319.40481209054,72728.86841771343,76079.86765779738,79347.68723013705,82507.82140490167,85536.39604937022,88410.57775429761,91108.95746096046,93611.8973680238,95901.8317523586,97963.5145264511,99784.20872600564,101353.81552711492,102664.9426997341,103712.91450238232,104495.72682850821,105013.95287330546,105270.60567454605,105270.96459095401,105022.37313636813,104534.01562290046,103816.67982771751,102882.51243814228,101744.77340247003,100417.59457156023,98915.74720709716,97254.4220986909,95449.02520913312,93514.99098330956,91467.61473259273,89321.90485748857,87092.45510553302,84793.33658259397,82438.00884343544,80039.24907811165,77609.09817862873,75158.82230795415,72698.88849256055,70238.95271158697,67787.85895174708,65353.647729028795,62943.57263831948,60564.123573380595,58221.009153570994,55919.21728223787,53663.06690241174,51456.25507723034,49301.9013851198,47202.5905369239,45160.41357521343,43177.00774457674,41253.59499361968,39391.01901663846,37589.78072980632,35850.07208416847,34171.80813534065,32554.657311745086,30998.069846203325,29501.304357880035,28063.4525919118,26683.46234203659,25360.158596952602,24092.262963959456,22878.41143377178,21717.170558417616,20607.052120055003,19546.526372590837,18534.033940403104,17567.996459479844,16646.82604611395,15768.933677134271,14932.73656369306,14136.664598033136,13379.165949569748,12658.711883169608,11973.800868801889,11322.962047866826,10704.758117555204,10117.78769062174,9560.687184020624,9032.132285994903,8530.83904746705,8055.564639971575,7605.107818921104,7178.309127718435,6774.050875127062,6391.256915396259,6028.89225790518,5685.962530542318,5361.51331866844,5054.629399317686,4764.433888266583,4490.087315736784,4230.7866447866145,3985.76424488061,3754.2868316965178,3535.6543829272473,3329.199038652361
IH,0.0,0.0,157.55667765127697,371.5761887288829,599.9837289185414,826.3685837875089,1045.2249195649197,1255.4857830210244,1457.7374068623603,1653.0547155372433,1842.542213508262,2027.175163269407,2207.7635049705696,2384.961934464806,2559.2940510597336,2731.177864180945,2900.948211777103,3068.875031759693,3235.177710568497,3400.0361314110587,3563.5990913198034,3725.9906783810975,3887.3150918870942,4047.660284397088,4207.100717041983,4365.699449391614,4523.5097308791,4680.576219294802,4836.935920477201,4992.618919708558,5147.648957603169,5302.04389000588,5455.816061490818,5608.972614626651,5761.515751624264,5913.442960832563,6064.747217443432,6215.417165443325,6365.437286108154,6514.788057032497,6663.44610470324,6811.384352889033,6958.57216855919,7104.975506622774,7250.557054456336,7396.653224489054,7545.119030551469,7697.971708473815,7857.260678117007,8025.037181520033,8203.365916116803,8394.353198157743,8600.180997356394,8823.14285092858,9065.680585311105,9330.42200262313,9620.220175817609,9938.195172954709,10287.779089043404,10672.765286080268,11097.362761823866,11566.256597372263,12084.675475210543,12658.467311330698,13294.184103466165,13999.17715714386,14781.703905386674,15651.047577934874,16617.650990904607,17693.265704017154,18891.117712420048,20226.09068182543,21714.92747233285,23373.257130098824,25214.152483466005,27250.215375551696,29494.234288955115,31959.311010528003,34658.782916085926,37606.05849239086,40814.40761981755,44296.7210503374,48065.24456155776,52131.29105921157,56504.934212674,61194.68844476325,66207.18161946385,71546.82828302176,77215.51263878525,83212.29144187857,89533.12757731309,96170.66514886287,103114.05640060978,110348.84970097366,117856.94616570952,125616.63035120285,133602.67792212652,141786.54042987438,150136.6044920192,158618.5199063152,167195.58872508784,175829.205195355,184479.3348430248,193105.01991389683,201664.89790692404,210117.72003378594,218422.8570661509,226540.78111348234,234433.5133163915,242065.02913984028,249401.6148017207,256412.1702756265,263068.45617302635,269345.2835652031,275220.6473915499,280675.80547755933,285695.30632895656,290266.96976850514,294381.8251421416,298034.01225431607,301220.6504191329,303941.6810593951,306199.6891779694,307999.70879385207,309349.01710713457,310256.9217592117,310734.5451109487,310794.60899307707,310451.2229075235,309719.67819018074,308616.2501961873,307158.01014662907,305362.64788668463,303248.3064533894,300833.4290382982,298136.6186568014,295176.5106008879,291971.65755407466,288540.4112982909,284900.82989262085,281070.6017395251,277066.9821841939,272906.7403284972,268606.1147059552,264180.7769117387,259645.8024838206,255015.64842078823,250304.1367625242,245524.44368219172,240689.0935553888,235809.95749065388,230898.25582662004,225964.56412523473,221018.8222170855,216070.3458832731,211127.8407877167,206199.4183035913,201292.6129072442,196414.4008419611,191571.21978201863,186768.9892543209,182013.1316003817,177308.59328538153,172659.8663834216,168071.0100888917,163545.67212307715,159087.10992276802,154698.21151376615,150381.51598685543,146139.23350709767,141973.2647993006,137885.22006327062,133876.43728208478,129947.99989518027,126100.7538156462,122335.32377779041,118652.12900691862,115051.39820837793,111533.18387734906,108097.37593468663,104743.71469736456,101471.80319483897,98281.11884494942,95171.02450488227,92140.77891427021,89189.54654873053,86316.4069030968,83520.36322430082,80800.35071435009,78155.24422414407,75583.86545900698,73084.98971680853
IN,0.0,0.0,158.33863292061744,373.3624089776434,602.7692208348428,830.0646127485122,1049.719252964889,1260.6665943563999,1463.501649276252,1659.3101016640683,1849.2067545656978,2034.1759328577339,2215.035294620926,2392.4460405085306,2566.9372557561046,2738.931606055044,2908.767918010802,3076.719581823182,3243.009003317288,3407.8187327305686,3571.2999441900097,3733.578861334469,3894.7616151316834,4054.9379154475155,4214.183829670546,4372.563891206124,4530.132705961982,4686.93618318689,4843.01248542785,4998.392768593317,5153.101765270958,5307.158251089181,5460.575423917195,5613.36121822471,5765.51857133459,5917.045654123377,6067.9360755990165,6218.179068445616,6367.759660872414,6516.6588387895,6664.853701345047,6812.317612115098,6959.02034767508,7104.928244856435,7250.0043476671435,7395.592235460708,7543.556150628642,7695.922679925139,7854.750038243678,8022.097572292198,8200.037478284861,8390.683126554044,8596.223275334514,8818.958160356278,9061.336383029238,9325.992755278723,9615.787748325249,9933.849369819767,10283.618351749967,10668.897553518389,11093.906504297676,11563.342038144854,12082.446016863987,12657.08118749812,13293.816279752024,14000.021508285692,14783.975698889099,15654.986297448188,16623.52353539968,17701.37000114105,18901.78678604433,20239.69721437548,21731.888901558515,23394.025469227105,25239.197574419602,27280.019589946678,29529.29078208223,32000.122640090955,34705.86076338073,37659.91958435379,40875.57168720557,44365.70624323057,48142.56207899468,52217.438672085664,56600.388681443685,61299.89686059275,66322.55173013528,71672.71790280586,77352.2182830378,83360.03637048167,89692.04947383674,96340.8037018569,103295.34108703786,110541.08809688,118059.8131235016,125829.65838470831,133825.24912880463,142017.88025400773,150375.7775940087,158864.42835280378,167446.9726547143,176084.64604822267,184737.2611715373,193363.71572168375,201922.513394272,210372.28456514655,218672.2941203089,226782.92493167007,234666.1269292548,242285.8234312965,249608.26825640415,256602.34905628508,263239.8341839642,269495.5621763914,275347.5745238674,280777.19378116494,285769.0502224337,290311.06114456843,294394.36758492957,298013.2336523206,301164.91389554366,303849.49417718255,306069.71140970505,307830.757275587,309140.0707213231,310007.1236135211,310443.2034978432,310461.196929396,310075.3763640882,309301.1931290122,308155.07853750937,306654.25478978705,304816.55690877675,302660.2666071258,300203.95866670244,297466.360137159,294466.22242412553,291222.2061387775,287752.76255272835,284076.0406815482,280209.8113593734,276171.4039216643,271977.6531609605,267644.8551912831,263188.7313072962,258624.39912792234,253966.35040431013,249228.4349132825,244423.84988002593,239565.1343915795,234664.16828134857,229732.1749863356,224779.72790324388,219816.7597965764,214852.57484058518,209895.8629066884,204954.71573809258,200036.64468328876,195148.59968938126,190296.98928452336,185487.7013058141,180726.12415468693,176017.16838596892,171365.28845934934,166774.50450294092,162248.4239579531,157790.2629912512,153402.8675788048,149088.73417778726,144850.0299184529,140688.61225896908,136606.04805719267,132603.6320230451,128682.40452373636,124843.16872169918,121086.50703180129,117412.79689027912,113822.22583295978,110314.80588477096,106890.38726635337,103548.67142684181,100289.22341463024,97111.4836002318,94014.77876723906,90998.3325889226,88061.27550922238,85202.6540478204,82421.43954966942,79716.53639982366,77086.78972469653,74530.99260098847,72047.8927935023
D,12356.0,12356.0,12356.0,12356.250410903696,12356.840971269648,12357.794548547374,12359.107928005089,12360.76914427708,12362.764536247714,12365.08137452361,12367.70863813026,12370.637061524703,12373.858929186254,12377.367812863355,12381.15832483781,12385.22590956799,12389.566675870772,12394.177264733893,12399.054746167825,12404.196538862368,12409.60034740264,12415.264112862627,12421.185973534284,12427.364233317525,12433.797335898666,12440.483843307957,12447.422417798663,12454.611806255423,12462.050826539227,12469.738355325864,12477.673317106828,12485.85467410549,12494.281416924201,12502.952555785012,12511.867112261947,12521.024111429078,12530.422574368618,12540.06151099798,12549.939913186034,12560.056748137127,12570.410952027914,12581.001423886606,12591.827019708126,12602.886546801145,12614.178758365137,12625.702348297209,12637.458134506265,12649.44988314623,12661.684566441718,12674.172413839367,12686.926914903894,12699.96484070326,12713.306309955073,12726.974909265555,12740.997870448062,12755.406306204877,12770.235505705534,12785.525292618422,12801.320449456423,12817.671213493379,12834.633850939621,12852.271317527946,12870.654015171202,12889.86065592895,12909.97924617915,12931.108205642433,12953.357637752784,12976.850769800934,13001.725583272628,13028.136656823972,13056.257246318126,13086.281628202363,13118.427734107841,13152.940105738939,13190.088124645787,13230.161949528749,13273.471767683412,13320.348091633925,13371.142257079537,13426.226797325202,13485.995556300966,13550.863468269488,13621.265955262643,13697.657901998891,13780.512173234045,13870.317644195116,13967.57672240966,14072.802349325046,14186.514482597233,14309.236074519224,14441.488578248567,14583.787030600271,14736.63477737981,14900.517923635847,15075.899605881676,15263.214195375904,15462.861550185184,15675.201438367301,15900.548254829746,16139.166150112205,16391.264680653276,16656.995077428117,16936.44721379992,17229.64733479833,17536.55658971478,17857.07038882271,18191.018584105608,18538.166453947546,18898.21645353187,19270.8106767761,19655.533962414986,20051.917566569275,20459.44331688841,20877.54815907265,21305.629005086466,21743.047793402937,22189.136674834408,22643.203242537536,23104.535731243577,23572.40811827735,24046.0850671289,24524.826662903088,25007.892897605772,25494.547871687555,25984.063686359557,26475.724008767647,26968.827299051085,27462.68969454617,27956.647551885384,28450.059652476724,28942.30908083802,29432.804788536625,29920.98285908992,30406.30749116839,30888.271718870932,31366.39788877202,31840.23791393588,32309.373325214936,32773.415139956975,33232.00354270451,33684.80741836973,34131.523764724996,34571.877004128175,35005.61821071744,35432.524267158464,35852.39696358749,36265.06205027465,36670.368254555404,37068.186271666214,37458.407738243724,37840.94419639762,38215.72605544823,38582.70155763276,38941.83575333685,39293.109490702154,39636.51842380054,39972.072042951244,40299.79273019168,40619.714842393085,40931.88382403917,41236.355351257625,41533.19450830855,41822.47499738848,42104.27838230187,42378.69336627969,42645.81510398717,42905.744547553586,43158.587826278184,43404.455659510946,43643.46280207674,43875.727521501045,44101.37110620453,44320.51740376054,44533.292388250506,44739.823755707934,44940.240546608664,45134.6727943428,45323.25119859143,45506.10682252587,45683.37081275006,45855.17414091486,46021.647365946934,46182.920415852335,46339.12238807713,46490.38136743174,46636.82426061293,46778.57664638628,46915.762640523084,47048.5047746165,47176.92388793518,47301.13903150494,47421.26738364241
R,0.0,0.0,83.42897388353266,230.26225179744085,427.64026608016246,666.8858141671872,941.9206377048394,1248.373224345423,1583.0427924794142,1943.557315679566,2328.144181841125,2735.470507745667,3164.528995540511,3614.5548987070497,4084.964920661224,4575.311910077482,5085.251092264776,5614.514799116385,6162.893494213088,6730.221476905933,7316.366071752941,7921.219418033085,8544.692201076208,9186.708835201158,9847.203732878197,10526.118387636523,11223.399067472194,11938.99496714679,12672.856706295457,13424.935089020624,14195.180062117392,14983.539825107993,15789.960057234632,16614.383235501806,17456.748024537792,18316.988724033898,19195.03476324633,20090.81023482865,21004.23346234083,21935.216597331746,22883.665243048043,23849.478102683584,24832.546650722656,25832.754826403943,26849.97874868017,27884.81551678799,28938.42288987855,30012.418584016363,31108.81914313795,32230.0061110885,33378.71190100087,34558.02059878216,35771.3807103474,37022.62801020373,38316.017426636994,39656.263452826664,41048.58898959994,42498.78285587755,44013.26647934681,45599.17052337307,47264.42243059322,49017.84607855417,50869.27495458857,52829.68046987221,54911.31724819112,57127.88744320046,59494.72635648831,62029.011842586646,64750.00018812869,67679.2913287862,70841.12640297608,74262.72071355945,77974.63514917163,82009.4981329167,86400.89319075628,91183.84621167975,96395.05543511568,102072.99112662295,108257.91216939964,114991.81663338133,122318.33177730178,130282.54450351115,138930.7718149288,148310.27074744416,158468.8879631482,169454.6504310465,181315.30025042078,194097.77857622033,207847.6656728309,222608.58622845061,238421.59107308608,255324.52822081881,273351.41756858776,292531.8445120561,312890.38809294836,334446.0990150351,357212.0419417883,381194.91494453955,406394.75687375193,432804.7508813348,460411.1294592571,489193.18332578946,519123.3734369469,550167.5424721362,582285.2194685842,615430.0089642495,649550.0541307471,684588.5619831062,720484.3778589607,757172.5959557658,794585.1927675877,832651.6707217353,871299.700116359,910455.748532465,950045.6881647727,989995.3729146607,1030231.1785495251,1070680.5006982903,1111272.2068735976,1151937.0400481946,1192607.9725367557,1233220.5100244994,1273712.946528645,1314026.5718732856,1354105.8339039823,1393898.4581714885,1433355.5281841937,1472431.5295783763,1511084.3616979397,1549275.3201254583,1586969.0536785983,1624133.4992943867,1660739.7980815945,1696762.1956407751,1732177.9295430926,1766967.1066324732,1801112.5725789191,1834599.7758708524,1867416.6198379924,1899553.3165799272,1931002.2431606136,1961757.8005176394,1991816.2755612,2021175.7069240345,2049835.7547848632,2077797.5751343942,2105063.6987918126,2131637.915415833,2157525.162691326,2182731.4208125216,2207263.612328292,2231129.5073649464,2254337.6341976346,2276897.1951030297,2298817.9873932223,2320110.3295035055,2340784.991984485,2360853.133231329,2380326.2397695123,2399216.070906615,2417534.6075531584,2435294.005011715,2452506.549532121,2469184.6184312846,2485340.643578403,2500987.0780501175,2516136.3657649592,2530800.9139121748,2544993.0679963944,2558725.089326501,2572009.1347843134,2584857.238716142,2597281.2967978534,2609293.0517316605,2620904.0806403947,2632125.7840324366,2642969.3762177005,2653445.8770621624,2663566.1049751933,2673340.671030533,2682779.9741280316,2691894.1971092904,2700693.3037460637,2709187.0365257226,2717384.915163235,2725296.235774012,2732930.070646548,2740295.2685581543,2747400.4555811463,2754254.036330689,2760864.1956091225,2767238.9004049273
