series,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,35982.735342678236,35979.355246300285,35974.74742682751,35968.46640727608,35959.90546352533,35948.23859603174,35932.34190854095,35910.68733491859,35881.199451284905,35841.06340959903,35786.468900696265,35712.271794568645,35611.55246330216,35475.04937878844,35290.451545126365,35041.54941548887,34707.28089304604,34260.78191922558,33668.68027664072,32891.076414144794,31882.93675717489,30597.919765816547,28995.759562208346,27053.827325355975,24781.80716062858,22235.323915071524,19520.992822923155,16785.043918000032,14184.07300023345,11848.137938886775,9853.842923070031,8219.287485697852,6918.217300873137,5901.201302792873,5113.232143184181,4503.949362154089,4031.640751985214,3663.604926069806,3374.9440173945018,3146.958109348012,2965.6575371961644,2820.5551577828182,2703.74529665331,2609.2228636943673,2532.387240631902
I,6.0,8.180096377953591,11.151896575138073,15.202536811539257,20.722973199983503,28.24524605357056,38.49288433365005,52.448881089278544,71.4469885051107,97.29363248996248,132.42941489473674,180.14063804341257,244.83184170121265,332.36855787469403,450.4926799618336,609.296273606959,821.705541328403,1103.8634068831811,1475.1923680913994,1957.7577569690434,2574.3458625451362,3344.4936813944532,4277.755148723763,5364.1363558313815,6563.329249392498,7797.146645071058,8952.048408205213,9897.587631487295,10519.041022956419,10751.16787971181,10595.229319586191,10110.738893041133,9389.661299257621,8528.74503748636,7610.96518959778,6698.054932708316,5830.7525563355275,5032.63787098383,4314.771205462368,3679.802872416384,3125.1428700849547,2645.2166754813097,2232.9832015145557,1880.9089941705874,1581.5628183989354
R,0.0,1.2000000000000002,2.8360192755907185,5.066398590618333,8.106905952926185,12.251500592922886,17.900549803637,25.59912667036701,36.08890288822272,50.37830058924486,69.83702708723736,96.3229100661847,132.35103767486723,181.31740601510975,247.79111759004854,337.88965358241524,459.748908303807,624.0900165694876,844.8626979461238,1139.9011715644037,1531.4527229582125,2046.3218954672398,2715.2206317461305,3570.771661490883,4643.59893265716,5956.26478253566,7515.694111549871,9306.103793190914,11285.621319488373,13389.429524079656,15539.663100022019,17658.708963939258,19680.856742547483,21558.789002399008,23264.538009896278,24786.731047815832,26126.342034357494,27292.4925456246,28299.020119821365,29161.97436091384,29897.934935397116,30522.963509414105,31052.006844510368,31498.60348481328,31874.785283647398
G,6.0,9.380096377953592,13.987915850728793,20.26893540215759,28.82987915290969,40.49674664649345,56.39343413728706,78.04800775964556,107.53589139333343,147.67193307920735,202.2664419819741,276.4635481095973,377.1828793760799,513.6859638898038,698.2837975518821,947.1859271893742,1281.45444963221,1727.9534234526689,2320.0550660375234,3097.658928533447,4105.7985855033485,5390.8155768616925,6992.975780469894,8934.908017322265,11206.928182049658,13753.411427606718,16467.742519755084,19203.691424678207,21804.66234244479,24140.597403791464,26134.892419608208,27769.447856980387,29070.518041805102,30087.534039885366,30875.50319949406,31484.78598052415,31957.094590693025,32325.130416608434,32613.79132528374,32841.77723333023,33023.07780548208,33168.18018489542,33284.99004602493,33379.51247898387,33456.34810204633
