series,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,8537.605589617302,8535.33170632377,8532.65155616445,8529.49297391096,8525.771139711054,8521.386423973752,8516.22189024503,8510.140411721155,8502.98135542406,8494.556788422944,8484.647163947073,8472.996453336968,8459.306704605324,8443.232032676264,8424.372083692078,8402.265070571983,8376.380554652256,8346.112254892421,8310.771308317691,8269.580589058807,8221.670922339772,8166.080302985934,8101.757535521436,8027.572030268607,7942.331771207891,7844.811642068825,7733.794248237007,7608.124960775443,7466.781971419107,7308.960532260915,7134.168181670315,6942.324708166901,6733.8572119737055,6509.77755055851,6271.727664787397,6021.978868615344,5763.375006459856,5499.21659005334,5233.09267223721,4968.677208987117,4709.514270558567,4458.819276852077,4219.320386748003,3993.1560873463445,3781.834321272031,3586.248172357052,3406.7356532035997,3243.1676416333275,3095.0482549722733,2961.614778007369,2841.928253317508,2734.94981997544,2639.6011304895655,2554.8094201065737,2479.5390960625473,2412.8122637663932,2353.72065678456,2301.431202027526,2255.1870885427156,2214.3058191352657,2178.175364921714,2146.249238982504,2118.0410625753325,2093.1190117621354,2071.100395201775,2051.64651559518,2034.4578988093585,2019.2699283907277,2005.8488928819158,1993.9884343796837,1983.5063756168552,1974.2418969771693,1966.0530324505344,1958.8144533440536,1952.4155097146647,1946.758501398612,1941.7571527965458
I,6.0,7.073883293532344,8.339256794145358,9.829987688806387,11.585824350950174,13.653375218061509,16.08723390317258,18.951265646411674,22.320068814222925,26.28062205249605,30.934122117867474,36.398008304399916,42.80815537516418,50.32119622919119,59.11690596753762,69.40053789412664,81.40494623502757,95.39225674785666,111.65475197301518,130.51452083729572,152.32128338887162,177.44764606493453,206.28088431644625,239.21021270598635,276.6084292255051,318.8068725194703,366.0628918473936,418.5196009394792,476.1586701079183,538.7483752445266,605.7910507862217,676.4763141323917,749.6485474991082,823.7984994144826,897.0886853026988,967.4197444142117,1032.539657686857,1090.190142556002,1138.276031860932,1175.0362887388378,1199.1919694196208,1210.0485692421864,1207.537745497822,1192.1944957999167,1165.0773627142469,1127.6480390863765,1081.6309504225537,1028.8727719083151,971.2176041877065,910.4075603150695,848.0125729419167,785.3884916956014,723.6594828423554,663.7192966568763,606.2457613695274,551.7234413917761,500.4703600952538,452.66574283323706,408.3767077514,367.58263560856994,330.19656270040764,296.0833760995362,265.0748772868002,236.98195264263734,211.60417867447026,188.73722254617118,168.1783948227584,149.73068627683756,133.205584530282,118.42492612645772,105.22199966399477,93.44207837088169,82.94252722334036,73.59260088515305,65.27302433751126,57.87542778606177,51.30169083091554
R,0.0,1.2000000000000002,2.614776658706469,4.282628017535541,6.248625555296819,8.565790425486854,11.296465469099157,14.513912249733673,18.30416537901601,22.768179141860593,28.024303552359804,34.2111279759333,41.490729636813285,50.05236071184612,60.11659995768436,71.93998115119189,85.82008873001722,102.10107797702273,121.17952932659406,143.5104797211971,169.61338388865624,200.07764056643057,235.5671697794175,276.8233466427067,324.665389183904,379.98707502900504,443.7484495328991,516.9610279023779,600.6649480902737,695.8966821118573,803.6463571607627,924.804567318007,1060.0998301444854,1210.029539644307,1374.7892395272036,1554.2069765877434,1747.6909254705856,1954.198857007957,2172.2368855191576,2399.892091891344,2634.8993496391117,2874.737743523036,3116.7474573714735,3358.255006471038,3596.6939056310216,3829.709378173871,4055.2389859911464,4271.565176075657,4477.33973045732,4671.583251294861,4853.664763357875,5023.267277946258,5180.344976285379,5325.07687285385,5457.820732185225,5579.069884459131,5689.414572737486,5789.508644756537,5880.041793323185,5961.717134873465,6035.233661995178,6101.27297453526,6160.489649755167,6213.504625212528,6260.901015741055,6303.221851475949,6340.969295985183,6374.604974949734,6404.551112205102,6431.192229111159,6454.87721433645,6475.921614269249,6494.610029943426,6511.198535388094,6525.917055565124,6538.971660432627,6550.546745989839
G,6.0,8.273883293532343,10.954033452851826,14.112615706341927,17.83444990624699,22.21916564354836,27.383699372271735,33.46517789614534,40.62423419323893,49.048801194356635,58.95842567022727,70.6091362803332,84.29888501197746,100.3735569410373,119.23350592522196,141.3405190453185,167.22503496504476,197.49333472487936,232.83428129960922,274.0250005584928,321.93466727752786,377.52528663136513,441.84805409586374,516.0335593486931,601.2738184094092,698.7939475484753,809.8113413802927,935.480628841857,1076.823618198192,1234.645057356384,1409.4374079469844,1601.2808814503987,1809.7483776435936,2033.8280390587897,2271.8779248299024,2521.626721001955,2780.2305831574427,3044.3889995639593,3310.5129173800897,3574.928380630182,3834.0913190587326,4084.786312765222,4324.285202869295,4550.449502270954,4761.771268345268,4957.3574172602475,5136.8699364137,5300.437947983973,5448.557334645027,5581.990811609931,5701.677336299793,5808.655769641861,5904.004459127736,5988.796169510728,6064.066493554754,6130.793325850908,6189.8849328327415,6242.1743875897755,6288.418501074586,6329.2997704820355,6365.430224695587,6397.356350634796,6425.564527041967,6450.486577855165,6472.505194415525,6491.95907402212,6509.147690807941,6524.3356612265725,6537.756696735384,6549.617155237616,6560.099214000445,6569.3636926401305,6577.552557166766,6584.791136273247,6591.190079902635,6596.847088218688,6601.848436820755
