series,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,470524.0732063776,470522.2693857158,470520.14518229134,470517.64375517034,470514.6982034333,470511.2297951729,470507.1458883735,470502.33749148005,470496.6764031748,470490.01186148735,470482.16662181955,470472.93237174954,470462.0643776436,470449.27524430054,470434.227654387,470416.5259398009,470395.70632315596,470371.2256555396,470342.4484683693,470308.63215510617,470268.910106301,470222.2726436844,470167.54564198904,470103.36679885146,470028.1596232843,469940.10537344136,469837.11339767015,469716.7906323835,469576.4113975423,469412.88911186426,469222.7521214329,469002.12647635804,468746.7291543578,468451.8758374194,468112.5077773899,467723.2423771149,467278.45167512284,466772.37176327506,466199.24414712976,465553.4871530542,464829.8918555944,464023.833038113,463131.4820299884,462150.00564248284,461077.73457625264,459914.286069852,458660.6292367802,457319.08702127216,455893.2750825799,454387.98408423056,452809.0167996456,451162.9944701878,449457.1477520024,447699.10658740613,445896.70095665124,444057.78134335094,442190.06447270326,440301.0069005715,438397.70660751173,436486.8309845394,434574.5684649155,432666.60046421544,430768.09011478006,428883.68439482327,427017.52654762013,425173.2760762045,423354.1340216194,421562.87164668867,419801.8610278317,418073.1063921145,416378.27532132604,414718.7291804242,413095.55231825414,411509.5797394688,409961.4230639773,408451.49467973155,406980.0300614423,405547.108276438,404152.6707332134,402796.5382514445,401478.4265469929,400197.9602337642,398954.6854478869,397748.08119983296,396577.5695578164,395442.5247618498,394342.2813628008,393276.1414751,392243.381225742,391243.25647611794,390275.007887196,389337.86539273395,388431.0521396465,387553.7879494056,386705.29234944674,385884.7872190021,385091.49908958067,384324.66113645374,383583.51489397127,382867.31172431103,382175.3140663286,381506.79648851237,380861.0465676344,380237.3656125027,379635.0692502462,379053.4878907821,378491.96708350646,401480.6736848745,424434.86222459306,447346.590549259,470212.80157079326,493029.8375756228,515793.3753433865,538498.351192416,561138.8743275789,583708.1269125828,606198.2493589162,628600.2094494025,650903.6541359654,673096.743218423,695165.9646847006,693565.1264388049,691898.0503088315,690165.2691075408,688367.620675201,686506.2483591795,684582.5975630232,682598.4083979764,680555.7045717556,678456.7787455384,676304.1746764256,674100.6665356432,671849.2358498984,669553.0465530005,667215.4186565359,664839.80105247,662429.7439482854,659988.8714086348,657520.8544389235,655029.3849984851,652518.1512769073,649990.8145093372,647450.9875477847,644902.2153477374,642347.9574746232,639791.5726842058,637236.3055858733,634685.2753585823,632141.4664562382,629607.7212125009,627086.7342341781,624581.0484570889,622093.0527280326,619624.9807706733,617178.9113911397,614756.7697803035,612360.3297734417,609991.216933759,607650.9123335228,605340.7569149173,603061.9563217617,600815.586102634,598602.5971954358,596423.8216128116,594279.9782569207,592171.6788007418,590099.4335812714,588063.6574575974,586064.6755938585,584102.7291335277,582177.9807372757,580290.5199619003,578440.3684624775,576627.4850040124,574851.7702725013,573113.0714784743,571411.1867488245,569745.8693050749,568116.8314282286,566523.7482120243,564966.2611078151
I,7.0,8.243820661831947,9.708518433347546,11.433264079676746,13.46415469032482,15.855430575463572,18.670902928855103,21.98562758796099,25.887865686131196,30.48137811868603,35.88810753700189,42.25130900401871,49.73919838967732,58.54919586153119,68.91285010612759,81.10153668373405,95.4330303939896,112.27905557882048,132.0739183028087,155.32431810173756,182.62042145876867,214.648250358673,252.20339202535058,296.2059638008999,347.71666226397633,407.95357912579755,478.30926856692236,560.3672923682511,655.9171438200124,766.9660579924453,895.7457637843817,1044.7117477565077,1216.5321299362108,1414.0628764797166,1640.305906390834,1898.346834154561,2191.2697894142607,2522.048118108887,2893.4118848054854,3307.695928096623,3766.6755513086982,4271.400324685394,4822.039306835217,5417.752549793943,6056.6034120406075,6735.523645477999,7450.338586911543,8195.85371546666,8965.997356921622,9754.0085667172,10552.655165964788,11354.465082145409,12151.95459375918,12937.839390854728,13705.21787034125,14447.720054014224,15159.619320340786,15835.907346845244,16472.335052157425,17065.423870957147,17612.452480904478,18111.424283132194,18561.020689917008,18960.544754680464,19309.859021509197,19609.320771204104,19859.717164092897,20062.202165896164,20218.236611481443,20329.532318280097,20398.00080360614,20425.706880219524,20414.827191972017,20367.613595399554,20286.361183259112,20173.380672844083,20030.974837305832,19861.418635325645,19666.94268772421,19449.719754475183,19211.853878568778,18955.371881512005,18682.21691686839,18394.24381157283,18093.215948663572,17780.803468737056,17458.58259028709,17128.035870764907,16790.553250461744,16447.43374004886,16099.887629766836,15749.03911384755,15395.92923782722,15041.519089041916,14686.69316187742,14332.262839371864,13978.96994164354,13627.490299439001,13278.437317966365,12932.365502189276,12589.773919996565,12251.109584213076,11916.770738353982,11587.110034417348,11262.437593920398,10943.023945870842,10629.102837476821,10320.873915183542,10172.639995122154,10077.276992591696,10034.12878757454,10043.18596589296,10105.105281329705,10221.237824118782,10393.666908755791,10625.256576426795,10919.711474397955,11281.648695368263,11716.681897219132,12231.51763387262,12834.063259262366,13533.54495920405,14250.138837959174,14982.110267404712,15727.541417584593,16484.34364367196,17250.272933487955,18022.94816767795,18799.871860190713,19578.452973906165,20356.031348413046,21129.903236444796,21897.347423696996,22655.65140394479,23402.13709678488,24134.18562725454,24849.260732601302,25544.93041864395,26218.886553243843,26868.962154101682,27493.146199255913,28089.5958584361,28656.64610939133,29192.816763537125,29696.81697833252,30167.547378812178,30604.099947227896,31005.755867784275,31371.981533306553,31702.42293294065,31996.898645426696,32255.391661994832,32478.04025744808,32665.1281184666,32817.07392550191,32934.42056967314,33017.824169592364,33068.043035697054,33085.92671202171,33072.40520786358,33028.47851486221,32955.206488905365,32853.699161202705,32725.107528975073,32570.614863574854,32391.428562517573,32188.772561865168,31963.880316624603,31717.98834925721,31452.330359963278,31168.13188703094,30866.605501129903,30548.94651389759,30216.32917841665,29869.903357128773,29510.791631285334,29140.086825119346,28758.849917460815,28368.108313439665,27968.854449164166,27562.044702771826
IH,1.0,0.7361354377525479,0.6655302866176998,0.6919126859578449,0.7729364590829926,0.8911298977317179,1.0406931490147833,1.2215331422461397,1.4366096580861278,1.6908032027159017,1.990490383771669,2.343457504024003,2.7589863746132304,3.2480393933246132,3.82351370497289,4.500554101815779,5.296923682710127,6.233435818514406,7.334453198933298,8.628460752683363,10.148719446625407,11.934007445765022,14.029453724763115,16.48746669718796,19.36875639138838,22.74344266586745,26.692233341427325,31.307644282462,36.695217724511906,42.974674952995784,50.28091449165599,58.7647374936252,68.5931491713286,79.94905132153822,93.0301105816394,108.04656646995738,125.21774126061621,144.76704080086688,166.91530225219987,191.87245985262544,219.82766559140038,250.93821052700204,285.3178234949908,323.0251425919005,364.05331681299344,408.3217555113861,455.6709685131948,505.8612201703553,558.5753777231093,613.4259187123901,669.9656426293229,727.7012783184848,786.108944424707,844.6503312367242,902.7885242206869,960.0025535070297,1015.7999871480616,1069.727144620445,1121.3767532610395,1170.393078320552,1216.474713960583,1259.375325403495,1298.9026866729682,1334.9163731802153,1367.3244544308195,1396.0794994319335,1421.174164458907,1442.636586191791,1460.5257573962804,1474.9270201580816,1485.9477747240715,1493.7134708454341,1498.3639231097407,1500.049971659167,1498.9304942894332,1495.169764503718,1488.9351419600407,1480.3950762553284,1469.7174015674664,1457.067897845482,1442.609093597941,1426.4992855568541,1408.8917513316526,1389.9341324143527,1369.7679663989418,1348.5283489193414,1326.3437075055267,1303.3356712448544,1279.6190217723788,1255.3017126711009,1230.48494582271,1205.2632946014355,1179.7248650440058,1153.9514872575019,1128.0189303470809,1101.9971350621233,1075.9504591784898,1049.937931363177,1024.0135099129075,998.2263433273016,972.6210301772949,947.2378761671171,922.1131466698047,897.27931334777,872.7652937568846,848.5966830798435,824.7959773468183,801.3827876827044,691.2015500252586,634.586445667486,604.915260879588,589.5714957870883,582.5851964120266,581.1514521303118,583.9839267324683,590.5369545475764,600.6389308961051,614.3206560200113,631.736285484043,653.1284698505492,678.8147722741928,709.1845039088048,744.700794826864,783.169578829019,823.5002629524117,865.1188391986266,907.6905648029506,950.9892116159522,994.8357516951131,1039.069972571856,1083.5377363796279,1128.0856898265226,1172.5595331533314,1216.803990710743,1260.6635883527133,1303.983798758748,1346.6123324858427,1388.4004564709958,1429.2042726047137,1468.885915047146,1507.314639392001,1544.3677857641119,1579.931604295359,1613.9019364266917,1646.184749671902,1676.6965270647042,1705.3645155682148,1732.1268402769779,1756.9324932961717,1779.7412077549084,1800.5232285252068,1819.258991910127,1835.938726877049,1850.561990394155,1863.1371491315708,1873.6808192653734,1882.217275422932,1888.7778389785888,1893.4002549917263,1896.128066111937,1897.0099907899312,1896.099312154276,1893.453282964097,1889.1325511427588,1883.200609549256,1875.7232728607682,1866.7681837265282,1856.4043497121272,1844.7017119847424,1831.7307461918954,1817.5620955563768,1802.2662358440032,1785.9131715544352,1768.5721624334876,1750.3114792031206,1731.1981872475144,1711.2979568753044,1690.6748986943676,1669.3914225819858,1647.5081187054984,1625.0836590428207
IN,0.28,0.5251158987644915,0.7894465960489279,1.079433279894978,1.4022814866076425,1.766142926579562,2.1803233330010374,2.6555215220318495,3.20410561980875,3.8404333015016032,4.581223911685472,5.44599150345923,6.457549153140008,7.642596380186355,9.032403122402773,10.663605466212797,12.579130174208979,14.829266924069465,17.472908973552215,20.57898454312091,24.22810233816828,28.51443500113001,33.54786345385997,39.456402474304454,46.3889226752597,54.51817532721182,64.04411296620921,75.19747899370185,88.24361186746287,103.48637229965085,121.27205359150383,141.99307487672178,166.09118479147952,194.05982104395815,226.44518452085353,263.84550384391946,306.9079012578695,356.3222417720935,412.81137665915935,477.11730257085094,549.9829672515217,632.1297696345571,724.2312152008634,826.8836623707637,940.5755736906291,1065.6570904141445,1202.3120011463195,1350.5342104632985,1510.1106015111811,1680.6117418597214,1861.3912625976272,2051.594036224266,2250.1725893178927,2455.9106001999317,2667.451911538645,2883.3332601988486,3102.0188861291113,3321.93529873493,3541.504709541315,3759.1759372930774,3973.4519137077214,4182.913231471737,4386.237457704137,4582.214172738207,4769.755880480489,4947.905073471772,5115.837827581808,5272.864354567637,5418.426962825475,5552.095874754685,5673.563329756631,5782.63637061052,5879.228672388903,5963.351730802357,6035.105683617429,6094.669996539566,6142.294205037961,6178.288866862972,6203.01684694077,6216.885027113141,6220.336507808818,6213.843347032523,6197.899863794881,6173.01651798331,6139.714366368378,6098.520084623846,6049.961537591897,5994.563874245205,5932.8461196047565,5865.318233012559,5792.478600404212,5714.811927376964,5632.787499729045,5546.857778604079,5457.4572982807795,5365.00183589269,5269.887823853385,5172.491977422428,5073.171111613345,4972.262123465651,4870.08211753729,4766.928654289257,4663.080102805376,4558.79608099829,4454.317968083611,4349.869475648378,4245.657265091188,4141.871600566283,4038.687027821366,3942.428459279624,3854.347847957361,3775.5149261567376,3706.8657758630793,3649.2461264318035,3603.450384726074,3570.257318155174,3550.463232200315,3544.9134096582798,3554.5325065671836,3580.354526013107,3623.552910852109,3685.471203456936,3767.654606961014,3868.262857873458,3985.615578785305,4118.165030716664,4264.472755620501,4423.189746805969,4593.039820257933,4772.805887277704,4961.318849986711,5157.448857406898,5360.0986723691885,5568.1989096054895,5780.704914112829,5996.5950571395315,6214.870235652549,6434.554370434984,6654.695708382033,6874.368746287846,7092.676606467193,7308.753708827697,7521.7685992931965,7730.9268104980865,7935.473647104846,8134.696804604875,8327.928746714488,8514.548782166137,8693.984796549794,8865.714608657714,9029.266933355542,9184.22194422402,9330.211439019204,9466.91861936196,9594.077503007253,9711.471992612254,9818.93462919885,9916.345061590351,10003.628265108398,10080.752543866278,10147.727351215313,10204.600962416464,10251.458032540875,10288.41707106497,10315.627862723382,10333.268862012534,10341.544586384043,10340.683030705268,10330.933123058006,10312.562239449635,10285.853792568007,10251.104907357878,10208.624193959891,10158.729626453796,10101.746533899837,10038.005708384952,9967.841633158101,9891.590832482143,9809.590343535805,9722.176309563496,9629.682692486218
D,0.01,0.053864562247452216,0.08615482097930434,0.11534801566421114,0.14569846274721088,0.1796029821699821,0.21869200503960076,0.2643415544550568,0.3179235710104385,0.3809398247828485,0.4551061671165717,0.5424181564584791,0.645212894017999,0.7662346235870935,0.9087084497377579,1.0764252046535279,1.2738400402006524,1.5061872788008945,1.779614212277618,2.1013367911732526,2.47982044495903,2.924989580857459,3.448469593323777,4.063865439531399,4.787080948772996,5.636682969158789,6.634314125697093,7.805157256625651,9.178453368074797,10.788073030135461,12.673138334675171,14.878688638253237,17.45637812399755,20.465186585572066,23.97211672389043,28.052841800386116,32.79225714093104,38.28487854694271,44.63502141953179,51.95668808522571,60.37308954400297,70.01573386504907,81.02302862097503,93.53837004997864,107.70772652469319,123.67676590142818,141.58762096304633,161.5754285257502,183.76480950648488,208.26647393251434,235.17413332807453,264.5618829628428,296.4821809831945,330.96450570919103,368.01472274105544,407.6151461580193,449.7252379240415,494.2828596912588,541.2059726142517,590.3946730105164,641.7334530484954,695.0935838614711,750.335531215538,807.3113289684874,865.866851314994,925.8439399588384,987.0823560640624,1049.421538665441,1112.7021610009028,1176.7674840002192,1241.4645120863925,1306.6449607472396,1372.166048268997,1437.891125843581,1503.6901611997134,1569.4400911710766,1635.0250583766583,1700.3365465935835,1765.273428566807,1829.741939014027,1893.6555845178343,1956.9350009027019,2019.5077676099565,2081.308187536166,2142.277039807314,2202.3613120339865,2261.5139177376127,2319.6934038570053,2376.86365253765,2432.9935807712086,2488.0568408860036,2542.0315243865966,2594.899871197211,2646.6479859748006,2697.2655628181474,2746.7456194046613,2795.084241332108,2842.2803372239177,2888.335404970159,2933.2533093179654,2977.0400708918924,3019.7036666132853,3061.253841395562,3101.701930916854,3141.0606952105486,3179.3441627659636,3216.567484793901,3252.7467992836787,3274.252972908148,3292.80228638583,3309.8322581920916,3326.0659642667947,3341.887899985054,3357.5223490618955,3373.1183217028442,3388.7903075693293,3404.638152658303,3420.7570977267633,3437.2432100971914,3454.1966940618063,3471.724265763597,3489.941163575437,3508.973073553125,3528.958110464309,3549.975508390215,3572.075233898498,3595.29184928826,3619.650933591021,3645.171994704836,3671.8697360746637,3699.7545616306506,3728.8327388081607,3759.1064196028797,3790.5736151711058,3823.2281696404402,3857.0597547828634,3892.053895424057,3928.1920294998267,3965.451603496292,4003.8062022022973,4043.225710593397,4083.676504945001,4125.121669791529,4167.521237038305,4210.832443357103,4255.0100019327865,4300.00638466128,4345.77211101394,4392.25603996669,4439.405661630712,4487.167385502118,4535.486822558563,4584.309058759856,4633.578917847144,4683.2412116722235,4733.24097661762,4783.523694983057,4834.03550051019,4884.723367491439,4935.535283158123,4986.420403266515,5037.329190997346,5088.213539455017,5139.026878197912,5189.724264352153,5240.262458959232,5290.599989285093,5340.697197876193,5390.516279188851,5440.021304643686,5489.178236969114,5537.954934698447,5586.321147675965,5634.248504409865,5681.710492085793,5728.682430025078,5775.141437337888,5821.06639548452,5866.437906418754,5911.238246946486,5955.4513198913855
R,0.0,0.5348841012355087,0.968373949300624,1.3994931460973257,1.8799318455506535,2.441104822733223,3.1067065881961495,3.898691090826933,4.840298667691542,5.957790442487001,7.281656558408525,8.847658460000677,10.697881922492648,12.88189581834001,15.458076607247147,18.495145120168672,22.07395893042974,26.2896052376839,31.25384332061117,37.09795108262147,43.97603638798528,52.06888030668701,61.58838559118648,72.78270911413757,85.94216081381231,101.40595284811343,119.56987970708167,140.89500109297958,165.91738205517962,195.25891623804807,229.6392147423908,269.88848125437613,316.9612099966913,371.9504335273254,436.1021107703878,510.82908299377493,597.723842180986,698.5691638736406,815.3454741113636,950.2336747179913,1105.6120770874982,1284.0461295525108,1488.2698022371212,1721.157839088125,1985.6886010559674,2284.897879220573,2621.824792063211,2999.451610479291,3420.639978135252,3888.0664209251313,4404.160202212109,4971.046456538723,5590.497145890155,6263.891790970836,6992.189220884674,7775.910849148464,8615.135302132285,9509.503655914128,10458.234111291775,11460.14466225683,12513.682179840747,13616.956318293202,14767.776726087837,15963.692181986933,17202.030451021976,18479.93784610647,19794.417672560565,21142.366914367904,22520.610685841806,23925.934117069995,25355.111464878293,26804.932343530683,28272.225052383797,29753.877043204095,31246.852620034588,32748.208001587533,34255.10390225476,35764.815804902006,37274.742108364895,38782.41033648523,40285.4815948913,41781.75345760932,43269.161458885865,44745.779357037994,46209.81832732302,47659.62523021356,49093.68009045466,50510.5929111656,51909.099936259074,53288.05946375593,54646.447302301785,55983.35195343106,57297.9695929336,58589.59891609366,59857.635903607385,61101.56855764411,62320.97165078935,63515.501524475294,64684.890967943524,65828.94420376632,66947.53200144591,68040.58693658246,69108.09880951843,70150.11023419458,71166.71240515984,72158.04104823033,73124.27255816228,74065.62032485967,74982.33124805328,75831.09619141254,76639.56110527221,77422.2168090156,78187.37914583852,78940.495604729,79685.71658546464,80426.648291752,81166.72111803772,81909.37886500373,82658.18604391956,83416.89944310443,84189.5259985456,84980.37762244837,85794.12826926686,86635.87596928622,87509.39244848507,88417.6947847333,89363.32022517566,90348.45943373119,91375.02189279432,92444.66857602974,93558.8287185629,94718.70883326905,95925.2979926778,97179.37141896605,98481.49346597187,99832.02060099292,101231.10474694947,102678.69720771401,104174.55331474822,105718.23787527451,107309.13145878281,108946.43752408854,110629.19036084255,112356.26379616099,114126.38059830906,115938.12249477828,117789.9407113535,119680.16693157508,121607.02457204128,123568.64026791371,125563.05546441097,127588.23801362216,129642.09368126183,131722.47747465552,133827.20471094598,135954.06175292685,138100.81634875986,140265.22752086353,142445.05495826266,144638.0678754815,146842.05330950298,149054.82383429128,151274.22467980022,153498.14024920628,155724.50003427826,157951.28393430673,160176.5269888663,162398.32353888295,164614.83083405124,166824.27210762227,169024.93914199836,171215.1943504679,173393.4724018331,175558.28141567233,177708.2037565797,179841.8964559813,181958.09129008334,184055.59454220172,186133.28647719367,188190.12055499456,190225.12240939116
G,7.0,8.803820661831947,10.928024086294101,13.429451207291105,16.37500294431332,19.84341120467806,23.927318004106674,28.73571489752097,34.39680320272805,41.06134489017339,48.90658455798413,58.1408346279611,69.00882873394121,81.79796207696927,96.84555199048816,114.54726657658483,135.3668832215391,159.84755083788914,188.62473800818302,222.44105127133656,262.1631000765067,308.8005626931125,363.52756438848394,427.7064075260613,502.91358309320975,590.9678329361491,693.9598087073376,814.2825739940203,954.6618088352416,1118.1840945132753,1308.3210849446073,1528.9467300194838,1784.3440520197073,2079.19736895811,2418.5654289876047,2807.8308292625984,3252.621531254663,3758.70144310243,4331.829059247739,4977.586053323315,5701.18135078312,6507.240168264511,7399.591176389166,8381.06756389471,9453.33863012489,10616.78713652553,11870.443969597314,13211.986185105356,14637.79812379765,16143.089122146957,17722.05640673192,19368.078736189724,21073.925454375127,22831.966618971408,24634.372249726308,26473.29186302658,28341.00873367428,30230.066305806,32133.366598865803,34044.24222183812,35956.50474146202,37864.47274216209,39762.98309159748,41647.3888115543,43513.54665875747,45357.797130173116,47176.93918475824,48968.20155968893,50729.2121785459,52457.96681426307,54152.79788505152,55812.344025953396,57435.52088812345,59021.49346690875,60569.65014240027,62079.57852664597,63551.04314493525,64983.964929939524,66378.40247316414,67734.53495493304,69052.64665938466,70333.11297261338,71576.38775849073,72782.99200654463,73953.5036485612,75088.54844452777,76188.79184357676,77254.93173127755,78287.69198063559,79287.81673025964,80256.06531918152,81193.20781364359,82100.02106673106,82977.28525697194,83825.7808569308,84646.28598737544,85439.57411679687,86206.41206992381,86947.5583124063,87663.76148206652,88355.75914004895,89024.27671786518,89670.02663874313,90293.70759387482,90896.00395613126,91477.58531559534,92039.10612287099,92581.20542757586,93157.82279393019,93776.90037533715,94441.49525987577,95155.26516111917,95922.53329942837,96748.36335647177,97638.6461273818,98600.19944845086,99640.88290819038,100769.72872377704,101997.08994328711,103334.8067669025,104796.39120669787,106397.22945259359,108064.30558256702,109797.0867838577,111594.73521619757,113456.10753221903,115379.7583283753,117363.94749342205,119406.65131964289,121505.5771458601,123658.18121497291,125861.6893557554,128113.12004150018,130409.30933839816,132746.9372348627,135122.55483892857,137532.61194311318,139973.4844827637,142441.50145247506,144932.97089291344,147444.20461449126,149971.5413820614,152511.36834361393,155060.14054366117,157614.3984167754,160170.78320719278,162726.05030552534,165277.08053281636,167820.88943516044,170354.63467889765,172875.62165722047,175381.30743430965,177869.30316336598,180337.37512072534,182783.4445002589,185205.58611109518,187602.02611795702,189971.13895763966,192311.44355787587,194621.59897648136,196900.39956963688,199146.76978876468,201359.75869596287,203538.53427858694,205682.37763447783,207790.67709065677,209862.92231012706,211898.69843380107,213897.68029754,215859.62675787072,217784.37515412277,219671.8359294981,221521.98742892095,223334.8708873861,225110.5856188972,226849.28441292414,228551.16914257393,230216.48658632353,231845.52446316986,233438.6076793742,234996.0947835834
H,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,329431.2826850209,305900.476778948,282369.6708728751,258838.86496680215,235308.05906072923,211777.2531546563,188246.44724858337,164715.64134251044,141184.8354364375,117654.0295303646,94123.22362429168,70592.41771821877,47061.61181214586,23530.80590607294,2.1827872842550278e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
