County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,5/21/2020,,22,,0.00,0.00,1485.086087339,3803,1655.857142857,3570,1569.142857143,52672,233,86.714285714,7151,59823,165983,17529,568,5464,,157,2141,2463,1737,49,,,,219,55,,,,219,219,219,,55,55,55,48,48,48,0,1,1,7175,47,432,1,,0.119971939,0.016287958,0.136259897,5.24%,0,74,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,48
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/6/2020,,22,,0.00,0.00,1485.086087339,1780,2863.571428571,1626,2644.857142857,159925,154,218.714285714,14989,174914,165983,17529,568,5464,,157,2141,2463,1461,52,,,,184,48,,,,184,184,184,,48,48,48,43,43,43,0,1,1,15002,88,521,1,,0.364263978,0.034140708,0.398404687,7.64%,0,151,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,43
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/14/2020,,22,,0.00,0.00,1485.086087339,2414,2180.857142857,2265,2048.428571429,172139,149,132.428571429,15689,187828,165983,17529,568,5464,,157,2141,2463,1421,49,,,,179,46,,,,179,179,179,,46,46,46,41,41,41,0,1,1,15703,106,530,1,,0.392084020,0.035735111,0.427819131,6.07%,0,159,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,41
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/16/2020,,22,,0.00,0.00,1485.086087339,2412,1934.857142857,2276,1827.142857143,173876,136,107.714285714,15775,189651,165983,17529,568,5464,,157,2141,2463,1393,48,,,,175,45,,,,175,175,175,,45,45,45,40,40,40,0,1,1,15789,86,531,1,,0.396040416,0.035930994,0.431971410,5.57%,0,161,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,40
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/18/2020,,22,,0.00,0.00,1485.086087339,1790,1990.428571429,1717,1891.714285714,176696,73,98.714285714,15851,192547,165983,17529,568,5464,,157,2141,2463,1356,46,,,,171,44,,,,171,171,171,,44,44,44,38,38,38,0,1,1,15865,50,532,1,,0.402463579,0.036104101,0.438567680,4.96%,0,163,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,38
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,5/30/2020,,22,,0.00,0.00,1485.086087339,2621,1487.285714286,2473,1417.428571429,62527,148,69.857142857,7517,70044,165983,17529,568,5464,,157,2141,2463,1275,36,,,,160,40,,,,160,160,160,,40,40,40,35,35,35,0,1,1,7536,112,447,1,,0.142418845,0.017121603,0.159540448,4.70%,0,83,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,35
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/24/2020,,22,,0.00,0.00,1485.086087339,974,1587.857142857,903,1505.428571429,183298,71,82.428571429,16156,199454,165983,17529,568,5464,,157,2141,2463,1205,40,,,,152,39,,,,152,152,152,,39,39,39,34,34,34,0,1,1,16171,40,538,1,,0.417501071,0.036798805,0.454299875,5.19%,0,169,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,34
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/20/2020,,22,,0.00,0.00,1485.086087339,4419,2893.428571429,4000,2601.857142857,132485,419,291.571428571,12472,144957,165983,17529,568,5464,,157,2141,2463,1118,40,,,,141,38,,,,141,141,141,,38,38,38,34,34,34,0,1,1,12486,232,501,1,,0.301763409,0.028407693,0.330171102,10.08%,0,134,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,34
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/25/2020,,22,,0.00,0.00,1485.086087339,2418,1677.571428571,2356,1596.714285714,184820,62,80.857142857,16144,200964,165983,17529,568,5464,,157,2141,2463,1173,39,,,,148,38,,,,148,148,148,,38,38,38,33,33,33,0,1,1,16159,-12,539,1,,0.420967757,0.036771472,0.457739229,4.82%,0,170,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,33
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/1/2020,,22,,0.00,0.00,1485.086087339,2320,1536,2239,1466.714285714,65645,81,69.285714286,7632,73277,165983,17529,568,5464,,157,2141,2463,1200,34,,,,151,38,,,,151,151,151,,38,38,38,33,33,33,0,1,1,7652,68,451,1,,0.149520768,0.017383540,0.166904309,4.51%,0,85,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,33
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/3/2020,,22,,0.00,0.00,1485.086087339,1681,1473.428571429,1608,1401.571428571,67721,73,71.857142857,7718,75439,165983,17529,568,5464,,157,2141,2463,1128,32,,,,142,36,,,,142,142,142,,36,36,36,31,31,31,0,1,1,7738,27,454,1,,0.154249310,0.017579424,0.171828734,4.88%,0,87,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,31
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/17/2020,,22,,0.00,0.00,1485.086087339,2687,2755.571428571,2391,2477.714285714,129571,296,277.857142857,12016,141587,165983,17529,568,5464,,157,2141,2463,1029,36,,,,130,35,,,,130,130,130,,35,35,35,31,31,31,0,1,1,12030,194,498,1,,0.295126140,0.027369054,0.322495194,10.08%,0,131,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,31
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/4/2020,,22,,0.00,0.00,1485.086087339,1696,1514.285714286,1616,1439.428571429,68855,80,74.857142857,7743,76598,165983,17529,568,5464,,157,2141,2463,1092,31,,,,138,35,,,,138,138,138,,35,35,35,30,30,30,0,1,1,7763,25,455,1,,0.156832242,0.017636367,0.174468608,4.94%,0,88,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,30
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/6/2020,,22,,0.00,0.00,1485.086087339,1340,1585.714285714,1248,1507.428571429,70886,92,78.285714286,7811,78697,165983,17529,568,5464,,157,2141,2463,1027,29,,,,129,33,,,,129,129,129,,33,33,33,29,29,29,0,1,1,7831,28,458,1,,0.161458286,0.017791252,0.179249538,4.94%,0,90,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,29
