series,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,38151.6896977054,38149.02948272927,38145.89056624339,38142.18693632896,38137.8171775362,38132.66173229293,38126.57968326039,38119.40497592652,38110.941988358405,38100.960341274214,38089.18882650659,38075.30831570917,38058.94349419408,38039.65324775332,38016.91951428882,37990.13439870625,37958.58534125919,37921.43812988657,37877.71756103749,37826.285587892526,37765.81685907636,37694.771657260615,37611.366411470255,37513.542199564734,37398.93200269299,37264.82794969947,37108.15042659135,36925.42175233816,36712.74815624854,36465.81503146686,36179.90184179909,35849.92451831446,35470.51449440485,35036.14435845665,34541.3099592054,33980.77702901034,33349.89624045259,32644.983372162187,31863.750537300337,31005.760542690958,30072.86088519732,29069.539642318767,28003.13699214776,26883.84835656371,25724.472242303797,24539.88858742611,23346.297568462327,22160.29482913429,20997.894338137277,19873.623350678557
I,7.0,8.260214976132218,9.747088466785941,11.501300687857492,13.570799343047037,16.01208471770634,18.89171680670465,22.288080779237283,26.293452191506294,31.01640883739461,36.58464183753714,43.14822426745488,50.88340092905193,59.99696718399778,70.7313072116997,83.37016135192725,98.24518652859902,115.74336059550184,136.31525732547811,160.48417900535054,188.8560720204476,222.13005943210484,261.10929333604076,306.7116465743527,359.97951413122547,422.0876642985003,494.3476545469225,578.2067978907342,675.2390344022027,787.1243523034436,915.6126715105265,1062.4674606930528,1229.3839924640506,1417.877329919442,1629.136263186808,1863.841940744504,2121.954341153359,2402.4763412130887,2703.2139078323203,3020.5611208752357,3349.3485541938257,3682.8000862336125,4012.642719157896,4329.4028109103665,4622.898362988206,4882.902345268252,5099.912895178386,5265.933055470747,5375.146935373612,5424.38853575761
R,0.0,1.4000000000000001,3.0520429952264436,5.001460688583632,7.30172082615513,10.015880694764537,13.218297638305804,16.996640999646736,21.454257155494194,26.71294759379545,32.916229361274375,40.233157728781805,48.86280258227278,59.03948276808316,71.03887620488271,85.18513764722266,101.85916991760811,121.50820722332791,144.65687934242828,171.9199308075239,204.01676660859403,241.78798101268356,286.21399289910454,338.4358515663127,399.77818088118323,471.7740837074283,556.1916165671283,655.0611474765128,770.7025070546597,905.7503139351003,1063.175184395789,1246.2977186978944,1458.791210836505,1704.668009329315,1988.2434753132034,2314.070727950565,2686.839116099466,3111.229984330138,3591.725252572756,4132.36803413922,4736.480258314267,5406.349969153032,6142.909986399754,6945.438530231334,7811.319092413407,8735.898765011048,9712.479234064698,10732.461813100375,11785.648424194525,12860.677811269248
G,7.0,9.660214976132217,12.799131462012383,16.50276137644112,20.872520169202165,26.027965412470877,32.11001444501046,39.28472177888402,47.74770934700049,57.72935643119006,69.50087119881152,83.38138199623668,99.74620351132472,119.03644995208096,141.77018341658243,168.55529899914993,200.10435644620713,237.25156781882976,280.9721366679064,332.4041098128744,392.8728386290416,463.91804044478835,547.3232862351452,645.1474981406653,759.7576950124087,893.8617480059286,1050.5392711140507,1233.267945367247,1445.9415414568623,1692.8746662385438,1978.7878559063154,2308.7651793909467,2688.175203300555,3122.5453392487566,3617.379738500011,4177.9126686950685,4808.793457252825,5513.706325543226,6294.939160405075,7152.929155014454,8085.828812508092,9089.150055386643,10155.55270555765,11274.841341141699,12434.217455401613,13618.8011102793,14812.392129243084,15998.394868571122,17160.795359568136,18285.066347026856
