series,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,30514.126772147243,30512.060943052922,30509.457917247455,30506.18384365262,30502.07486212015,30496.93224033072,30490.517757454763,30482.550007947324,30472.702592530037,30460.60545052019,30445.850767667216,30428.004814417858,30406.626557354917,30381.292825710003,30351.62826841796,30317.33664900709,30278.228797041276,30234.24239868728,30185.450067066093,30132.054493059943,30074.372128641055,30012.8088815675,29947.83214577228,29879.943157893213,29809.652576385222,29737.460857842685,29663.84385719106,29589.24328999997,29514.06127531392,29438.6580420221,29363.35192447666,29288.420903959464,29214.10511067656,29140.609851664743,29068.108857699317,28996.747542840178,28926.646145398594,28857.9026730112,28790.595611813947,28724.786384630435,28660.521559085624,28597.834816300823,28536.74869630239
I,6.0,7.585829094320841,9.581988572242244,12.089503081298897,15.231324367265797,19.155440207315383,24.03748786668475,30.082238344788294,37.523074694493964,46.61837072878114,57.64358392345114,70.87805045893316,86.58606348516099,104.99291005126067,126.25803453920057,150.44901118693303,177.52094225779177,207.30566523116642,239.51354363385764,273.7480341492973,309.53055583624297,346.33135844289956,383.6015855626846,420.80244659674014,457.42883237699,493.02624432936835,527.201145434646,559.6256209909641,590.0375859977365,618.2378124097387,644.0849049623971,667.4891330826039,688.4057957189008,706.8285910732027,722.7832977527743,736.3219487916907,747.5175903299407,756.4596554909407,763.2499442489145,767.9991758925149,770.8240673659254,771.8448847614509,771.1834139789672
IH,0.24,0.3707329076168291,0.5053789594477892,0.6585697962937607,0.8423165579940648,1.0680800278588132,1.3480226399986421,1.6957950115854588,2.127023752902704,2.659556320225718,3.3134495404588398,4.110647076379005,5.0742755370308466,6.227504185260562,7.591965274279949,9.185820110037252,11.021664496770283,13.104563717144813,15.43055043338142,17.985878096537952,20.747196947647915,23.682644657887273,26.753675155140016,29.917337349455615,33.12868327990248,36.343024506324106,39.51783837859733,42.61422045891062,45.59786211638002,48.43959133818288,51.11554841060462,53.607080649108916,55.90043833208691,57.98634366296007,59.85949076429253,61.51802056043884,62.96300169624281,64.19793813000248,65.22831586438981,66.06119523620916,66.7048509268366,67.16845900218904,67.4618284966995
IN,0.24,0.4497568313778345,0.696514696440957,0.992024191779479,1.350596169576209,1.789656195529574,2.330353495084256,2.9981977026637887,3.823674741937612,4.842764229814311,6.09724682896695,7.634656585990783,9.507711077254587,11.773056494493357,14.489212343371939,17.71370167451097,21.499501844217583,25.89111845299913,30.920722307285317,36.60484480822969,42.94207244952038,49.912026607653054,57.475706624663786,65.57707218413859,74.14559316545478,83.09942280764552,92.34884817925257,101.79971988185552,111.35663599617673,120.92573310429673,130.41700669638536,139.74613820856098,148.83584510629035,157.61679543266288,166.02814190077692,174.01773592951284,181.54208166883166,188.56608616565674,195.0626559672538,201.01218375260578,206.40196175355737,211.22555222628364,215.4821393113687
D,0.01,0.02928565679146767,0.05907660519813874,0.0996872933712184,0.1526079228068361,0.22029387300368572,0.30612147651662863,0.4144444014422203,0.550713237201054,0.7216342792251419,0.9353479892645248,1.2016065335692558,1.5319254031771536,1.939678471812642,2.4401014234141574,3.05016824279959,3.7883123010926743,4.673979129240241,5.727021288618468,6.966972537625247,8.412262004554442,10.079442503376622,11.982506489986203,14.13234897728806,16.536413561605386,19.198531960311357,22.118944866114962,25.294475983241284,28.718822775768327,32.38292577243987,36.275381329386306,40.382868510030356,44.6905675058272,49.18255362318233,53.84215663349876,58.65227994429949,63.595677573545636,68.6551894121887,73.8139369184183,79.05548238861026,84.36395546594221,89.72415072136297,95.12160008606291
R,0.0,0.12022460421386871,0.3158960664587823,0.5931441318805886,0.9650650094518484,1.4510615128181492,2.077029214195926,2.876088739438765,3.8896931906719265,5.168996069007642,6.776376197884989,8.786997074512351,11.29023928970346,14.390797234412364,18.209190149013732,22.881421925868015,28.55755420608993,35.39904692940963,43.57486741800192,53.25654949560285,64.61255626821678,77.802418367922,92.97115254248092,110.24440914640343,129.72467337806225,151.48869070090313,175.58613809756872,202.03944483229785,230.84458994725733,261.97266750048186,295.37200627180414,330.97064773747195,368.67901480757604,408.3926366904873,449.9948273965806,493.3592440811196,538.352275480086,584.8352299372534,632.6663073343148,681.7023502468646,731.8003775493548,782.8189091351294,834.61909397175
G,6.0,8.065829094320842,10.668854899787911,13.942928494623944,18.051910027094756,23.194531816525608,29.609014692480205,37.57676419991853,47.42417961720726,59.52132162705395,74.27600448002644,92.12195772938455,113.50021479232703,138.83394643723958,168.49850372928034,202.79012314014886,241.89797510596225,285.8843734599602,334.67670508114475,388.07227908729305,445.7546435061825,507.3178905797385,572.2946263749556,640.1836142540259,710.4741957620149,782.6659143045525,856.2829149561798,930.8834821472695,1006.0654968333191,1081.4687301251402,1156.7748476705776,1231.705868187776,1306.0216614706812,1379.5169204824952,1452.017914447923,1523.3792293070615,1593.4806267486467,1662.2240991360418,1729.5311603332907,1795.3403875168044,1859.605213061616,1922.2919558464155,1983.378075844848
H,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986,15258.205636957986
beta,8.205454327913696,8.205454327913786,8.178324075187524,8.144393280774004,8.102112989459327,8.0496681256921,7.984979360627469,7.905734668254542,7.809464514855153,7.693674837469425,7.55604778664,7.394709226230167,7.208543020131875,6.997507450734177,6.76288631974378,6.507398690961855,6.235108541638654,5.951121015986846,5.661112042293392,5.370787472616461,5.08538385850062,4.809299910799498,4.545899922855538,4.297481241749618,4.065365081521578,3.8500588695034628,3.651443940511422,3.468956048170077,3.3017406069547284,3.1487759249967695,3.008964922037285,2.8811995335531964,2.7644032872363065,2.657557432199487,2.559715247738736,2.470008210322175,2.387646790863343,2.3119178882765126,2.242180303034632,2.1778592031089437,2.1184402080500444,2.0634634870510737,2.0125181088024986
