county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
NY-New York,7211,5645,5427,4585,3933,3737,5285,5400,5022,5953,5304,4370,3813,5864,5846,5958,5925,6060,4568,4063,5559,6149,6201,6113,6108,5130,4297,5840,6116,6296,6402,6472
NY-New York,7224,9724,9811,9065,7646,6744,8560,9222,8763,10522,8279,8714,7434,9935,10222,11016,10614,11156,9273,7526,9470,10313,9968,10517,11037,10178,8212,10077,10266,10774,11213,12045
NY-New York,7225,129989,130436,126469,98887,95579,116041,127003,117221,135609,112584,120733,100314,131729,134298,137682,136929,142676,122462,99123,125352,135241,135050,136914,143076,134718,109105,129996,137584,141581,145301,152607
NY-New York,7139,21682,21851,18395,17287,16505,19436,21644,19697,23705,17325,18093,17584,23266,24296,25037,24609,23887,20537,17637,21908,23925,22584,23403,22722,21759,18997,22883,24042,25167,25510,24744
NY-New York,7131,505,519,423,403,446,371,409,381,450,320,399,375,444,407,455,481,458,412,366,404,491,426,469,470,460,373,428,505,586,578,555
NY-New York,8131,5881,5647,5784,6092,5480,5359,5499,5238,6158,5376,5836,5499,5895,5870,6152,6017,6412,5937,5622,5630,5910,6082,6192,6325,6338,6196,5847,6090,6314,6456,7247
NY-New York,8121,3988,3871,3822,3370,2844,3596,3874,3695,4182,3634,3508,3037,4100,4078,4255,4035,4344,3684,2931,3837,3989,4138,4063,4232,4210,3313,3964,4208,4271,4454,4400
CA-Los Angeles,7211,6686,6674,7177,6428,5903,6419,6150,6403,7063,7596,7526,6366,7328,6686,6933,7151,7626,7572,6209,6757,7010,7246,7170,7816,8119,6827,6922,7454,7470,7769,8404
CA-Los Angeles,7224,3716,3785,3931,2676,2810,3611,3493,3443,3815,4230,3784,3171,3730,3623,3702,3784,4290,3743,3208,3503,3656,3845,3844,4200,4104,3576,3570,3857,3850,3968,4917
CA-Los Angeles,7225,112258,114402,125245,82166,88353,103360,102540,102110,110625,121693,114144,97002,107125,102458,105414,106674,119873,111930,95540,100665,107078,108798,109447,121820,118309,100554,102412,109493,110967,113466,128600
CA-Los Angeles,7139,19207,19033,17784,11759,12102,18311,18557,18310,19494,19766,16599,13461,18667,16599,17181,16891,17697,14557,12537,16434,17540,17715,17870,17917,15710,12840,16657,18100,18470,18371,19699
CA-Los Angeles,7131,678,658,761,596,545,663,735,667,755,785,764,638,691,620,692,637,683,702,634,680,665,604,684,649,758,663,598,659,672,657,783
CA-Los Angeles,8131,4932,4656,4860,5068,5812,4495,4517,4603,4764,5058,4993,5733,4640,4420,4888,4788,5151,4787,5184,4482,5096,5202,5078,5298,5409,5731,4825,5197,5160,5363,5748
CA-Los Angeles,8121,4763,4656,4443,3099,2973,4360,4507,4233,4797,4838,4045,3035,4488,4322,4317,4371,4390,3637,2880,4173,4395,4435,4384,4580,3876,2959,4149,4444,4440,4596,4404
FL-Miami-Dade,7211,4617,4277,4468,3943,3686,4051,4078,3898,4621,4926,4310,3874,4146,4022,3962,4281,4524,3789,3581,4079,3834,3832,3943,4507,4483,3902,3973,4026,4358,4502,4811
FL-Miami-Dade,7224,1615,1584,1576,1096,923,1346,1355,1170,1515,1532,1287,1111,1380,1403,1412,1421,1571,1188,1169,1412,1406,1402,1413,1657,1470,1220,1380,1479,1565,1670,1951
FL-Miami-Dade,7225,42125,41756,43355,31821,30465,37468,39991,34074,38415,41814,36411,28793,35965,36223,38968,39627,43236,36325,32195,37121,34972,35121,35802,40924,37677,29249,33750,37070,38937,40333,45056
FL-Miami-Dade,7139,9065,8527,7664,5313,4666,7819,8323,7368,8550,8515,6168,5112,8543,8695,8374,8560,8466,5470,5307,8141,8172,8042,8317,8651,6924,5575,8200,8685,9236,9276,9612
FL-Miami-Dade,7131,277,308,321,190,238,256,262,257,289,345,263,281,264,234,264,241,300,217,251,270,233,204,231,315,274,228,248,299,335,325,306
FL-Miami-Dade,8131,1686,1497,1544,1397,1728,1459,1552,1490,1585,1624,1489,1722,1569,1535,1657,1558,1666,1417,1682,1448,1460,1571,1523,1709,1614,1893,1552,1639,1731,1828,1932
FL-Miami-Dade,8121,2166,2086,1811,1347,1105,1861,1993,1795,2108,2113,1528,1073,1970,2023,2173,2026,2112,1414,1065,1809,1922,1984,1975,2112,1612,1160,1887,2154,2324,2240,2292
IL-Cook,7211,3674,3646,4147,3970,3553,3558,3560,3518,4064,4776,4670,3380,3960,3841,3924,4170,4964,4786,3430,3978,3957,4178,4312,4840,5006,4057,4094,4143,4327,4486,5310
IL-Cook,7224,5137,5222,5566,4017,3876,4321,4349,4386,5241,6226,5732,4403,4769,5024,4697,5210,6435,5810,4214,4714,4782,5473,5773,6374,6290,4503,4559,5197,5438,5739,6805
IL-Cook,7225,77434,77680,83327,54852,60227,69610,70773,68826,77849,86720,80720,65911,73158,74693,73636,78764,89664,80944,62092,72047,74942,80901,81755,90771,86210,69514,72673,79330,81249,85579,93777
IL-Cook,7139,14189,13730,13723,10099,9985,13480,13911,13585,14762,15166,13544,11380,14775,15342,14386,15465,16343,13826,10393,14328,15006,16323,16618,16394,14490,11576,14801,16744,16518,17162,17069
IL-Cook,7131,785,643,704,639,668,708,773,756,793,833,839,836,812,857,694,718,739,847,611,802,849,936,783,913,1067,804,740,850,831,804,999
IL-Cook,8131,5462,5102,5811,6196,6083,4732,4814,4567,5196,5615,5484,6031,5278,5261,5477,5397,5961,6052,5758,5081,5041,5569,5470,5974,6301,6283,5092,5643,5542,5591,6437
IL-Cook,8121,2824,2609,2875,2488,1949,2525,2639,2408,2951,3103,2797,1983,2653,2774,2617,2886,2993,2679,1951,2565,2665,2873,3110,3141,2989,2250,2615,3394,3382,3662,3102
TX-Dallas,7211,4152,3952,4911,4619,4133,4418,4424,3914,4628,5020,4989,4051,4915,4674,4433,4333,5262,5166,4084,4248,4470,4735,4728,5620,6325,4424,4140,4124,4200,4563,5540
TX-Dallas,7224,1553,1608,1774,1324,1241,1552,1504,1484,1636,2117,1957,1483,1608,1587,1685,1652,2036,1840,1495,1628,1803,1851,1847,2176,2401,1769,1675,1723,1928,2024,2418
TX-Dallas,7225,48823,48570,54304,37681,36989,43062,44421,44590,51632,60019,54383,42957,47903,47159,49189,50419,58578,53218,43903,47049,49882,51082,52651,60972,58836,46340,47145,47327,52377,55137,64180
